"Opponent","Team","game_id","team_id","Date","Season","Month","Week","Visitor","City","Win","Distance","Rest","shift","direction","flight_duration","B2B","b2b_2nd","b2b_1st","three_in_four","four_in_five","five_in_seven"
"Atlanta Hawks","Dallas Mavericks",21000696,1610612742,2011-01-29,"2010-11","Jan",5,FALSE,"Dallas",TRUE,0,1,0,"-",0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Atlanta Hawks","Cleveland Cavaliers",21001088,1610612739,2011-03-27,"2010-11","Mar",13,FALSE,"Cleveland",FALSE,0,1,0,"-",0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Atlanta Hawks","Miami Heat",21001020,1610612748,2011-03-18,"2010-11","Mar",11,TRUE,"Atlanta",TRUE,607,1,0,"-",1.1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"Atlanta Hawks","Toronto Raptors",21000719,1610612761,2011-02-02,"2010-11","Feb",5,TRUE,"Atlanta",FALSE,427,1,0,"-",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Atlanta Hawks","Denver Nuggets",21000891,1610612743,2011-02-28,"2010-11","Feb",9,FALSE,"Denver",TRUE,986,2,1,"East",1.79,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Atlanta Hawks","Washington Wizards",21000746,1610612764,2011-02-05,"2010-11","Feb",6,FALSE,"Washington",FALSE,0,0,0,"-",0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"Atlanta Hawks","New York Knicks",21000829,1610612752,2011-02-16,"2010-11","Feb",7,FALSE,"New York",TRUE,13,3,0,"-",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Atlanta Hawks","Chicago Bulls",21000902,1610612741,2011-03-02,"2010-11","Mar",9,TRUE,"Atlanta",FALSE,544,1,0,"-",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Atlanta Hawks","Minnesota Timberwolves",21000074,1610612750,2010-11-05,"2010-11","Nov",45,FALSE,"Minneapolis",FALSE,1312,1,-1,"West",2.39,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"Atlanta Hawks","Orlando Magic",21000096,1610612753,2010-11-08,"2010-11","Nov",45,FALSE,"Orlando",TRUE,464,1,0,"-",1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"Atlanta Hawks","Utah Jazz",21000520,1610612762,2011-01-05,"2010-11","Jan",1,FALSE,"Salt Lake City",FALSE,0,1,0,"-",0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Atlanta Hawks","Miami Heat",21001202,1610612748,2011-04-11,"2010-11","Apr",15,TRUE,"Atlanta",TRUE,607,0,0,"-",1.1,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
"Atlanta Hawks","New York Knicks",21000684,1610612752,2011-01-28,"2010-11","Jan",4,TRUE,"Atlanta",FALSE,748,0,0,"-",1.36,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"Atlanta Hawks","Boston Celtics",21001125,1610612738,2011-04-01,"2010-11","Apr",13,TRUE,"Atlanta",FALSE,880,0,1,"East",1.6,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"Atlanta Hawks","Dallas Mavericks",21000184,1610612742,2010-11-20,"2010-11","Nov",47,TRUE,"Atlanta",TRUE,716,0,1,"East",1.3,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
"Atlanta Hawks","San Antonio Spurs",21000337,1610612759,2010-12-10,"2010-11","Dec",50,FALSE,"San Antonio",TRUE,0,1,0,"-",0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Atlanta Hawks","Boston Celtics",21000379,1610612738,2010-12-16,"2010-11","Dec",50,FALSE,"Boston",TRUE,190,0,0,"-",1,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"Atlanta Hawks","Chicago Bulls",21001051,1610612741,2011-03-22,"2010-11","Mar",12,TRUE,"Atlanta",TRUE,586,0,1,"East",1.07,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"Atlanta Hawks","Sacramento Kings",21000606,1610612758,2011-01-17,"2010-11","Jan",3,TRUE,"Atlanta",FALSE,600,1,0,"-",1.09,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"Atlanta Hawks","Cleveland Cavaliers",21000047,1610612739,2010-11-02,"2010-11","Nov",44,FALSE,"Cleveland",FALSE,0,2,0,"-",0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Atlanta Hawks","Detroit Pistons",21000363,1610612765,2010-12-14,"2010-11","Dec",50,FALSE,"Detroit",TRUE,0,2,0,"-",0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Atlanta Hawks","San Antonio Spurs",21001149,1610612759,2011-04-05,"2010-11","Apr",14,TRUE,"Atlanta",TRUE,880,1,1,"East",1.6,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"Atlanta Hawks","Detroit Pistons",21000814,1610612765,2011-02-14,"2010-11","Feb",7,FALSE,"Detroit",FALSE,0,0,0,"-",0,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
"Atlanta Hawks","Memphis Grizzlies",21000261,1610612763,2010-12-01,"2010-11","Dec",48,TRUE,"Atlanta",FALSE,332,0,1,"East",1,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"Atlanta Hawks","Milwaukee Bucks",21000448,1610612749,2010-12-27,"2010-11","Dec",52,FALSE,"Milwaukee",FALSE,1768,3,2,"East",3.21,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"Atlanta Hawks","Philadelphia 76ers",21000021,1610612755,2010-10-29,"2010-11","Oct",44,FALSE,"Philadelphia",FALSE,0,1,0,"-",0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"Atlanta Hawks","Philadelphia 76ers",21000766,1610612755,2011-02-08,"2010-11","Feb",6,TRUE,"Atlanta",TRUE,748,1,0,"-",1.36,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"Atlanta Hawks","Sacramento Kings",21000510,1610612758,2011-01-04,"2010-11","Jan",1,FALSE,"Sacramento",FALSE,0,1,0,"-",0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"Atlanta Hawks","Washington Wizards",21001188,1610612764,2011-04-09,"2010-11","Apr",15,FALSE,"Washington",TRUE,394,0,0,"-",1,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
"Atlanta Hawks","Indiana Pacers",21001176,1610612754,2011-04-08,"2010-11","Apr",14,FALSE,"Indianapolis",TRUE,0,1,0,"-",0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Atlanta Hawks","Oklahoma City Thunder",21000917,1610612760,2011-03-04,"2010-11","Mar",9,TRUE,"Atlanta",TRUE,753,1,1,"East",1.37,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Atlanta Hawks","Toronto Raptors",21000242,1610612761,2010-11-28,"2010-11","Nov",48,FALSE,"Toronto",FALSE,432,1,0,"-",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Atlanta Hawks","Houston Rockets",21001146,1610612745,2011-04-03,"2010-11","Apr",14,FALSE,"Houston",TRUE,0,1,0,"-",0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Atlanta Hawks","Cleveland Cavaliers",21000421,1610612739,2010-12-22,"2010-11","Dec",51,TRUE,"Atlanta",FALSE,554,1,0,"-",1.01,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Atlanta Hawks","Miami Heat",21000288,1610612748,2010-12-04,"2010-11","Dec",49,FALSE,"Miami",TRUE,1089,1,0,"-",1.98,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"Atlanta Hawks","Milwaukee Bucks",21000108,1610612749,2010-11-10,"2010-11","Nov",45,TRUE,"Atlanta",TRUE,671,0,1,"East",1.22,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"Atlanta Hawks","Washington Wizards",21000031,1610612764,2010-10-30,"2010-11","Oct",44,TRUE,"Atlanta",FALSE,406,1,0,"-",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Atlanta Hawks","Chicago Bulls",21000971,1610612741,2011-03-11,"2010-11","Mar",10,FALSE,"Chicago",TRUE,589,1,-1,"West",1.07,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"Atlanta Hawks","Philadelphia 76ers",21000278,1610612755,2010-12-03,"2010-11","Dec",49,TRUE,"Atlanta",FALSE,671,2,0,"-",1.22,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"Atlanta Hawks","Portland Trail Blazers",21000977,1610612757,2011-03-12,"2010-11","Mar",11,TRUE,"Atlanta",FALSE,227,0,0,"-",1,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
