"player_id","player_name","team_id","team_abbreviation","gp","w","l","min","min1","dist_feet","dist_miles","dist_miles_off","dist_miles_def","avg_speed","avg_speed_off","avg_speed_def","date"
201166,"Aaron Brooks",1610612741,"CHI",1,1,0,15.53,15.53,5933,1.12,0.6,0.52,4.25,4.59,3.9,"10/27/2015"
201143,"Al Horford",1610612737,"ATL",1,0,1,30.23,30.23,10472,1.98,1.06,0.93,3.97,4.62,3.4,"10/27/2015"
201582,"Alexis Ajinca",1610612740,"NOP",1,0,1,16.93,16.93,6132,1.16,0.6,0.56,4.27,4.24,4.29,"10/27/2015"
202087,"Alonzo Gee",1610612740,"NOP",1,0,1,26.93,26.93,10512,1.99,1.03,0.96,4.46,4.37,4.56,"10/27/2015"
2760,"Anderson Varejao",1610612744,"GSW",1,0,1,11.55,11.55,4523,0.86,0.44,0.42,4.68,4.14,4.17,"10/27/2015"
203083,"Andre Drummond",1610612765,"DET",1,1,0,37.15,37.15,12131,2.3,1.18,1.12,3.72,3.55,3.93,"10/27/2015"
2738,"Andre Iguodala",1610612744,"GSW",1,1,0,23.38,23.38,9122,1.73,0.97,0.76,4.37,5.14,4.12,"10/27/2015"
101106,"Andrew Bogut",1610612744,"GSW",1,1,0,18.7,18.7,6888,1.3,0.64,0.67,4.19,4.27,4.12,"10/27/2015"
203076,"Anthony Davis",1610612740,"NOP",1,0,1,34.52,34.52,12283,2.33,1.26,1.07,4,4.35,4,"10/27/2015"
203382,"Aron Baynes",1610612765,"DET",1,1,0,10.85,10.85,4103,0.78,0.38,0.4,4.45,4.62,4.3,"10/27/2015"
201575,"Brandon Rush",1610612744,"GSW",1,1,0,1.67,1.67,558,0.11,0.04,0.06,3.58,0,5.3,"10/27/2015"
201967,"Dante Cunningham",1610612740,"NOP",1,0,1,26.52,26.52,11639,2.2,1.26,0.95,4.99,5.52,4.38,"10/27/2015"
203471,"Dennis Schroder",1610612737,"ATL",1,0,1,25.37,25.37,9755,1.85,0.97,0.88,4.27,4.96,4.09,"10/27/2015"
201565,"Derrick Rose",1610612741,"CHI",1,1,0,32.47,32.47,12472,2.36,1.26,1.1,4.44,5.04,3.89,"10/27/2015"
203926,"Doug McDermott",1610612741,"CHI",1,1,0,16.2,16.2,6782,1.28,0.72,0.57,4.81,5.24,4.38,"10/27/2015"
203110,"Draymond Green",1610612744,"GSW",1,1,0,29.43,29.43,10790,2.04,1.1,0.94,4.09,4.58,3.62,"10/27/2015"
202734,"E'Twaun Moore",1610612741,"CHI",1,1,0,14.37,14.37,5699,1.08,0.59,0.49,4.59,4.92,4.25,"10/27/2015"
201569,"Eric Gordon",1610612740,"NOP",1,0,1,33.48,33.48,13114,2.48,1.38,1.1,4.44,4.88,3.98,"10/27/2015"
101141,"Ersan Ilyasova",1610612753,"ORL",1,1,0,34.43,34.43,12227,2.32,1.21,1.1,4.02,4.05,3.99,"10/27/2015"
203105,"Festus Ezeli",1610612744,"GSW",1,1,0,17.02,17.02,6692,1.27,0.72,0.54,4.6,4.57,3.85,"10/27/2015"
203084,"Harrison Barnes",1610612744,"GSW",1,1,0,32.7,32.7,13681,2.59,1.36,1.23,4.78,5.28,4.31,"10/27/2015"
202397,"Ish Smith",1610612755,"PHI",1,0,1,38.02,38.02,15595,2.95,1.64,1.31,4.74,4.95,4.21,"10/27/2015"
2747,"JR Smith",1610612739,"CLE",1,0,1,30.45,30.45,12130,2.3,1.21,1.08,4.54,4.56,4.51,"10/27/2015"
2592,"James Jones",1610612739,"CLE",1,0,1,3.82,3.82,1488,0.28,0.15,0.13,4.72,6.79,2.94,"10/27/2015"
203949,"James Michael McAdoo",1610612744,"GSW",1,1,0,2.52,2.52,954,0.18,0.09,0.09,4.75,6.1,3.89,"10/27/2015"
203099,"Jared Cunningham",1610612739,"CLE",1,0,1,3.18,3.18,1232,0.23,0.14,0.09,3.78,3.16,4.7,"10/27/2015"
201952,"Jeff Teague",1610612737,"ATL",1,0,1,31.87,31.87,10682,2.02,1.09,0.93,3.78,4.62,3.08,"10/27/2015"
202710,"Jimmy Butler",1610612741,"CHI",1,1,0,36.63,36.63,14080,2.67,1.46,1.21,4.55,5.34,3.84,"10/27/2015"
201149,"Joakim Noah",1610612741,"CHI",1,1,0,17.12,17.12,6533,1.24,0.67,0.56,4.2,5.02,4.11,"10/27/2015"
201975,"Jodie Meeks",1610612765,"DET",1,1,0,10.95,10.95,4655,0.88,0.48,0.4,4.94,5.45,4.42,"10/27/2015"
2570,"Kendrick Perkins",1610612740,"NOP",1,0,1,15.88,15.88,5893,1.12,0.62,0.5,4.17,4.26,4.07,"10/27/2015"
203145,"Kent Bazemore",1610612737,"ATL",1,0,1,20.83,20.83,8293,1.57,0.84,0.73,4.61,4.5,4.15,"10/27/2015"
203484,"Kentavious Caldwell-Pope",1610612765,"DET",1,1,0,37.05,37.05,12845,2.43,1.31,1.12,3.9,3.89,3.89,"10/27/2015"
201567,"Kevin Love",1610612739,"CLE",1,0,1,34.82,34.82,12961,2.45,1.29,1.17,4.31,4.31,4.31,"10/27/2015"
202691,"Klay Thompson",1610612744,"GSW",1,1,0,26.43,26.43,10921,2.07,1.09,0.98,4.78,5.24,4.36,"10/27/2015"
2594,"Kyle Korver",1610612737,"ATL",1,0,1,28.7,28.7,10996,2.08,1.07,1.01,4.4,5.02,3.88,"10/27/2015"
203934,"Lamar Patterson",1610612737,"ATL",1,0,1,18.3,18.3,6798,1.29,0.62,0.67,4.27,4.47,4.11,"10/27/2015"
2544,"LeBron James",1610612739,"CLE",1,0,1,36.07,36.07,13360,2.53,1.37,1.16,4.16,4.46,4.18,"10/27/2015"
