"","isActive","isRookie","namePlayer","idPlayer","countSeasons","yearSeasonFirst","yearSeasonLast"
"1",FALSE,FALSE,"Alaa Abdelnaby",76001,4,1990,1994
"2",FALSE,FALSE,"Zaid Abdul-Aziz",76002,9,1968,1977
"3",FALSE,FALSE,"Kareem Abdul-Jabbar",76003,19,1969,1988
"4",FALSE,FALSE,"Mahmoud Abdul-Rauf",51,10,1990,2000
"5",FALSE,FALSE,"Tariq Abdul-Wahad",1505,6,1997,2003
"6",FALSE,FALSE,"Shareef Abdur-Rahim",949,11,1996,2007
"7",FALSE,FALSE,"Tom Abernethy",76005,4,1976,1980
"8",FALSE,FALSE,"Forest Able",76006,0,1956,1956
"9",FALSE,FALSE,"John Abramovic",76007,1,1946,1947
"10",FALSE,FALSE,"Alex Abrines",203518,2,2016,2018
"11",TRUE,TRUE,"Precious Achiuwa",1630173,0,2020,2020
"12",FALSE,FALSE,"Alex Acker",101165,3,2005,2008
"13",FALSE,FALSE,"Donald Ackerman",76008,0,1953,1953
"14",FALSE,FALSE,"Mark Acres",76009,5,1987,1992
"15",FALSE,FALSE,"Charles Acton",76010,0,1967,1967
"16",FALSE,FALSE,"Quincy Acy",203112,6,2012,2018
"17",FALSE,FALSE,"Alvan Adams",76011,12,1975,1987
"18",FALSE,FALSE,"Don Adams",76012,6,1970,1976
"19",FALSE,FALSE,"Hassan Adams",200801,2,2006,2008
"20",FALSE,FALSE,"Jaylen Adams",1629121,2,2018,2020
"21",FALSE,FALSE,"Jordan Adams",203919,1,2014,2015
"22",FALSE,FALSE,"Michael Adams",149,10,1985,1995
"23",TRUE,FALSE,"Steven Adams",203500,7,2013,2020
"24",FALSE,FALSE,"Rafael Addison",912,10,1986,1996
"25",TRUE,FALSE,"Bam Adebayo",1628389,3,2017,2020
"26",FALSE,FALSE,"Deng Adel",1629061,0,2018,2018
"27",FALSE,FALSE,"Rick Adelman",76015,6,1968,1974
"28",FALSE,FALSE,"Jeff Adrien",202399,4,2010,2014
"29",FALSE,FALSE,"Arron Afflalo",201167,10,2007,2017
"30",FALSE,FALSE,"Maurice Ager",200772,4,2006,2010
"31",FALSE,FALSE,"Mark Aguirre",76016,12,1981,1993
"32",FALSE,FALSE,"Blake Ahearn",201336,4,2007,2011
"33",FALSE,FALSE,"Danny Ainge",76017,13,1981,1994
"34",FALSE,FALSE,"Alexis Ajinca",201582,9,2008,2017
"35",FALSE,FALSE,"Henry Akin",76018,1,1966,1967
"36",FALSE,FALSE,"Josh Akognon",203006,0,2012,2012
"37",FALSE,FALSE,"DeVaughn Akoon-Purcell",1629152,0,2018,2018
"38",FALSE,FALSE,"Solomon Alabi",202374,1,2010,2011
"39",FALSE,FALSE,"Mark Alarie",76019,4,1986,1990
"40",FALSE,FALSE,"Gary Alcorn",76020,1,1959,1960
"41",FALSE,FALSE,"Furkan Aldemir",203128,0,2014,2014
"42",FALSE,FALSE,"Cole Aldrich",202332,7,2010,2017
"43",FALSE,FALSE,"LaMarcus Aldridge",200746,14,2006,2020
"44",FALSE,FALSE,"Chuck Aleksinas",76021,0,1984,1984
"45",FALSE,FALSE,"Cliff Alexander",1626146,0,2015,2015
"46",FALSE,FALSE,"Cory Alexander",724,9,1995,2004
"47",FALSE,FALSE,"Courtney Alexander",2042,3,2000,2003
"48",FALSE,FALSE,"Gary Alexander",76022,0,1993,1993
"49",FALSE,FALSE,"Joe Alexander",201570,1,2008,2009
"50",FALSE,FALSE,"Kyle Alexander",1629734,0,2019,2019
"51",TRUE,TRUE,"Ty-Shon Alexander",1630234,0,2020,2020
"52",FALSE,FALSE,"Victor Alexander",2349,10,1991,2001
"53",TRUE,FALSE,"Nickeil Alexander-Walker",1629638,1,2019,2020
"54",FALSE,FALSE,"Steve Alford",76024,3,1987,1990
"55",FALSE,FALSE,"Rawle Alkins",1628959,0,2018,2018
"56",FALSE,FALSE,"Bob Allen",76028,0,1968,1968
"57",TRUE,FALSE,"Grayson Allen",1628960,2,2018,2020
"58",TRUE,FALSE,"Jarrett Allen",1628386,3,2017,2020
"59",FALSE,FALSE,"Jerome Allen",706,1,1995,1996
"60",FALSE,FALSE,"Kadeem Allen",1628443,2,2017,2019
"61",FALSE,FALSE,"Lavoy Allen",202730,5,2011,2016
"62",FALSE,FALSE,"Lucius Allen",76027,9,1969,1978
"63",FALSE,FALSE,"Malik Allen",2124,9,2001,2010
"64",FALSE,FALSE,"Randy Allen",76025,1,1988,1989
"65",FALSE,FALSE,"Ray Allen",951,17,1996,2013
"66",FALSE,FALSE,"Tony Allen",2754,13,2004,2017
"67",FALSE,FALSE,"Odis Allison",76029,0,1971,1971
"68",FALSE,FALSE,"Lance Allred",200984,0,2007,2007
"69",FALSE,FALSE,"Darrell Allums",76030,0,1980,1980
"70",FALSE,FALSE,"Morris Almond",201165,4,2007,2011
"71",FALSE,FALSE,"Derrick Alston",308,2,1994,1996
"72",FALSE,FALSE,"Rafer Alston",1747,10,1999,2009
"73",FALSE,FALSE,"Peter Aluma",1824,0,1998,1998
"74",FALSE,FALSE,"John Amaechi",680,7,1995,2002
"75",FALSE,FALSE,"Ashraf Amaya",732,1,1995,1996
"76",TRUE,FALSE,"Al-Farouq Aminu",202329,10,2010,2020
"77",FALSE,FALSE,"Lou Amundson",200811,9,2006,2015
"78",FALSE,FALSE,"Bob Anderegg",76034,0,1959,1959
"79",FALSE,FALSE,"Chris Andersen",2365,15,2001,2016
"80",FALSE,FALSE,"David Andersen",2431,1,2009,2010
"81",FALSE,FALSE,"Alan Anderson",101187,11,2005,2016
"82",FALSE,FALSE,"Antonio Anderson",202079,0,2009,2009
"83",FALSE,FALSE,"Cliff Anderson",76035,3,1967,1970
"84",FALSE,FALSE,"Daniel Anderson",76036,1,1974,1975
"85",FALSE,FALSE,"Derek Anderson",1507,10,1997,2007
"86",FALSE,FALSE,"Dwight Anderson",76037,0,1982,1982
"87",FALSE,FALSE,"Eric Anderson",944,1,1992,1993
"88",FALSE,FALSE,"Greg Anderson",246,10,1987,1997
"89",FALSE,FALSE,"James Anderson",202341,5,2010,2015
"90",FALSE,FALSE,"Jerome Anderson",76040,1,1975,1976
"91",FALSE,FALSE,"Justin Anderson",1626147,4,2015,2019
"92",FALSE,FALSE,"Kenny Anderson",72,13,1991,2004
"93",FALSE,FALSE,"Kim Anderson",76041,0,1978,1978
"94",TRUE,FALSE,"Kyle Anderson",203937,6,2014,2020
"95",FALSE,FALSE,"Michael Anderson",76042,0,1988,1988
"96",FALSE,FALSE,"Mitchell Anderson",76043,2,1982,1984
"97",FALSE,FALSE,"Nick Anderson",98,13,1989,2002
"98",FALSE,FALSE,"Richard Anderson",76045,7,1982,1989
"99",FALSE,FALSE,"Ron Anderson",76046,9,1984,1993
"100",FALSE,FALSE,"Ryan Anderson",201583,11,2008,2019
"101",FALSE,FALSE,"Shandon Anderson",1000,9,1996,2005
"102",FALSE,FALSE,"Willie Anderson",335,8,1988,1996
"103",FALSE,FALSE,"Wally Anderzunas",76048,0,1969,1969
"104",FALSE,FALSE,"Martynas Andriuskevicius",101149,1,2005,2006
"105",FALSE,FALSE,"Don Anielak",76049,0,1954,1954
"106",FALSE,FALSE,"Ike Anigbogu",1628387,1,2017,2018
"107",FALSE,FALSE,"Michael Ansley",76050,2,1989,1991
"108",FALSE,FALSE,"Chris Anstey",1512,2,1997,1999
"109",TRUE,FALSE,"Giannis Antetokounmpo",203507,7,2013,2020
"110",TRUE,FALSE,"Kostas Antetokounmpo",1628961,2,2018,2020
"111",TRUE,FALSE,"Thanasis Antetokounmpo",203648,5,2015,2020
"112",TRUE,FALSE,"Carmelo Anthony",2546,17,2003,2020
"113",TRUE,TRUE,"Cole Anthony",1630175,0,2020,2020
"114",FALSE,FALSE,"Greg Anthony",21,10,1991,2001
"115",FALSE,FALSE,"Joel Anthony",201202,9,2007,2016
"116",FALSE,FALSE,"Pero Antic",203544,1,2013,2014
"117",TRUE,FALSE,"OG Anunoby",1628384,3,2017,2020
"118",FALSE,FALSE,"Keith Appling",203951,0,2015,2015
"119",FALSE,FALSE,"Rafael Araujo",2737,2,2004,2006
"120",FALSE,FALSE,"Stacey Arceneaux",76053,0,1961,1961
"121",FALSE,FALSE,"Nate Archibald",76054,13,1970,1983
"122",FALSE,FALSE,"Robert Archibald",2425,1,2002,2003
"123",TRUE,FALSE,"Ryan Arcidiacono",1627853,3,2017,2020
"124",FALSE,FALSE,"Jim Ard",76055,3,1974,1977
