"PlayerPosition","idPlayer","namePlayer"
"C",201599,"DeAndre Jordan"
"C",201150,"Spencer Hawes"
"C",201577,"Robin Lopez"
"C",201586,"Serge Ibaka"
"C",201149,"Joakim Noah"
"C",201572,"Brook Lopez"
"C",101162,"Marcin Gortat"
"C",201567,"Kevin Love"
"C",2200,"Pau Gasol"
"C",203076,"Anthony Davis"
"C",201579,"Roy Hibbert"
"C",2744,"Al Jefferson"
"C",2547,"Chris Bosh"
"C",202324,"Derrick Favors"
"C",203083,"Andre Drummond"
"C",201143,"Al Horford"
"C",202326,"DeMarcus Cousins"
"C",2199,"Tyson Chandler"
"C",2730,"Dwight Howard"
"C",101112,"Channing Frye"
"C",202696,"Nikola Vucevic"
"C",202328,"Greg Monroe"
"C",201593,"Nikola Pekovic"
"C",201160,"Jason Smith"
"C",202685,"Jonas Valanciunas"
"C",203096,"Jared Sullinger"
"C",201959,"Taj Gibson"
"C",2403,"Nene"
"C",200745,"Andrea Bargnani"
"C",201188,"Marc Gasol"
"C",101106,"Andrew Bogut"
"C",201581,"JJ Hickson"
"C",203101,"Miles Plumlee"
"C",202683,"Enes Kanter"
"C",202389,"Timofey Mozgov"
"C",202336,"Larry Sanders"
"C",203089,"John Henson"
"C",201175,"Glen Davis"
"C",2549,"Chris Kaman"
"C",201941,"Jordan Hill"
"C",2760,"Anderson Varejao"
"C",2585,"Zaza Pachulia"
"C",2743,"Kris Humphries"
"C",203156,"Henry Sims"
"C",201574,"Jason Thompson"
"C",203482,"Kelly Olynyk"
"C",202327,"Ekpe Udoh"
"C",979,"Jermaine O'Neal"
"C",201600,"Omer Asik"
"C",201168,"Tiago Splitter"
"C",2405,"Amar'e Stoudemire"
"C",101142,"Ronny Turiaf"
"C",101154,"Andray Blatche"
"C",203135,"Robert Sacre"
"C",202970,"Gustavo Ayon"
"C",203486,"Mason Plumlee"
"C",101115,"Andrew Bynum"
"C",201880,"Greg Stiemsma"
"C",2223,"Samuel Dalembert"
"C",2365,"Chris Andersen"
"C",203544,"Pero Antic"
"C",201580,"JaVale McGee"
"C",202730,"Lavoy Allen"
"C",2570,"Kendrick Perkins"
"C",101133,"Ian Mahinmi"
"C",708,"Kevin Garnett"
"C",203476,"Gorgui Dieng"
"C",203473,"Dewayne Dedmon"
"C",201585,"Kosta Koufos"
"C",202700,"Donatas Motiejunas"
"C",203500,"Steven Adams"
"C",203469,"Cody Zeller"
"C",203092,"Tyler Zeller"
"C",200777,"Joel Freeland"
"C",201582,"Alexis Ajinca"
"C",203543,"Vitor Faverani"
"C",201971,"DeJuan Blair"
"C",202363,"Jarvis Varnado"
"C",2555,"Nick Collison"
"C",203481,"Jeff Withey"
"C",202350,"Daniel Orton"
"C",201965,"Jeff Ayres"
"C",202687,"Bismack Biyombo"
"C",202332,"Cole Aldrich"
"C",202338,"Kevin Seraphin"
"C",203120,"Justin Hamilton"
"C",201578,"Marreese Speights"
"C",201946,"Tyler Hansbrough"
"C",203488,"Mike Muscala"
"C",200756,"Hilton Armstrong"
"C",202725,"Josh Harrellson"
"C",2588,"Matt Bonner"
"C",203086,"Meyers Leonard"
"C",2408,"Melvin Ely"
"C",2215,"Jason Collins"
"C",203545,"Miroslav Raduljica"
"C",202962,"Greg Smith"
"C",201957,"Byron Mullens"
"C",203497,"Rudy Gobert"
"C",201189,"Aaron Gray"
"C",201202,"Joel Anthony"
"C",203382,"Aron Baynes"
"C",200797,"Ryan Hollins"
"C",203458,"Alex Len"
"C",2740,"Andris Biedrins"
"C",201141,"Greg Oden"
"C",202380,"Hamady Ndiaye"
"C",201934,"Hasheem Thabeet"
"C",203136,"Ognjen Kuzmic"
"C",203108,"Bernard James"
"C",1737,"Nazr Mohammed"
"C",202620,"Arinze Onuaku"
"C",203139,"Viacheslav Kravtsov"
"C",202354,"Dexter Pittman"
"C",203457,"Nerlens Noel"
"C",202684,"Tristan Thompson"
"C",2564,"Boris Diaw"
"C",202355,"Hassan Whiteside"
"C",203940,"Adreian Payne"
"C",101138,"Brandon Bass"
"C",203994,"Jusuf Nurkic"
"C",204028,"Tarik Black"
"C",101135,"David Lee"
"C",203124,"Kyle O'Quinn"
"C",2501,"Reggie Evans"
"C",201595,"Joey Dorsey"
"C",203105,"Festus Ezeli"
"C",1882,"Elton Brand"
"C",203991,"Clint Capela"
"C",203128,"Furkan Aldemir"
"C",203530,"Joffrey Lauvergne"
"C",203950,"Jarnell Stokes"
"C",202366,"Jerome Jordan"
"C",2217,"Brendan Haywood"
"C",2853,"Earl Barron"
"C",101236,"Chuck Hayes"
"C",203963,"Shayne Whittington"
"C",204079,"Drew Gordon"
"C",204021,"Sim Bhullar"
"C",203946,"Cameron Bairstow"
"C",203512,"Lucas Nogueira"
"C",203945,"Alex Kirk"
"C",1626143,"Jahlil Okafor"
"C",204001,"Kristaps Porzingis"
"C",1626157,"Karl-Anthony Towns"
"C",1626167,"Myles Turner"
"C",1495,"Tim Duncan"
"C",203999,"Nikola Jokic"
"C",1626161,"Willie Cauley-Stein"
"C",1626163,"Frank Kaminsky"
"C",202334,"Ed Davis"
"C",203939,"Dwight Powell"
"C",1626257,"Salah Mejri"
"C",202353,"Tibor Pleiss"
"C",203186,"Willie Reed"
"C",1626210,"Alan Williams"
"C",1626246,"Boban Marjanovic"
"C",203948,"Johnny O'Bryant III"
"C",204002,"Edy Tavares"
"C",1626245,"Cristiano Felicio"
"C",202712,"Justin Harper"
"C",203961,"Eric Moreland"
"C",201619,"Sasha Kaun"
"C",203954,"Joel Embiid"
"C",1627826,"Ivica Zubac"
"C",1627746,"Skal Labissiere"
"C",1626195,"Willy Hernangomez"
"C",1627834,"Georgios Papagiannis"
"C",1627850,"Marshall Plumlee"
"C",1627748,"Thon Maker"
"C",1627778,"Chinanu Onuaku"
"C",1627751,"Jakob Poeltl"
"C",1627861,"Mike Tobey"
"C",1627745,"Damian Jones"
"C",1627773,"AJ Hammons"
"C",1627757,"Stephen Zimmerman"
"C",1627754,"Diamond Stone"
"C",203944,"Julius Randle"
"C",1628381,"John Collins"
"C",1627734,"Domantas Sabonis"
"C",1628386,"Jarrett Allen"
"C",1717,"Dirk Nowitzki"
"C",1626149,"Montrezl Harrell"
"C",2731,"Emeka Okafor"
"C",1628464,"Daniel Theis"
"C",1628395,"Jordan Bell"
"C",203920,"Khem Birch"
"C",1628436,"Luke Kornet"
"C",101161,"Amir Johnson"
"C",1626158,"Richaun Holmes"
"C",202720,"Jon Leuer"
"C",1628389,"Bam Adebayo"
"C",1628380,"Zach Collins"
"C",202722,"Davis Bertans"
"C",1627738,"Deyonta Davis"
"C",204022,"Jack Cooley"
"C",1626175,"Jordan Mickey"
"C",1627790,"Ante Zizic"
"C",201148,"Brandan Wright"
"C",1627753,"Zhou Qi"
"C",1627856,"Matt Costello"
"C",1627762,"Joel Bolomboy"
"C",1626177,"Dakari Johnson"
"C",1628403,"Caleb Swanigan"
"C",1628418,"Thomas Bryant"
"C",1628493,"Mangok Mathiang"
"C",1628387,"Ike Anigbogu"
"C",1628396,"Tony Bradley"
"C",201177,"Josh McRoberts"
"C",1629028,"Deandre Ayton"
"C",200746,"LaMarcus Aldridge"
"C",1628976,"Wendell Carter Jr."
"C",1629011,"Mitchell Robinson"
"C",1626172,"Kevon Looney"
"C",1628991,"Jaren Jackson Jr."
"C",202702,"Kenneth Faried"
"C",1628964,"Mo Bamba"
"C",1628385,"Harry Giles III"
"C",1629021,"Moritz Wagner"
"C",1629116,"Angel Delgado"
"C",1629057,"Robert Williams III"
"C",1629353,"Isaac Humphries"
"C",1628392,"Isaiah Hartenstein"
"C",1628383,"Justin Patton"
"C",1629118,"Thomas Welsh"
"C",1629093,"Tyler Davis"
"C",1628374,"Lauri Markkanen"
"C",1629675,"Naz Reid"
"C",1628394,"Anzejs Pasecniks"
"C",1626204,"Larry Nance Jr."
"C",1629234,"Drew Eubanks"
"C",1629637,"Jaxson Hayes"
"C",1628449,"Chris Boucher"
"C",1629651,"Nicolas Claxton"
