"","nameTable","typeMeasure","modeSearch","slugSeason","yearSeason","typeSeason","idPlayer","namePlayer","idPlayer1","typeFilter","gp","pctWins","fgm","fga","pctFG","fg3m","fg3a","pctFG3","pctFT","gpRank","pctWinsRank","minutesRank","fgmRank","fgaRank","pctFGRank","fg3mRank","fg3aRank","pctFG3Rank","pctFTRank","fg2m","fg2a","pctFG2","wins","losses","minutes","ftm","fta","oreb","dreb","treb","ast","tov","stl","blk","pf","pfd","pts","plusminus","fptsNBAActual","dd2","winsRank","lossesRank","rankFTM","rankFTA","orebRank","drebRank","trebRank","astRank","tovRank","stlRank","blkRank","blkaRank","pfRank","pfdRank","ptsRank","plusminusRank","fptsRank","dd2Rank","td3Rank","blka","td3","urlPlayerStats","urlPlayerThumbnail","urlPlayerHeadshot","urlPlayerActionPhoto","urlPlayerPhoto"
"1","ByHalfPlayerDashboard","Base","PerGame","2018-19",2019,"Regular Season",1717,"Dirk Nowitzki",1717,"First Half",51,0.333,1.6,4.1,0.393,0.7,2,0.35,0.8,1,2,1,1,1,1,2,2,1,1,0.9,2.1,0.428571428571429,17,34,9.2,0.5,0.6,0.1,1.6,1.7,0.5,0.3,0.1,0.2,1,0.5,4.4,1,7.8,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,NA,NA,"https://stats.nba.com/player/1717","https://stats.nba.com/media/players/230x185/1717.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1717.png","https://stats.nba.com/media/players/700/1717.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1717.png"
"2","ByHalfPlayerDashboard","Base","PerGame","2018-19",2019,"Regular Season",1717,"Dirk Nowitzki",1717,"Second Half",41,0.366,1.3,4,0.315,0.7,2.5,0.28,0.75,2,1,2,2,2,2,1,1,2,2,0.6,1.5,0.4,15,26,7.9,0.4,0.5,0,1.7,1.7,0.3,0.1,0.1,0.2,0.7,0.4,3.6,-2.8,6.8,1,2,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,1,1,NA,NA,"https://stats.nba.com/player/1717","https://stats.nba.com/media/players/230x185/1717.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1717.png","https://stats.nba.com/media/players/700/1717.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1717.png"
"3","ByPeriodPlayerDashboard","Base","PerGame","2018-19",2019,"Regular Season",1717,"Dirk Nowitzki",1717,"1",51,0.333,0.8,1.9,0.421,0.3,1,0.3,0.5,1,2,4,3,4,1,4,4,2,4,0.5,0.9,0.555555555555556,17,34,4.4,0.1,0.2,NA,0.7,0.8,0.2,0.1,0.1,0.1,0.4,0.1,2,0.8,3.7,1,1,1,4,4,1,4,4,4,3,1,2,2,4,4,3,1,3,1,1,0,NA,"https://stats.nba.com/player/1717","https://stats.nba.com/media/players/230x185/1717.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1717.png","https://stats.nba.com/media/players/700/1717.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1717.png"
"4","ByPeriodPlayerDashboard","Base","PerGame","2018-19",2019,"Regular Season",1717,"Dirk Nowitzki",1717,"2",49,0.327,0.9,2.4,0.371,0.4,1.1,0.363636363636364,0.909,2,4,2,2,2,2,3,3,1,1,0.5,1.3,0.384615384615385,16,33,5,0.4,0.4,NA,0.9,1,0.3,0.1,0,0.1,0.6,0.4,2.5,0.2,4.3,1,2,2,1,2,4,3,3,1,1,4,3,2,1,1,2,2,2,1,1,0,NA,"https://stats.nba.com/player/1717","https://stats.nba.com/media/players/230x185/1717.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1717.png","https://stats.nba.com/media/players/700/1717.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1717.png"
"5","ByPeriodPlayerDashboard","Base","PerGame","2018-19",2019,"Regular Season",1717,"Dirk Nowitzki",1717,"3",36,0.333,0.6,2.3,0.272,0.5,1.6,0.3125,0.667,3,2,1,4,3,4,1,1,4,3,0.1,0.7,0.142857142857143,12,24,5.2,0.1,0.2,NA,1,1,0.2,0,0,0.1,0.4,0.2,1.8,-1.7,3.5,1,4,3,3,3,3,2,2,2,4,3,4,1,3,3,4,3,4,1,1,0.1,NA,"https://stats.nba.com/player/1717","https://stats.nba.com/media/players/230x185/1717.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1717.png","https://stats.nba.com/media/players/700/1717.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1717.png"
"6","ByPeriodPlayerDashboard","Base","PerGame","2018-19",2019,"Regular Season",1717,"Dirk Nowitzki",1717,"4",31,0.419,1,2.7,0.357,0.4,1.4,0.285714285714286,0.786,4,1,3,1,1,3,2,2,3,2,0.6,1.3,0.461538461538461,13,18,4.5,0.4,0.5,NA,1.1,1.1,0.2,0.1,0.1,0.2,0.4,0.3,2.7,-1.8,5,1,3,4,2,1,2,1,1,3,2,2,1,2,2,2,1,4,1,1,1,0,NA,"https://stats.nba.com/player/1717","https://stats.nba.com/media/players/230x185/1717.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1717.png","https://stats.nba.com/media/players/700/1717.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1717.png"
"7","ByScoreMarginPlayerDashboard","Base","PerGame","2018-19",2019,"Regular Season",1717,"Dirk Nowitzki",1717,"Tied",40,0.375,0.4,0.8,0.455,0.2,0.4,0.5,0.75,3,2,6,5,6,1,5,6,1,4,0.2,0.4,0.5,15,25,1.5,0.1,0.1,0,0.3,0.3,0.1,0.1,0,0.1,0.1,0.1,1,0.6,1.6,1,3,3,5,5,3,6,6,6,5,4,5,2,6,6,6,4,6,1,1,0,NA,"https://stats.nba.com/player/1717","https://stats.nba.com/media/players/230x185/1717.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1717.png","https://stats.nba.com/media/players/700/1717.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1717.png"
"8","ByScoreMarginPlayerDashboard","Base","PerGame","2018-19",2019,"Regular Season",1717,"Dirk Nowitzki",1717,"1 - 5 Points",49,0.327,1.2,3.1,0.373,0.5,1.8,0.277777777777778,0.792,1,3,1,2,2,3,2,2,4,3,0.7,1.3,0.538461538461538,16,33,7.2,0.4,0.5,0.1,1.2,1.2,0.2,0.1,0.1,0.1,0.8,0.4,3.2,-0.4,5.6,1,1,1,1,1,1,2,2,2,2,1,2,2,1,1,2,5,2,1,1,0,NA,"https://stats.nba.com/player/1717","https://stats.nba.com/media/players/230x185/1717.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1717.png","https://stats.nba.com/media/players/700/1717.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1717.png"
"9","ByScoreMarginPlayerDashboard","Base","PerGame","2018-19",2019,"Regular Season",1717,"Dirk Nowitzki",1717,"6 - 10 Points",49,0.327,0.5,1.3,0.4,0.3,0.7,0.428571428571429,0.615,1,3,4,3,5,2,3,4,2,5,0.2,0.6,0.333333333333333,16,33,3.4,0.2,0.3,0,0.7,0.7,0.1,0.1,0,0.1,0.3,0.1,1.5,-2.6,2.9,1,1,1,3,3,3,5,5,4,4,3,4,2,3,5,3,6,4,1,1,0,NA,"https://stats.nba.com/player/1717","https://stats.nba.com/media/players/230x185/1717.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1717.png","https://stats.nba.com/media/players/700/1717.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1717.png"
"10","ByScoreMarginPlayerDashboard","Base","PerGame","2018-19",2019,"Regular Season",1717,"Dirk Nowitzki",1717,"11 - 15 Points",31,0.29,0.5,1.9,0.267,0.3,1,0.3,1,4,6,3,4,3,6,4,3,5,1,0.2,0.9,0.222222222222222,9,22,3.5,0.1,0.1,0,0.8,0.8,0.2,0.2,0.1,0.1,0.3,0.1,1.4,1.2,3.1,1,4,4,4,4,3,3,3,3,1,2,3,2,4,4,4,1,3,1,1,0,NA,"https://stats.nba.com/player/1717","https://stats.nba.com/media/players/230x185/1717.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1717.png","https://stats.nba.com/media/players/700/1717.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1717.png"
