"PlayerPosition","idPlayer","namePlayer","season"
"C",201599,"DeAndre Jordan","2013-14"
"C",201150,"Spencer Hawes","2013-14"
"C",201577,"Robin Lopez","2013-14"
"C",201586,"Serge Ibaka","2013-14"
"C",201149,"Joakim Noah","2013-14"
"C",201572,"Brook Lopez","2013-14"
"C",101162,"Marcin Gortat","2013-14"
"C",201567,"Kevin Love","2013-14"
"C",2200,"Pau Gasol","2013-14"
"C",203076,"Anthony Davis","2013-14"
"C",201579,"Roy Hibbert","2013-14"
"C",2744,"Al Jefferson","2013-14"
"C",2547,"Chris Bosh","2013-14"
"C",202324,"Derrick Favors","2013-14"
"C",203083,"Andre Drummond","2013-14"
"C",201143,"Al Horford","2013-14"
"C",202326,"DeMarcus Cousins","2013-14"
"C",2199,"Tyson Chandler","2013-14"
"C",2730,"Dwight Howard","2013-14"
"C",101112,"Channing Frye","2013-14"
"C",202696,"Nikola Vucevic","2013-14"
"C",202328,"Greg Monroe","2013-14"
"C",201593,"Nikola Pekovic","2013-14"
"C",201160,"Jason Smith","2013-14"
"C",202685,"Jonas Valanciunas","2013-14"
"C",203096,"Jared Sullinger","2013-14"
"C",201959,"Taj Gibson","2013-14"
"C",2403,"Nene","2013-14"
"C",200745,"Andrea Bargnani","2013-14"
"C",201188,"Marc Gasol","2013-14"
"C",101106,"Andrew Bogut","2013-14"
"C",201581,"JJ Hickson","2013-14"
"C",203101,"Miles Plumlee","2013-14"
"C",202683,"Enes Kanter","2013-14"
"C",202389,"Timofey Mozgov","2013-14"
"C",202336,"Larry Sanders","2013-14"
"C",203089,"John Henson","2013-14"
"C",201175,"Glen Davis","2013-14"
"C",2549,"Chris Kaman","2013-14"
"C",201941,"Jordan Hill","2013-14"
"C",2760,"Anderson Varejao","2013-14"
"C",2585,"Zaza Pachulia","2013-14"
"C",2743,"Kris Humphries","2013-14"
"C",203156,"Henry Sims","2013-14"
"C",201574,"Jason Thompson","2013-14"
"C",203482,"Kelly Olynyk","2013-14"
"C",202327,"Ekpe Udoh","2013-14"
"C",979,"Jermaine O'Neal","2013-14"
"C",201600,"Omer Asik","2013-14"
"C",201168,"Tiago Splitter","2013-14"
"C",2405,"Amar'e Stoudemire","2013-14"
"C",101142,"Ronny Turiaf","2013-14"
"C",101154,"Andray Blatche","2013-14"
"C",203135,"Robert Sacre","2013-14"
"C",202970,"Gustavo Ayon","2013-14"
"C",203486,"Mason Plumlee","2013-14"
"C",101115,"Andrew Bynum","2013-14"
"C",201880,"Greg Stiemsma","2013-14"
"C",2223,"Samuel Dalembert","2013-14"
"C",2365,"Chris Andersen","2013-14"
"C",203544,"Pero Antic","2013-14"
"C",201580,"JaVale McGee","2013-14"
"C",202730,"Lavoy Allen","2013-14"
"C",2570,"Kendrick Perkins","2013-14"
"C",101133,"Ian Mahinmi","2013-14"
"C",708,"Kevin Garnett","2013-14"
"C",203476,"Gorgui Dieng","2013-14"
"C",203473,"Dewayne Dedmon","2013-14"
"C",201585,"Kosta Koufos","2013-14"
"C",202700,"Donatas Motiejunas","2013-14"
"C",203500,"Steven Adams","2013-14"
"C",203469,"Cody Zeller","2013-14"
"C",203092,"Tyler Zeller","2013-14"
"C",200777,"Joel Freeland","2013-14"
"C",201582,"Alexis Ajinca","2013-14"
"C",203543,"Vitor Faverani","2013-14"
"C",201971,"DeJuan Blair","2013-14"
"C",202363,"Jarvis Varnado","2013-14"
"C",2555,"Nick Collison","2013-14"
"C",203481,"Jeff Withey","2013-14"
"C",202350,"Daniel Orton","2013-14"
"C",201965,"Jeff Ayres","2013-14"
"C",202687,"Bismack Biyombo","2013-14"
"C",202332,"Cole Aldrich","2013-14"
"C",202338,"Kevin Seraphin","2013-14"
"C",203120,"Justin Hamilton","2013-14"
"C",201578,"Marreese Speights","2013-14"
"C",201946,"Tyler Hansbrough","2013-14"
"C",203488,"Mike Muscala","2013-14"
"C",200756,"Hilton Armstrong","2013-14"
"C",202725,"Josh Harrellson","2013-14"
"C",2588,"Matt Bonner","2013-14"
"C",203086,"Meyers Leonard","2013-14"
"C",2408,"Melvin Ely","2013-14"
"C",2215,"Jason Collins","2013-14"
"C",203545,"Miroslav Raduljica","2013-14"
"C",202962,"Greg Smith","2013-14"
"C",201957,"Byron Mullens","2013-14"
"C",203497,"Rudy Gobert","2013-14"
"C",201189,"Aaron Gray","2013-14"
"C",201202,"Joel Anthony","2013-14"
"C",203382,"Aron Baynes","2013-14"
"C",200797,"Ryan Hollins","2013-14"
"C",203458,"Alex Len","2013-14"
"C",2740,"Andris Biedrins","2013-14"
