"team","w","l","w_lpercent","gb","pw","pl","ps_g","pa_g","date"
"Philadelphia 76ers*","49","23","0.681","—","48","24","113.6","108.1","2011-11-31"
"Brooklyn Nets*","48","24","0.667","1.0","46","26","118.6","114.1","2011-11-31"
"Milwaukee Bucks*","46","26","0.639","3.0","48","24","120.1","114.2","2011-11-31"
"Atlanta Hawks*","41","31","0.569","8.0","41","31","113.7","111.4","2011-11-31"
"New York Knicks*","41","31","0.569","8.0","41","31","107","104.7","2011-11-31"
"Miami Heat*","40","32","0.556","9.0","36","36","108.1","108","2011-11-31"
"Boston Celtics*","36","36","0.5","13.0","39","33","112.6","111.2","2011-11-31"
"Washington Wizards*","34","38","0.472","15.0","32","40","116.6","118.5","2011-11-31"
"Indiana Pacers","34","38","0.472","15.0","36","36","115.3","115.3","2011-11-31"
"Charlotte Hornets","33","39","0.458","16.0","32","40","109.5","111.4","2011-11-31"
"Chicago Bulls","31","41","0.431","18.0","34","38","110.7","111.6","2011-11-31"
"Toronto Raptors","27","45","0.375","22.0","35","37","111.3","111.7","2011-11-31"
"Cleveland Cavaliers","22","50","0.306","27.0","18","54","103.8","112.3","2011-11-31"
"Orlando Magic","21","51","0.292","28.0","17","55","104","113.3","2011-11-31"
"Detroit Pistons","20","52","0.278","29.0","26","46","106.6","111.1","2011-11-31"
"Utah Jazz*","52","20","0.722","—","55","17","116.4","107.2","2011-11-31"
"Phoenix Suns*","51","21","0.708","1.0","49","23","115.3","109.5","2011-11-31"
"Los Angeles Clippers*","47","25","0.653","5.0","49","23","114","107.8","2011-11-31"
"Denver Nuggets*","47","25","0.653","5.0","47","25","115.1","110.1","2011-11-31"
"Dallas Mavericks*","42","30","0.583","10.0","41","31","112.4","110.2","2011-11-31"
"Portland Trail Blazers*","42","30","0.583","10.0","40","32","116.1","114.3","2011-11-31"
"Los Angeles Lakers*","42","30","0.583","10.0","42","30","109.5","106.8","2011-11-31"
"Golden State Warriors","39","33","0.542","13.0","38","34","113.7","112.7","2011-11-31"
"Memphis Grizzlies*","38","34","0.528","14.0","38","34","113.3","112.3","2011-11-31"
"San Antonio Spurs","33","39","0.458","19.0","32","40","111.1","112.8","2011-11-31"
"New Orleans Pelicans","31","41","0.431","21.0","35","37","114.6","114.9","2011-11-31"
"Sacramento Kings","31","41","0.431","21.0","28","44","113.7","117.4","2011-11-31"
"Minnesota Timberwolves","23","49","0.319","29.0","24","48","112.1","117.7","2011-11-31"
"Oklahoma City Thunder","22","50","0.306","30.0","15","57","105","115.6","2011-11-31"
"Houston Rockets","17","55","0.236","35.0","20","52","108.8","116.7","2011-11-31"
"New York Knicks*","1","0","1.000","—","1","0","106.0","104.0","2011-12-25"
"Boston Celtics*","0","1",".000","1.0","0","1","104.0","106.0","2011-12-25"
"Chicago Bulls*","1","0","1.000","—","1","0","88.0","87.0","2011-12-25"
"Miami Heat*","1","0","1.000","—","1","0","105.0","94.0","2011-12-25"
"Orlando Magic*","0","1",".000","1.0","0","1","89.0","97.0","2011-12-25"
"Oklahoma City Thunder*","1","0","1.000","—","1","0","97.0","89.0","2011-12-25"
"Los Angeles Clippers*","1","0","1.000","—","1","0","105.0","86.0","2011-12-25"
"Los Angeles Lakers*","0","1",".000","1.0","0","1","87.0","88.0","2011-12-25"
