"","team","w","l","w_lpercent","gb","pw","pl","ps_g","pa_g","date"
"1","Boston Celtics*",1,0,1,"—",1,0,105,87,"2018-10-16"
"2","Philadelphia 76ers*",0,1,0,"1.0",0,1,87,105,"2018-10-16"
"3","Golden State Warriors*",1,0,1,"—",1,0,108,100,"2018-10-16"
"4","Oklahoma City Thunder*",0,1,0,"1.0",0,1,100,108,"2018-10-16"
"5","Milwaukee Bucks*",1,0,1,"—",1,0,113,112,"2018-10-17"
"6","Orlando Magic*",1,0,1,"—",1,0,104,101,"2018-10-17"
"7","Toronto Raptors*",1,0,1,"—",1,0,116,104,"2018-10-17"
"8","Boston Celtics*",1,0,1,"—",1,0,105,87,"2018-10-17"
"9","Indiana Pacers*",1,0,1,"—",1,0,111,83,"2018-10-17"
"10","Detroit Pistons*",1,0,1,"—",1,0,103,100,"2018-10-17"
"11","New York Knicks",1,0,1,"—",1,0,126,107,"2018-10-17"
"12","Brooklyn Nets*",0,1,0,"1.0",0,1,100,103,"2018-10-17"
"13","Philadelphia 76ers*",0,1,0,"1.0",0,1,87,105,"2018-10-17"
"14","Charlotte Hornets",0,1,0,"1.0",0,1,112,113,"2018-10-17"
"15","Atlanta Hawks",0,1,0,"1.0",0,1,107,126,"2018-10-17"
"16","Miami Heat",0,1,0,"1.0",0,1,101,104,"2018-10-17"
"17","Cleveland Cavaliers",0,1,0,"1.0",0,1,104,116,"2018-10-17"
"18","Golden State Warriors*",1,0,1,"—",1,0,108,100,"2018-10-17"
"19","Denver Nuggets*",1,0,1,"—",1,0,107,98,"2018-10-17"
"20","Utah Jazz*",1,0,1,"—",1,0,123,117,"2018-10-17"
"21","San Antonio Spurs*",1,0,1,"—",1,0,112,108,"2018-10-17"
"22","New Orleans Pelicans",1,0,1,"—",1,0,131,112,"2018-10-17"
"23","Phoenix Suns",1,0,1,"—",1,0,121,100,"2018-10-17"
"24","Houston Rockets*",0,1,0,"1.0",0,1,112,131,"2018-10-17"
"25","Oklahoma City Thunder*",0,1,0,"1.0",0,1,100,108,"2018-10-17"
"26","Los Angeles Clippers*",0,1,0,"1.0",0,1,98,107,"2018-10-17"
"27","Dallas Mavericks",0,1,0,"1.0",0,1,100,121,"2018-10-17"
"28","Sacramento Kings",0,1,0,"1.0",0,1,117,123,"2018-10-17"
"29","Minnesota Timberwolves",0,1,0,"1.0",0,1,108,112,"2018-10-17"
"30","Memphis Grizzlies",0,1,0,"1.0",0,1,83,111,"2018-10-17"
"31","Milwaukee Bucks*",1,0,1,"—",1,0,113,112,"2018-10-18"
"32","Orlando Magic*",1,0,1,"—",1,0,104,101,"2018-10-18"
"33","Toronto Raptors*",1,0,1,"—",1,0,116,104,"2018-10-18"
"34","Boston Celtics*",1,0,1,"—",1,0,105,87,"2018-10-18"
"35","Indiana Pacers*",1,0,1,"—",1,0,111,83,"2018-10-18"
