Opponent,Team,Date,Season,Month,Week,Visitor,City,Win,Distance,Route,Rest,TZ,shift,direction,Latitude,Longitude,B2B,b2b_2nd,b2b_1st,three_in_four,four_in_five,five_in_seven,flight_duration,game_id,matchup,score_diff,traveling_west,traveling_east,avg_score_diff_home,avg_score_diff_away,adjusted_score_diff,w,l,w_lpercent,ps_g,pa_g,opp_win_percent,win_percent_diff,off_rating,def_rating,net_rating,pace,opp_off_rating,opp_def_rating,opp_net_rating,opp_pace,net_rating_diff,pace_diff
Atlanta Hawks,Sacramento Kings,2015-11-18,2015-16,Nov,46,TRUE,Atlanta,FALSE,2080,Sacramento - Atlanta,2,America/New_York,3,East,33.76,-84.42,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,3.78,21500169,SAC @ ATL,-6,FALSE,TRUE,-0.975,-3.8292682926829267,-2.1707317073170733,4,8,0.333,103.3,107.5,0.643,-0.31,105.3,107.6,-2.3,100.66,104.6,100.8,3.9,97.63,-6.199999999999999,3.030000000000001
Atlanta Hawks,Los Angeles Lakers,2015-12-04,2015-16,Dec,49,TRUE,Atlanta,FALSE,544,Washington - Atlanta,1,America/New_York,0,-,33.76,-84.42,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,1,21500286,LAL @ ATL,-13,FALSE,FALSE,-6.325,-12.926829268292684,-0.07317073170731625,3,16,0.158,96.8,105.4,0.591,-0.43299999999999994,100.7,110.3,-9.7,96.55,104.6,100.8,3.9,97.63,-13.6,-1.0799999999999983
Atlanta Hawks,Phoenix Suns,2016-01-23,2015-16,Jan,4,FALSE,Phoenix,TRUE,0,No Travel,1,America/Phoenix,0,-,33.54,-112.07,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,21500660,PHX vs. ATL,3,FALSE,FALSE,-2.375,-10.609756097560975,5.375,14,31,0.311,101.5,106.6,0.578,-0.26699999999999996,101.5,107.9,-6.5,99.39,104.6,100.8,3.9,97.63,-10.4,1.7600000000000051
Atlanta Hawks,San Antonio Spurs,2015-11-28,2015-16,Nov,48,FALSE,San Antonio,TRUE,799,Denver - San Antonio,0,America/Chicago,1,East,29.46,-98.51,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,1.45,21500242,SAS vs. ATL,20,FALSE,TRUE,13.975609756097562,7.625,6.024390243902438,14,3,0.824,99.4,89.7,0.579,0.245,109.3,98.2,11.1,94.54,104.6,100.8,3.9,97.63,7.199999999999999,-3.089999999999989
Atlanta Hawks,Memphis Grizzlies,2016-03-12,2015-16,Mar,11,TRUE,Atlanta,FALSE,332,Memphis - Atlanta,0,America/New_York,1,East,33.76,-84.42,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,1,21500974,MEM @ ATL,-12,FALSE,TRUE,1.125,-4.853658536585366,-7.146341463414634,39,27,0.591,99.2,99.9,0.561,0.029999999999999916,104.7,107.1,-2.4,93.95,104.6,100.8,3.9,97.63,-6.3,-3.6799999999999926
Atlanta Hawks,Orlando Magic,2016-02-08,2015-16,Feb,6,TRUE,Atlanta,TRUE,406,Orlando - Atlanta,0,America/New_York,0,-,33.76,-84.42,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,1,21500780,ORL @ ATL,7,FALSE,FALSE,2.425,-5.585365853658536,12.585365853658537,23,28,0.451,99.5,100.9,0.556,-0.10500000000000004,104.4,106,-1.6,96.68,104.6,100.8,3.9,97.63,-5.5,-0.9499999999999886
Atlanta Hawks,Golden State Warriors,2016-03-01,2015-16,Mar,9,FALSE,San Francisco,TRUE,1389,Oklahoma City - San Francisco,2,America/Los_Angeles,-2,West,37.77,-122.45,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2.53,21500895,GSW vs. ATL,4,TRUE,FALSE,14.35,7.121951219512195,-10.35,54,5,0.915,115.3,104.1,0.541,0.374,113.5,102.8,10.6,100.24,104.6,100.8,3.9,97.63,6.699999999999999,2.6099999999999994
Atlanta Hawks,Orlando Magic,2016-02-07,2015-16,Feb,6,FALSE,Orlando,TRUE,0,No Travel,1,America/New_York,0,-,28.5,-81.37,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,21500771,ORL vs. ATL,2,FALSE,FALSE,2.425,-5.585365853658536,-0.4249999999999998,22,28,0.44,99.1,100.7,0.566,-0.12599999999999995,104.4,106,-1.6,96.68,104.6,100.8,3.9,97.63,-5.5,-0.9499999999999886
Atlanta Hawks,Denver Nuggets,2016-01-25,2015-16,Jan,4,FALSE,Denver,FALSE,0,No Travel,1,America/Denver,0,-,39.77,-104.87,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,21500672,DEN vs. ATL,-14,FALSE,FALSE,-2.341463414634146,-4.45,-11.658536585365853,17,28,0.378,99.7,103.8,0.587,-0.20899999999999996,104.9,108.2,-3.3,96.34,104.6,100.8,3.9,97.63,-7.199999999999999,-1.289999999999992
Atlanta Hawks,Chicago Bulls,2016-01-09,2015-16,Jan,2,TRUE,Atlanta,FALSE,586,Chicago - Atlanta,1,America/New_York,1,East,33.76,-84.42,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.07,21500551,CHI @ ATL,-15,FALSE,TRUE,1.625,-4.585365853658536,-10.414634146341463,22,13,0.629,102.2,100.3,0.605,0.02400000000000002,104.1,105.5,-1.4,96.6,104.6,100.8,3.9,97.63,-5.3,-1.0300000000000011
Atlanta Hawks,Detroit Pistons,2016-03-26,2015-16,Mar,13,FALSE,Detroit,FALSE,0,No Travel,0,America/Detroit,0,-,42.38,-83.1,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,0,21501085,DET vs. ATL,-17,FALSE,FALSE,5,-4.175,-22,39,35,0.527,102.4,101.6,0.595,-0.06799999999999995,105.3,104.9,0.3,95.75,104.6,100.8,3.9,97.63,-3.6,-1.8799999999999955
Atlanta Hawks,Philadelphia 76ers,2016-01-07,2015-16,Jan,1,FALSE,Philadelphia,FALSE,0,No Travel,2,America/New_York,0,-,40.01,-75.13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,21500536,PHI vs. ATL,-28,FALSE,FALSE,-9.634146341463415,-10.675,-18.365853658536587,4,34,0.105,93.1,105.2,0.595,-0.49,98.4,108.6,-10.2,98.44,104.6,100.8,3.9,97.63,-14.1,0.8100000000000023
Atlanta Hawks,New Orleans Pelicans,2015-11-11,2015-16,Nov,45,TRUE,Atlanta,FALSE,412,New Orleans - Atlanta,0,America/New_York,1,East,33.76,-84.42,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1,21500117,NOP @ ATL,-8,FALSE,TRUE,-0.6585365853658537,-6.7,-1.2999999999999998,1,7,0.125,104.3,112.4,0.8,-0.675,104.8,108.4,-3.7,97.64,104.6,100.8,3.9,97.63,-7.6,0.010000000000005116
