Date,Team,Season,Month,Week,Opponent,Visitor,City,Win,Distance,Route,Rest,TZ,shift,direction,Latitude,Longitude,B2B,b2b_2nd,b2b_1st,three_in_four,four_in_five,five_in_seven,flight_duration,team_id,game_id,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,score_diff
2016-10-27,Boston Celtics,2016-17,Oct,43,Chicago Bulls,TRUE,Chicago,FALSE,854,Boston - Chicago,0,America/Chicago,-1,West,41.84,-87.68,Yes,No,Yes,No,No,No,1.55,1610612738,21600015,38,76,0.5,8,23,0.348,15,24,0.625,3,33,36,22,12,6,6,1,25,21,99,-6
2016-10-27,Portland Trail Blazers,2016-17,Oct,43,Los Angeles Clippers,FALSE,Portland,FALSE,0,No Travel,1,America/Los_Angeles,0,-,45.54,-122.66,No,No,No,No,No,No,0,1610612757,21600017,39,85,0.459,4,18,0.222,24,32,0.75,9,39,48,18,14,4,4,4,34,25,106,-8
2016-10-27,Sacramento Kings,2016-17,Oct,43,San Antonio Spurs,FALSE,Sacramento,FALSE,629,Phoenix - Sacramento,0,America/Los_Angeles,-1,West,38.57,-121.47,Yes,No,Yes,No,No,No,1.14,1610612758,21600016,28,70,0.4,6,20,0.3,32,38,0.842,6,34,40,22,16,7,0,8,21,26,94,-8
2016-10-27,San Antonio Spurs,2016-17,Oct,43,Sacramento Kings,TRUE,Sacramento,TRUE,77,San Francisco - Sacramento,1,America/Los_Angeles,0,-,38.57,-121.47,No,No,No,No,No,No,1,1610612759,21600016,36,79,0.456,6,18,0.333,24,27,0.889,9,31,40,23,10,10,8,0,26,21,102,8
2016-10-28,Brooklyn Nets,2016-17,Oct,44,Indiana Pacers,FALSE,New York,TRUE,190,Boston - New York,1,America/New_York,0,-,40.67,-73.94,Yes,Yes,No,No,No,No,1,1610612751,21600019,38,87,0.437,10,33,0.303,17,20,0.85,12,40,52,20,16,6,4,6,23,22,103,9
2016-10-28,Charlotte Hornets,2016-17,Oct,44,Miami Heat,TRUE,Miami,TRUE,1272,Milwaukee - Miami,1,America/New_York,1,East,25.78,-80.21,Yes,Yes,No,No,No,No,2.31,1610612766,21600022,35,92,0.38,7,22,0.318,20,24,0.833,13,36,49,20,8,10,9,4,20,23,97,6
2016-10-28,Cleveland Cavaliers,2016-17,Oct,44,Toronto Raptors,TRUE,Toronto,TRUE,190,Cleveland - Toronto,2,America/Toronto,0,-,43.65,-79.38,Yes,Yes,No,No,No,No,1,1610612739,21600018,33,79,0.418,12,32,0.375,16,22,0.727,9,31,40,20,18,8,3,3,15,20,94,3
2016-10-28,Dallas Mavericks,2016-17,Oct,44,Houston Rockets,FALSE,Dallas,FALSE,763,Indianapolis - Dallas,1,America/Chicago,-1,West,32.79,-96.77,No,No,No,No,No,No,1.39,1610612742,21600023,35,80,0.438,8,29,0.276,20,24,0.833,6,28,34,13,10,11,2,1,21,22,98,-8
2016-10-28,Detroit Pistons,2016-17,Oct,44,Orlando Magic,FALSE,Detroit,TRUE,207,Toronto - Detroit,1,America/Detroit,0,-,42.38,-83.1,No,No,No,No,No,No,1,1610612765,21600020,48,95,0.505,7,19,0.368,5,6,0.833,9,44,53,27,12,8,4,3,11,13,108,26
2016-10-28,Golden State Warriors,2016-17,Oct,44,New Orleans Pelicans,TRUE,New Orleans,TRUE,1929,San Francisco - New Orleans,2,America/Chicago,2,East,30.07,-89.93,No,No,No,No,No,No,3.51,1610612744,21600025,44,91,0.484,9,28,0.321,25,28,0.893,9,40,49,32,14,8,2,5,22,24,122,8
2016-10-28,Houston Rockets,2016-17,Oct,44,Dallas Mavericks,TRUE,Dallas,TRUE,1249,Los Angeles - Dallas,1,America/Chicago,2,East,32.79,-96.77,No,No,No,No,No,No,2.27,1610612745,21600023,33,70,0.471,15,32,0.469,25,31,0.806,5,36,41,21,19,6,1,2,22,21,106,8
2016-10-28,Indiana Pacers,2016-17,Oct,44,Brooklyn Nets,TRUE,New York,FALSE,647,Indianapolis - New York,1,America/New_York,0,-,40.67,-73.94,Yes,Yes,No,No,No,No,1.18,1610612754,21600019,37,98,0.378,7,24,0.292,13,20,0.65,14,35,49,22,13,7,6,4,22,23,94,-9
2016-10-28,Los Angeles Lakers,2016-17,Oct,44,Utah Jazz,TRUE,Salt Lake City,FALSE,582,Los Angeles - Salt Lake City,1,America/Denver,1,East,40.78,-111.93,No,No,No,No,No,No,1.06,1610612747,21600024,32,84,0.381,9,23,0.391,16,21,0.762,11,32,43,16,17,6,7,7,29,18,89,-7
2016-10-28,Miami Heat,2016-17,Oct,44,Charlotte Hornets,FALSE,Miami,FALSE,201,Orlando - Miami,1,America/New_York,0,-,25.78,-80.21,No,No,No,No,No,No,1,1610612748,21600022,32,86,0.372,14,34,0.412,13,20,0.65,11,41,52,19,20,2,4,9,23,20,91,-6
2016-10-28,New Orleans Pelicans,2016-17,Oct,44,Golden State Warriors,FALSE,New Orleans,FALSE,0,No Travel,1,America/Chicago,0,-,30.07,-89.93,Yes,Yes,No,No,No,No,0,1610612740,21600025,47,100,0.47,5,22,0.227,15,23,0.652,12,37,49,29,15,8,5,2,24,22,114,-8
2016-10-28,Oklahoma City Thunder,2016-17,Oct,44,Phoenix Suns,FALSE,Oklahoma City,TRUE,1259,Philadelphia - Oklahoma City,1,America/Chicago,-1,West,35.47,-97.51,No,No,No,No,No,No,2.29,1610612760,21600021,40,96,0.417,5,21,0.238,28,38,0.737,14,43,57,13,22,11,3,3,24,29,113,3
2016-10-28,Orlando Magic,2016-17,Oct,44,Detroit Pistons,TRUE,Detroit,FALSE,964,Orlando - Detroit,1,America/Detroit,0,-,42.38,-83.1,Yes,Yes,No,No,No,No,1.75,1610612753,21600020,33,95,0.347,8,26,0.308,8,12,0.667,14,30,44,20,9,8,3,4,13,11,82,-26
2016-10-28,Phoenix Suns,2016-17,Oct,44,Oklahoma City Thunder,TRUE,Oklahoma City,FALSE,839,Phoenix - Oklahoma City,1,America/Chicago,1,East,35.47,-97.51,No,No,No,No,No,No,1.53,1610612756,21600021,42,94,0.447,5,28,0.179,21,32,0.656,7,37,44,15,15,11,3,3,29,24,110,-3
