"","test_actual","test_fold","type","test_preds"
"1",-0.9,"6","sn_net_rating_diff",-6.69871438451962
"2",-0.9,"6","w60_en",-6.41611665888987
"3",-0.9,"6","w_40",-7.13149431879988
"4",-0.9,"6","w40_t",-7.02932525111559
"5",-0.9,"6","w40_td",-6.4077750927028
"6",-0.9,"6","w60_tf",-8.30042612634532
"7",-15.6,"6","sn_net_rating_diff",-5.1570459339526
"8",-15.6,"6","w60_en",-4.38277279480508
"9",-15.6,"6","w_40",-5.41233481346339
"10",-15.6,"6","w40_t",-5.3499773451607
"11",-15.6,"6","w40_td",-4.9019741305506
"12",-15.6,"6","w60_tf",-5.25035726409774
"13",6.2,"6","sn_net_rating_diff",-2.26641758913944
"14",6.2,"6","w60_en",-2.36894949188304
"15",6.2,"6","w_40",-2.27781341117116
"16",6.2,"6","w40_t",-2.06917942685882
"17",6.2,"6","w40_td",-2.02131548998816
"18",6.2,"6","w60_tf",-1.5277034961861
"19",23.6,"6","sn_net_rating_diff",6.21275888897915
"20",23.6,"6","w60_en",4.12603353074789
"21",23.6,"6","w_40",7.20317989180041
"22",23.6,"6","w40_t",7.12919422354017
"23",23.6,"6","w40_td",6.42701592715279
"24",23.6,"6","w60_tf",6.89205095529628
"25",-17,"6","sn_net_rating_diff",-6.50600582819874
"26",-17,"6","w60_en",-6.23890498334706
"27",-17,"6","w_40",-6.79379314974442
"28",-17,"6","w40_t",-7.00177419444534
"29",-17,"6","w40_td",-6.38839138969689
"30",-17,"6","w60_tf",-7.88733497454684
"31",12.8,"6","sn_net_rating_diff",8.52526156482968
"32",12.8,"6","w60_en",6.35665235913433
"33",12.8,"6","w_40",9.65948962514647
"34",12.8,"6","w40_t",9.8300241047473
"35",12.8,"6","w40_td",8.89133623567544
"36",12.8,"6","w60_tf",10.6740225701897
"37",-5.4,"6","sn_net_rating_diff",-1.49558336385593
"38",-5.4,"6","w60_en",-1.49482224749891
"39",-5.4,"6","w_40",-1.51504715954071
"40",-5.4,"6","w40_t",-1.12484130419976
"41",-5.4,"6","w40_td",-1.21901774518956
"42",-5.4,"6","w60_tf",-1.30774566944401
"43",3,"6","sn_net_rating_diff",-12.0945539615042
"44",3,"6","w60_en",-9.9943849114177
"45",3,"6","w_40",-12.7695861203803
"46",3,"6","w40_t",-13.2700381388764
"47",3,"6","w40_td",-12.1327508335525
"48",3,"6","w60_tf",-13.0818837137548
"49",5.9,"6","sn_net_rating_diff",-6.02423443739655
"50",5.9,"6","w60_en",-6.01136684298284
"51",5.9,"6","w_40",-6.45244304378065
"52",5.9,"6","w40_t",-6.3340003451907
"53",5.9,"6","w40_td",-6.04373602409567
"54",5.9,"6","w60_tf",-6.06425237756932
"55",-30,"6","sn_net_rating_diff",-12.5763253523064
"56",-30,"6","w60_en",-10.0347293858608
"57",-30,"6","w_40",-13.7671584785145
"58",-30,"6","w40_t",-13.3875145996058
"59",-30,"6","w40_td",-12.7662716949657
"60",-30,"6","w60_tf",-13.7466276387883
"61",3.6,"6","sn_net_rating_diff",-0.532040582251549
"62",3.6,"6","w60_en",-0.551242619512371
"63",3.6,"6","w_40",-0.439442350016244
"64",3.6,"6","w40_t",-0.265646492905194
"65",3.6,"6","w40_td",-0.390369619909739
"66",3.6,"6","w60_tf",-1.02279437647696
"67",2.2,"6","sn_net_rating_diff",2.45494204072205
"68",2.2,"6","w60_en",1.02389167815048
"69",2.2,"6","w_40",2.97053749981419
"70",2.2,"6","w40_t",2.80345721770216
"71",2.2,"6","w40_td",2.56519878710616
"72",2.2,"6","w60_tf",2.37835271224784
"73",-3.4,"6","sn_net_rating_diff",0.335147921192398
"74",-3.4,"6","w60_en",0.111592794247304
"75",-3.4,"6","w_40",0.720081755121948
"76",-3.4,"6","w40_t",0.595425995431428
"77",-3.4,"6","w40_td",0.638289835508981
"78",-3.4,"6","w60_tf",1.37836226563482
"79",-28.4,"6","sn_net_rating_diff",-5.06069165579216
"80",-28.4,"6","w60_en",-5.4880470535405
"81",-28.4,"6","w_40",-4.86225752446001
"82",-28.4,"6","w40_t",-5.68863985261119
"83",-28.4,"6","w40_td",-5.10943501590282
"84",-28.4,"6","w60_tf",-7.63673776848976
"85",5.6,"6","sn_net_rating_diff",-4.57892026498997
"86",5.6,"6","w60_en",-5.18578763456645
"87",5.6,"6","w_40",-4.42597744860706
"88",5.6,"6","w40_t",-4.6889315196424
"89",5.6,"6","w40_td",-4.17127367773173
"90",5.6,"6","w60_tf",-3.52314980824328
"91",9.1,"6","sn_net_rating_diff",1.20233642463635
"92",9.1,"6","w60_en",0.778639616372712
"93",9.1,"6","w_40",1.21170571496832
"94",9.1,"6","w40_t",1.85369063444569
"95",9.1,"6","w40_td",1.50574753640285
"96",9.1,"6","w60_tf",3.19776149934207
"97",4.3,"6","sn_net_rating_diff",3.41848482232643
"98",4.3,"6","w60_en",1.10689995408203
"99",4.3,"6","w_40",3.94932880830087
"100",4.3,"6","w40_t",3.56657050875115
"101",4.3,"6","w40_td",3.30305063191112
"102",4.3,"6","w60_tf",2.54411519214887
"103",-16.9,"6","sn_net_rating_diff",0.431502199352837
"104",-16.9,"6","w60_en",-0.222432662457136
"105",-16.9,"6","w_40",0.731845841856849
"106",-16.9,"6","w40_t",0.554794459124922
"107",-16.9,"6","w40_td",0.524518922320769
"108",-16.9,"6","w60_tf",1.36433807467528
