"typeSeason","slugSeason","idGame","dateGame","slugMatchup","slugTeamWinner","slugTeamLoser","numberGameDay"
"Regular Season","2013-14",21300001,2013-10-29,"ORL @ IND","IND","ORL",1
"Regular Season","2013-14",21300002,2013-10-29,"MIA vs. CHI","MIA","CHI",2
"Regular Season","2013-14",21300003,2013-10-29,"LAL vs. LAC","LAL","LAC",3
"Regular Season","2013-14",21300004,2013-10-30,"BKN @ CLE","CLE","BKN",1
"Regular Season","2013-14",21300005,2013-10-30,"PHI vs. MIA","PHI","MIA",2
"Regular Season","2013-14",21300006,2013-10-30,"BOS @ TOR","TOR","BOS",3
"Regular Season","2013-14",21300007,2013-10-30,"DET vs. WAS","DET","WAS",4
"Regular Season","2013-14",21300008,2013-10-30,"NYK vs. MIL","NYK","MIL",5
"Regular Season","2013-14",21300009,2013-10-30,"CHA @ HOU","HOU","CHA",6
"Regular Season","2013-14",21300010,2013-10-30,"MIN vs. ORL","MIN","ORL",7
"Regular Season","2013-14",21300011,2013-10-30,"NOP vs. IND","IND","NOP",8
"Regular Season","2013-14",21300012,2013-10-30,"ATL @ DAL","DAL","ATL",9
"Regular Season","2013-14",21300013,2013-10-30,"MEM @ SAS","SAS","MEM",10
"Regular Season","2013-14",21300014,2013-10-30,"OKC @ UTA","OKC","UTA",11
"Regular Season","2013-14",21300015,2013-10-30,"PHX vs. POR","PHX","POR",12
"Regular Season","2013-14",21300016,2013-10-30,"DEN @ SAC","SAC","DEN",13
"Regular Season","2013-14",21300017,2013-10-30,"LAL @ GSW","GSW","LAL",14
"Regular Season","2013-14",21300018,2013-10-31,"NYK @ CHI","CHI","NYK",1
"Regular Season","2013-14",21300019,2013-10-31,"LAC vs. GSW","LAC","GSW",2
"Regular Season","2013-14",21300020,2013-11-01,"CLE @ CHA","CHA","CLE",1
"Regular Season","2013-14",21300021,2013-11-01,"ORL vs. NOP","ORL","NOP",2
"Regular Season","2013-14",21300022,2013-11-01,"PHI @ WAS","PHI","WAS",3
"Regular Season","2013-14",21300023,2013-11-01,"TOR @ ATL","ATL","TOR",4
"Regular Season","2013-14",21300024,2013-11-01,"MIL @ BOS","MIL","BOS",5
"Regular Season","2013-14",21300025,2013-11-01,"HOU vs. DAL","HOU","DAL",6
"Regular Season","2013-14",21300026,2013-11-01,"MEM vs. DET","MEM","DET",7
"Regular Season","2013-14",21300027,2013-11-01,"OKC @ MIN","MIN","OKC",8
"Regular Season","2013-14",21300028,2013-11-01,"BKN vs. MIA","BKN","MIA",9
"Regular Season","2013-14",21300029,2013-11-01,"DEN vs. POR","POR","DEN",10
"Regular Season","2013-14",21300030,2013-11-01,"PHX vs. UTA","PHX","UTA",11
"Regular Season","2013-14",21300031,2013-11-01,"LAC @ SAC","LAC","SAC",12
"Regular Season","2013-14",21300032,2013-11-01,"SAS @ LAL","SAS","LAL",13
"Regular Season","2013-14",21300033,2013-11-02,"CLE @ IND","IND","CLE",1
"Regular Season","2013-14",21300034,2013-11-02,"CHI @ PHI","PHI","CHI",2
"Regular Season","2013-14",21300035,2013-11-02,"NOP vs. CHA","NOP","CHA",3
"Regular Season","2013-14",21300036,2013-11-02,"DAL vs. MEM","DAL","MEM",4
"Regular Season","2013-14",21300037,2013-11-02,"MIL vs. TOR","TOR","MIL",5
"Regular Season","2013-14",21300038,2013-11-02,"UTA vs. HOU","HOU","UTA",6
"Regular Season","2013-14",21300039,2013-11-02,"POR vs. SAS","POR","SAS",7
"Regular Season","2013-14",21300040,2013-11-02,"SAC @ GSW","GSW","SAC",8
"Regular Season","2013-14",21300041,2013-11-03,"DET vs. BOS","DET","BOS",1
"Regular Season","2013-14",21300042,2013-11-03,"WAS @ MIA","MIA","WAS",2
"Regular Season","2013-14",21300043,2013-11-03,"ORL vs. BKN","ORL","BKN",3
"Regular Season","2013-14",21300044,2013-11-03,"OKC vs. PHX","OKC","PHX",4
"Regular Season","2013-14",21300045,2013-11-03,"MIN @ NYK","MIN","NYK",5
"Regular Season","2013-14",21300046,2013-11-03,"ATL @ LAL","LAL","ATL",6
"Regular Season","2013-14",21300047,2013-11-04,"MIN @ CLE","CLE","MIN",1
"Regular Season","2013-14",21300048,2013-11-04,"PHI vs. GSW","GSW","PHI",2
"Regular Season","2013-14",21300049,2013-11-04,"BOS @ MEM","MEM","BOS",3
"Regular Season","2013-14",21300050,2013-11-04,"LAC vs. HOU","LAC","HOU",4
"Regular Season","2013-14",21300051,2013-11-05,"TOR vs. MIA","MIA","TOR",1
"Regular Season","2013-14",21300052,2013-11-05,"UTA @ BKN","BKN","UTA",2
"Regular Season","2013-14",21300053,2013-11-05,"DET vs. IND","IND","DET",3
"Regular Season","2013-14",21300054,2013-11-05,"CHA @ NYK","CHA","NYK",4
"Regular Season","2013-14",21300055,2013-11-05,"PHX @ NOP","PHX","NOP",5
"Regular Season","2013-14",21300056,2013-11-05,"LAL @ DAL","DAL","LAL",6
"Regular Season","2013-14",21300057,2013-11-05,"SAS @ DEN","SAS","DEN",7
"Regular Season","2013-14",21300058,2013-11-05,"POR vs. HOU","HOU","POR",8
"Regular Season","2013-14",21300059,2013-11-05,"SAC vs. ATL","ATL","SAC",9
"Regular Season","2013-14",21300060,2013-11-06,"CHA vs. TOR","CHA","TOR",1
"Regular Season","2013-14",21300061,2013-11-06,"CHI @ IND","IND","CHI",2
"Regular Season","2013-14",21300062,2013-11-06,"LAC @ ORL","ORL","LAC",3
"Regular Season","2013-14",21300063,2013-11-06,"PHI vs. WAS","WAS","PHI",4
"Regular Season","2013-14",21300064,2013-11-06,"UTA @ BOS","BOS","UTA",5
"Regular Season","2013-14",21300065,2013-11-06,"NOP @ MEM","NOP","MEM",6
"Regular Season","2013-14",21300066,2013-11-06,"MIL vs. CLE","MIL","CLE",7
"Regular Season","2013-14",21300067,2013-11-06,"GSW @ MIN","GSW","MIN",8
"Regular Season","2013-14",21300068,2013-11-06,"PHX @ SAS","SAS","PHX",9
"Regular Season","2013-14",21300069,2013-11-06,"DAL @ OKC","OKC","DAL",10
"Regular Season","2013-14",21300070,2013-11-07,"MIA vs. LAC","MIA","LAC",1
"Regular Season","2013-14",21300071,2013-11-07,"DEN vs. ATL","DEN","ATL",2
"Regular Season","2013-14",21300072,2013-11-07,"HOU vs. LAL","LAL","HOU",3
"Regular Season","2013-14",21300073,2013-11-08,"NYK @ CHA","NYK","CHA",1
"Regular Season","2013-14",21300074,2013-11-08,"TOR @ IND","IND","TOR",2
"Regular Season","2013-14",21300075,2013-11-08,"BOS @ ORL","BOS","ORL",3
"Regular Season","2013-14",21300076,2013-11-08,"CLE @ PHI","PHI","CLE",4
"Regular Season","2013-14",21300077,2013-11-08,"WAS vs. BKN","WAS","BKN",5
"Regular Season","2013-14",21300078,2013-11-08,"DET vs. OKC","OKC","DET",6
"Regular Season","2013-14",21300079,2013-11-08,"CHI vs. UTA","CHI","UTA",7
"Regular Season","2013-14",21300080,2013-11-08,"MIN vs. DAL","MIN","DAL",8
"Regular Season","2013-14",21300081,2013-11-08,"LAL @ NOP","NOP","LAL",9
