"typeSeason","slugSeason","idGame","dateGame","slugMatchup","slugTeamWinner","slugTeamLoser","numberGameDay"
"Regular Season","2016-17",21600001,2016-10-25,"NYK @ CLE","CLE","NYK",1
"Regular Season","2016-17",21600002,2016-10-25,"UTA @ POR","POR","UTA",2
"Regular Season","2016-17",21600003,2016-10-25,"GSW vs. SAS","SAS","GSW",3
"Regular Season","2016-17",21600004,2016-10-26,"ORL vs. MIA","MIA","ORL",1
"Regular Season","2016-17",21600005,2016-10-26,"DAL @ IND","IND","DAL",2
"Regular Season","2016-17",21600006,2016-10-26,"BOS vs. BKN","BOS","BKN",3
"Regular Season","2016-17",21600007,2016-10-26,"TOR vs. DET","TOR","DET",4
"Regular Season","2016-17",21600008,2016-10-26,"CHA @ MIL","CHA","MIL",5
"Regular Season","2016-17",21600009,2016-10-26,"MEM vs. MIN","MEM","MIN",6
"Regular Season","2016-17",21600010,2016-10-26,"DEN @ NOP","DEN","NOP",7
"Regular Season","2016-17",21600011,2016-10-26,"PHI vs. OKC","OKC","PHI",8
"Regular Season","2016-17",21600012,2016-10-26,"SAC @ PHX","SAC","PHX",9
"Regular Season","2016-17",21600013,2016-10-26,"LAL vs. HOU","LAL","HOU",10
"Regular Season","2016-17",21600014,2016-10-27,"WAS @ ATL","ATL","WAS",1
"Regular Season","2016-17",21600015,2016-10-27,"CHI vs. BOS","CHI","BOS",2
"Regular Season","2016-17",21600016,2016-10-27,"SAC vs. SAS","SAS","SAC",3
"Regular Season","2016-17",21600017,2016-10-27,"LAC @ POR","LAC","POR",4
"Regular Season","2016-17",21600018,2016-10-28,"TOR vs. CLE","CLE","TOR",1
"Regular Season","2016-17",21600019,2016-10-28,"BKN vs. IND","BKN","IND",2
"Regular Season","2016-17",21600020,2016-10-28,"DET vs. ORL","DET","ORL",3
"Regular Season","2016-17",21600021,2016-10-28,"PHX @ OKC","OKC","PHX",4
"Regular Season","2016-17",21600022,2016-10-28,"MIA vs. CHA","CHA","MIA",5
"Regular Season","2016-17",21600023,2016-10-28,"DAL vs. HOU","HOU","DAL",6
"Regular Season","2016-17",21600024,2016-10-28,"UTA vs. LAL","UTA","LAL",7
"Regular Season","2016-17",21600025,2016-10-28,"NOP vs. GSW","GSW","NOP",8
"Regular Season","2016-17",21600026,2016-10-29,"PHI vs. ATL","ATL","PHI",1
"Regular Season","2016-17",21600027,2016-10-29,"CHA vs. BOS","BOS","CHA",2
"Regular Season","2016-17",21600028,2016-10-29,"NYK vs. MEM","NYK","MEM",3
"Regular Season","2016-17",21600029,2016-10-29,"CLE vs. ORL","CLE","ORL",4
"Regular Season","2016-17",21600030,2016-10-29,"CHI vs. IND","CHI","IND",5
"Regular Season","2016-17",21600031,2016-10-29,"MIL vs. BKN","MIL","BKN",6
"Regular Season","2016-17",21600032,2016-10-29,"NOP @ SAS","SAS","NOP",7
"Regular Season","2016-17",21600033,2016-10-29,"DEN vs. POR","POR","DEN",8
"Regular Season","2016-17",21600034,2016-10-29,"SAC vs. MIN","SAC","MIN",9
"Regular Season","2016-17",21600035,2016-10-30,"UTA @ LAC","LAC","UTA",1
"Regular Season","2016-17",21600036,2016-10-30,"PHX vs. GSW","GSW","PHX",2
"Regular Season","2016-17",21600037,2016-10-30,"MIA vs. SAS","SAS","MIA",3
"Regular Season","2016-17",21600038,2016-10-30,"DET vs. MIL","DET","MIL",4
"Regular Season","2016-17",21600039,2016-10-30,"WAS @ MEM","MEM","WAS",5
"Regular Season","2016-17",21600040,2016-10-30,"OKC vs. LAL","OKC","LAL",6
"Regular Season","2016-17",21600041,2016-10-30,"HOU vs. DAL","HOU","DAL",7
"Regular Season","2016-17",21600042,2016-10-31,"TOR vs. DEN","TOR","DEN",1
"Regular Season","2016-17",21600043,2016-10-31,"CHI @ BKN","CHI","BKN",2
"Regular Season","2016-17",21600044,2016-10-31,"ATL vs. SAC","ATL","SAC",3
"Regular Season","2016-17",21600045,2016-10-31,"LAC vs. PHX","LAC","PHX",4
"Regular Season","2016-17",21600046,2016-11-01,"PHI vs. ORL","ORL","PHI",1
"Regular Season","2016-17",21600047,2016-11-01,"CLE vs. HOU","CLE","HOU",2
"Regular Season","2016-17",21600048,2016-11-01,"IND vs. LAL","IND","LAL",3
"Regular Season","2016-17",21600049,2016-11-01,"MIA vs. SAC","MIA","SAC",4
"Regular Season","2016-17",21600050,2016-11-01,"DET vs. NYK","DET","NYK",5
"Regular Season","2016-17",21600051,2016-11-01,"NOP vs. MIL","MIL","NOP",6
"Regular Season","2016-17",21600052,2016-11-01,"MIN vs. MEM","MIN","MEM",7
"Regular Season","2016-17",21600053,2016-11-01,"UTA @ SAS","UTA","SAS",8
"Regular Season","2016-17",21600054,2016-11-01,"POR vs. GSW","GSW","POR",9
"Regular Season","2016-17",21600055,2016-11-02,"WAS vs. TOR","TOR","WAS",1
"Regular Season","2016-17",21600056,2016-11-02,"CHA vs. PHI","CHA","PHI",2
"Regular Season","2016-17",21600057,2016-11-02,"BKN vs. DET","BKN","DET",3
"Regular Season","2016-17",21600058,2016-11-02,"HOU @ NYK","HOU","NYK",4
"Regular Season","2016-17",21600059,2016-11-02,"ATL vs. LAL","LAL","ATL",5
"Regular Season","2016-17",21600060,2016-11-02,"NOP @ MEM","MEM","NOP",6
"Regular Season","2016-17",21600061,2016-11-02,"CHI @ BOS","BOS","CHI",7
"Regular Season","2016-17",21600062,2016-11-02,"UTA vs. DAL","UTA","DAL",8
"Regular Season","2016-17",21600063,2016-11-02,"PHX vs. POR","PHX","POR",9
"Regular Season","2016-17",21600064,2016-11-02,"OKC @ LAC","OKC","LAC",10
"Regular Season","2016-17",21600065,2016-11-03,"SAC @ ORL","ORL","SAC",1
"Regular Season","2016-17",21600066,2016-11-03,"IND @ MIL","MIL","IND",2
"Regular Season","2016-17",21600067,2016-11-03,"MIN vs. DEN","DEN","MIN",3
"Regular Season","2016-17",21600068,2016-11-03,"BOS @ CLE","CLE","BOS",4
"Regular Season","2016-17",21600069,2016-11-03,"OKC @ GSW","GSW","OKC",5
"Regular Season","2016-17",21600070,2016-11-04,"WAS vs. ATL","WAS","ATL",1
"Regular Season","2016-17",21600071,2016-11-04,"TOR vs. MIA","TOR","MIA",2
"Regular Season","2016-17",21600072,2016-11-04,"BKN vs. CHA","CHA","BKN",3
"Regular Season","2016-17",21600073,2016-11-04,"CHI vs. NYK","NYK","CHI",4
"Regular Season","2016-17",21600074,2016-11-04,"MEM vs. LAC","LAC","MEM",5
