visitor,Opponent,Date,game_id,season,game_net_rating,win_percent_diff,games_played,net_rating_diff,score_diff,wins_vis,loss_vis,hollow_wind60_cent,hollow_wind50_cent,hollow_wind40_cent,hollow_wind30_cent,hollow_wind20_cent,wind_10_center,wind_40_hollow,wind_35_hollow,wind_30_hollow,wind_25_hollow,wind_20_hollow,wind_15_hollow,wind_10_hollow_5,wind_5_hollow,wind_7_hollow,wind_10_hollow,wind_2,wind_5,wind_7,wind_10,wind_15,wind_20,wind_25,wind_30,wind_35,wind_40
Houston Rockets,Los Angeles Lakers,2010-10-26,21000003,2010-11,-0.9,0,1,10.5,-2,0,1,44.4,-12.8,11.4,-52.3,-48,-64.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miami Heat,Boston Celtics,2010-10-26,21000001,2010-11,-7.7,0,1,-3.3,-8,0,1,24.4,16.3,44.5,14.9,-40.4,34.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phoenix Suns,Portland Trail Blazers,2010-10-26,21000002,2010-11,-15.6,0,1,-5.4,-14,0,1,-22.2,-36.2,-3.3,5.8,-18.2,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atlanta Hawks,Memphis Grizzlies,2010-10-27,21000008,2010-11,15.2,0,1,2.4,15,1,0,31.8,-27.4,56.3,-15.3,-4.1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston Celtics,Cleveland Cavaliers,2010-10-27,21000004,2010-11,-8.7,1,2,-4.5,-8,1,1,76.7,44.4,138,146.7,77.3,76.7,0,0,0,0,0,0,0,0,0,0,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7
Chicago Bulls,Oklahoma City Thunder,2010-10-27,21000011,2010-11,-13,0,1,0.9,-11,0,1,51.3,69.3,20.9,-31.7,10.3,48.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Houston Rockets,Golden State Warriors,2010-10-27,21000015,2010-11,-2.7,0,2,-6.5,-4,0,2,-22,72.8,65.4,94.1,-6.3,5.8,0,0,0,0,0,0,0,0,0,0,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9
Indiana Pacers,San Antonio Spurs,2010-10-27,21000013,2010-11,-12.7,0,1,-6.1,-13,0,1,-59.3,-53.6,-76.5,-23.1,-27.8,-40.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miami Heat,Philadelphia 76ers,2010-10-27,21000006,2010-11,8.6,0,2,6,10,1,1,28.5,107.2,39.9,93.3,50.7,55,0,0,0,0,0,0,0,0,0,0,-7.7,-7.7,-7.7,-7.7,-7.7,-7.7,-7.7,-7.7,-7.7,-7.7
New York Knicks,Toronto Raptors,2010-10-27,21000007,2010-11,6.1,0,1,-13.2,5,1,0,73,42.7,49.1,23.8,-32,29.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portland Trail Blazers,Los Angeles Clippers,2010-10-27,21000016,2010-11,11.1,1,2,-2.6,10,2,0,20.8,4.7,4.7,-12.9,55.5,75.3,0,0,0,0,0,0,0,0,0,0,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6
Sacramento Kings,Minnesota Timberwolves,2010-10-27,21000009,2010-11,2.1,0,1,5.4,1,1,0,46.2,8.79999999999998,-38.7,-28,-44.4,62.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Utah Jazz,Denver Nuggets,2010-10-27,21000014,2010-11,-22.6,0,1,3.4,-22,0,1,-24.7,49.6,13.6,24.3,25.1,-16.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phoenix Suns,Utah Jazz,2010-10-28,21000018,2010-11,17.9,0,2,-1.2,16,1,1,8.19999999999999,-65,16.6,-76.9,-14.9,-39.7,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7
Washington Wizards,Orlando Magic,2010-10-28,21000017,2010-11,-29,0,1,6.5,-29,0,1,-84.2,-20.8,-11.8,-121.7,-71.5,-20.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atlanta Hawks,Philadelphia 76ers,2010-10-29,21000021,2010-11,3.2,1,2,14.9,3,2,0,11.2,57.4,-22.9,30.1,46.5,45.7,0,0,0,0,0,0,0,0,0,0,23.8,23.8,23.8,23.8,23.8,23.8,23.8,23.8,23.8,23.8
Cleveland Cavaliers,Toronto Raptors,2010-10-29,21000022,2010-11,-21.3,1,2,1.7,-20,1,1,-44.3,22.8,-47.4,-98.2,-34.1,42,0,0,0,0,0,0,0,0,0,0,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8
Los Angeles Clippers,Golden State Warriors,2010-10-29,21000029,2010-11,-17.8,-1,2,-3,-18,0,2,-5.3,64.2,42.4,48,-25.8,-28.1,0,0,0,0,0,0,0,0,0,0,-13.8,-13.8,-13.8,-13.8,-13.8,-13.8,-13.8,-13.8,-13.8,-13.8
Los Angeles Lakers,Phoenix Suns,2010-10-29,21000030,2010-11,8.4,0.5,2,-6,8,2,0,-50.5,92.5,33.4,33.1,43.8,66.8,0,0,0,0,0,0,0,0,0,0,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4
Memphis Grizzlies,Dallas Mavericks,2010-10-29,21000028,2010-11,-1,-1,2,0.3,1,1,1,47.9,-18.8,-46.5,-38.4,-54.4,-37.1,0,0,0,0,0,0,0,0,0,0,-15.2,-15.2,-15.2,-15.2,-15.2,-15.2,-15.2,-15.2,-15.2,-15.2
Milwaukee Bucks,Minnesota Timberwolves,2010-10-29,21000026,2010-11,-10,0,1,9.7,-11,0,2,17.3,21.2,-24.1,3.20000000000001,-21.1,157.9,0,0,0,0,0,0,0,0,0,0,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1
New York Knicks,Boston Celtics,2010-10-29,21000023,2010-11,-3,0.5,2,-10.4,-4,1,1,0.799999999999994,-22.8,-24.6,-44,-53.5,-43.5,0,0,0,0,0,0,0,0,0,0,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1
Oklahoma City Thunder,Detroit Pistons,2010-10-29,21000024,2010-11,1.1,1,2,3.2,1,2,0,7.10000000000001,1.5,76,42.6,19.5,40.3,0,0,0,0,0,0,0,0,0,0,13,13,13,13,13,13,13,13,13,13
Orlando Magic,Miami Heat,2010-10-29,21000025,2010-11,-30.4,0.5,2,-2.9,-26,1,1,30.5,-33.8,-139.4,-38.2,61.4,13.7,0,0,0,0,0,0,0,0,0,0,28.1,28.1,28.1,28.1,28.1,28.1,28.1,28.1,28.1,28.1
Denver Nuggets,Houston Rockets,2010-10-30,21000037,2010-11,12.1,0.5,2,-6.7,13,2,1,14,-38.2,-23.2,8.9,44.8,-11.2,0,0,0,0,0,0,0,0,0,0,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2
Detroit Pistons,Chicago Bulls,2010-10-30,21000035,2010-11,-9.1,0,2,-4.1,-10,0,3,-107,-53.4,-87.5,-33.3,-4.3,-63.3,0,0,0,0,0,0,0,0,0,0,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9
Minnesota Timberwolves,Memphis Grizzlies,2010-10-30,21000036,2010-11,-17.4,0,3,-12.6,-20,1,2,-51.7,-54.5,23,-71.6,39.9,-81.8,0,0,0,0,0,0,0,0,0,0,24.1,24.1,24.1,24.1,24.1,24.1,24.1,24.1,24.1,24.1
Philadelphia 76ers,Indiana Pacers,2010-10-30,21000034,2010-11,-13.4,-0.5,3,-9.2,-13,0,3,4.39999999999999,-8.89999999999999,58,-4.40000000000001,-80.3,12.2,0,0,0,0,0,0,0,0,0,0,0.899999999999999,0.899999999999999,0.899999999999999,0.899999999999999,0.899999999999999,0.899999999999999,0.899999999999999,0.899999999999999,0.899999999999999,0.899999999999999
Portland Trail Blazers,New York Knicks,2010-10-30,21000033,2010-11,6.2,0.5,3,14.4,5,3,0,-29.8,40.4,-6.9,-34.1,20.8,24.4,0,0,0,0,0,0,0,0,0,0,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6
Sacramento Kings,Cleveland Cavaliers,2010-10-30,21000032,2010-11,3.3,0,2,-8.5,3,2,1,40.3,18.3,-1.40000000000001,89.3,-21.9,-27.4,0,0,0,0,0,0,0,0,0,0,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7
Washington Wizards,Atlanta Hawks,2010-10-30,21000031,2010-11,-4.3,-1,2,-5.3,-4,0,2,-75.1,-16.1,-73.7,-79.1,-10.4,-100.9,0,0,0,0,0,0,0,0,0,0,-47.4,-47.4,-47.4,-47.4,-47.4,-47.4,-47.4,-47.4,-47.4,-47.4
Dallas Mavericks,Los Angeles Clippers,2010-10-31,21000041,2010-11,18,0.5,2,-3.7,16,2,1,-25.4,-49.3,45.8,82.2,46.8,69.5,0,0,0,0,0,0,0,0,0,0,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9
