player_id,player_name,team_id,team_abbreviation,gp,w,l,min,min1,dist_feet,dist_miles,dist_miles_off,dist_miles_def,avg_speed,avg_speed_off,avg_speed_def,date
203932,Aaron Gordon,1610612753,ORL,1,0,1,28.45,28.45,11326,2.15,1.25,0.9,4.44,4.83,4.02,10/28/2014
202329,Al-Farouq Aminu,1610612742,DAL,1,0,1,5.48,5.48,2309,0.44,0.24,0.2,4.39,4.13,4.67,10/28/2014
201582,Alexis Ajinca,1610612740,NOP,1,1,0,2.48,2.48,939,0.18,0.1,0.08,4.85,4.23,5.67,10/28/2014
203076,Anthony Davis,1610612740,NOP,1,1,0,36.33,36.33,12784,2.42,1.21,1.21,3.97,4.33,3.67,10/28/2014
203382,Aron Baynes,1610612759,SAS,1,1,0,17.82,17.82,6573,1.24,0.75,0.5,4.05,4.69,3.38,10/28/2014
203085,Austin Rivers,1610612746,LAC,1,1,0,19.82,19.82,7792,1.48,0.81,0.66,4.55,4.65,4.45,10/28/2014
2732,Ben Gordon,1610612753,ORL,1,0,1,23.02,23.02,8459,1.6,0.94,0.66,4.18,4.5,3.83,10/28/2014
2564,Boris Diaw,1610612759,SAS,1,1,0,33.47,33.47,12540,2.38,1.38,0.99,4.3,4.74,3.81,10/28/2014
201148,Brandan Wright,1610612756,PHX,1,0,1,18.07,18.07,6124,1.16,0.55,0.61,3.98,3.44,3.85,10/28/2014
2430,Carlos Boozer,1610612747,LAL,1,0,1,27.58,27.58,9881,1.87,1.02,0.85,4.13,4.24,4.03,10/28/2014
202718,Chandler Parsons,1610612742,DAL,1,0,1,33.82,33.82,12902,2.44,1.29,1.16,4.26,4.72,4.17,10/28/2014
202709,Cory Joseph,1610612759,SAS,1,1,0,16.7,16.7,6936,1.31,0.67,0.64,4.67,4.9,4.44,10/28/2014
201980,Danny Green,1610612759,SAS,1,1,0,34.03,34.03,13914,2.64,1.44,1.2,4.59,4.96,4.22,10/28/2014
2734,Devin Harris,1610612742,DAL,1,0,1,29.12,29.12,10781,2.04,1.08,0.96,4.12,4.64,4.03,10/28/2014
203906,Devyn Marble,1610612753,ORL,1,0,1,2.98,2.98,1318,0.25,0.13,0.12,4.04,4.52,3.64,10/28/2014
203473,Dewayne Dedmon,1610612753,ORL,1,0,1,8.23,8.23,2963,0.56,0.32,0.25,4.38,4.25,3.02,10/28/2014
1717,Dirk Nowitzki,1610612742,DAL,1,0,1,31.67,31.67,10191,1.93,1,0.93,3.66,3.81,3.5,10/28/2014
202700,Donatas Motiejunas,1610612745,HOU,1,1,0,16.37,16.37,6366,1.21,0.67,0.54,4.43,5.07,3.76,10/28/2014
2730,Dwight Howard,1610612745,HOU,1,1,0,20.57,20.57,6851,1.3,0.66,0.64,3.81,4.17,3.45,10/28/2014
202334,Ed Davis,1610612747,LAL,1,0,1,21.58,21.58,8190,1.55,0.84,0.72,4.47,4.31,4.07,10/28/2014
203901,Elfrid Payton,1610612753,ORL,1,0,1,30.77,30.77,11049,2.09,1.17,0.92,4.1,4.47,3.69,10/28/2014
201569,Eric Gordon,1610612740,NOP,1,1,0,31.52,31.52,11600,2.2,1.09,1.11,4.2,4.71,3.79,10/28/2014
203095,Evan Fournier,1610612753,ORL,1,0,1,32.25,32.25,12822,2.43,1.41,1.02,4.48,4.84,4.05,10/28/2014
202962,Greg Smith,1610612742,DAL,1,0,1,2.18,2.18,589,0.11,0.03,0.08,2.74,0,4.08,10/28/2014
203477,Isaiah Canaan,1610612755,PHI,1,1,0,7.12,7.12,2783,0.53,0.28,0.25,4.24,4.89,3.54,10/28/2014
203109,Jae Crowder,1610612738,BOS,1,0,1,10.87,10.87,4491,0.85,0.44,0.41,4.97,4.53,4.32,10/28/2014
2749,Jameer Nelson,1610612743,DEN,1,0,1,30.47,30.47,11485,2.18,1.11,1.07,4.34,4.54,4.15,10/28/2014
