"team_id","team_abbreviation","team_name","gp","w","l","min","min1","dist_feet","dist_miles","dist_miles_off","dist_miles_def","avg_speed","avg_speed_off","avg_speed_def","date"
1610612738,"BOS","Boston Celtics",1,0,1,240,240,90682,17.17,9.49,7.69,4.33,4.7,3.94,"10/17/2017"
1610612739,"CLE","Cleveland Cavaliers",1,1,0,240,240,90697,17.18,8.79,8.39,4.34,4.52,4.16,"10/17/2017"
1610612744,"GSW","Golden State Warriors",1,0,1,240,240,90476,17.14,8.88,8.26,4.29,4.78,3.9,"10/17/2017"
1610612745,"HOU","Houston Rockets",1,1,0,240,240,88650,16.79,9.19,7.6,4.22,4.33,4.08,"10/17/2017"
1610612737,"ATL","Atlanta Hawks",1,1,0,240,240,94033,17.81,9.33,8.48,4.49,4.9,4.12,"10/18/2017"
1610612738,"BOS","Boston Celtics",1,0,1,240,240,89584,16.97,9.69,7.27,4.26,4.53,3.94,"10/18/2017"
1610612751,"BKN","Brooklyn Nets",1,0,1,240,240,97441,18.45,9.55,8.9,4.65,5,4.32,"10/18/2017"
1610612766,"CHA","Charlotte Hornets",1,0,1,240,240,94287,17.86,9.51,8.35,4.48,4.8,4.12,"10/18/2017"
1610612742,"DAL","Dallas Mavericks",1,0,1,240,240,91379,17.31,9.55,7.76,4.37,4.66,4.11,"10/18/2017"
1610612743,"DEN","Denver Nuggets",1,0,1,240,240,88782,16.81,8.89,7.93,4.21,4.62,3.83,"10/18/2017"
1610612765,"DET","Detroit Pistons",1,1,0,240,240,97382,18.44,9.87,8.58,4.61,4.92,4.34,"10/18/2017"
1610612745,"HOU","Houston Rockets",1,1,0,240,240,85242,16.14,8.11,8.04,4.03,4.31,3.79,"10/18/2017"
1610612754,"IND","Indiana Pacers",1,1,0,240.01,240.01,98537,18.66,10.13,8.53,4.69,4.9,4.43,"10/18/2017"
1610612763,"MEM","Memphis Grizzlies",1,1,0,240,240,88618,16.78,9.34,7.45,4.21,4.38,3.96,"10/18/2017"
1610612748,"MIA","Miami Heat",1,0,1,240,240,96331,18.24,9.85,8.4,4.56,4.78,4.34,"10/18/2017"
1610612749,"MIL","Milwaukee Bucks",1,1,0,240,240,90321,17.11,8.64,8.47,4.28,4.64,3.97,"10/18/2017"
1610612750,"MIN","Minnesota Timberwolves",1,0,1,240,240,88158,16.7,8.7,8,4.21,4.34,4.07,"10/18/2017"
1610612740,"NOP","New Orleans Pelicans",1,0,1,240,240,88246,16.71,8.72,7.99,4.18,4.65,3.77,"10/18/2017"
1610612753,"ORL","Orlando Magic",1,1,0,240,240,94305,17.86,9.58,8.28,4.49,4.96,4.05,"10/18/2017"
1610612755,"PHI","Philadelphia 76ers",1,0,1,240,240,94903,17.97,9.85,8.12,4.53,5.25,3.88,"10/18/2017"
1610612756,"PHX","Phoenix Suns",1,0,1,240,240,90269,17.1,8.94,8.16,4.29,4.78,3.87,"10/18/2017"
1610612757,"POR","Portland Trail Blazers",1,1,0,240,240,90875,17.21,9.63,7.58,4.31,4.53,4.07,"10/18/2017"
1610612758,"SAC","Sacramento Kings",1,0,1,240.01,240.01,92192,17.46,9.93,7.54,4.4,4.7,3.99,"10/18/2017"
