"team_id","team_abbreviation","team_name","gp","w","l","min","min1","dist_feet","dist_miles","dist_miles_off","dist_miles_def","avg_speed","avg_speed_off","avg_speed_def","date"
1610612738,"BOS","Boston Celtics",1,1,0,240,240,96622,18.3,10.14,8.16,4.23,4.45,3.99,"10/16/2018"
1610612744,"GSW","Golden State Warriors",1,1,0,240,240,97589,18.48,10.06,8.42,4.32,4.75,3.9,"10/16/2018"
1610612760,"OKC","Oklahoma City Thunder",1,0,1,240,240,99086,18.77,9.99,8.78,4.39,4.65,4.13,"10/16/2018"
1610612755,"PHI","Philadelphia 76ers",1,0,1,240,240,96679,18.31,9.88,8.43,4.23,4.82,3.7,"10/16/2018"
1610612737,"ATL","Atlanta Hawks",1,0,1,240.01,240.01,103420,19.59,10.2,9.39,4.49,5.1,3.98,"10/17/2018"
1610612751,"BKN","Brooklyn Nets",1,0,1,240,240,98013,18.56,10.1,8.47,4.23,4.78,3.73,"10/17/2018"
1610612766,"CHA","Charlotte Hornets",1,0,1,240.01,240.01,97607,18.49,10.04,8.44,4.33,4.68,3.93,"10/17/2018"
1610612739,"CLE","Cleveland Cavaliers",1,0,1,239.98,239.98,96134,18.21,9.84,8.36,4.26,4.72,3.83,"10/17/2018"
1610612742,"DAL","Dallas Mavericks",1,0,1,239.98,239.98,93651,17.74,9.47,8.26,4.19,4.68,3.78,"10/17/2018"
1610612743,"DEN","Denver Nuggets",1,1,0,240.01,240.01,98454,18.65,10.42,8.23,4.29,4.54,4.01,"10/17/2018"
1610612765,"DET","Detroit Pistons",1,1,0,240,240,98477,18.65,10.28,8.37,4.26,4.52,3.97,"10/17/2018"
1610612745,"HOU","Houston Rockets",1,0,1,240,240,92451,17.51,9.38,8.14,4.11,4.29,3.92,"10/17/2018"
1610612754,"IND","Indiana Pacers",1,1,0,240,240,96281,18.24,9.33,8.91,4.22,4.68,3.83,"10/17/2018"
1610612746,"LAC","LA Clippers",1,0,1,240,240,96171,18.21,9.35,8.86,4.2,4.6,3.89,"10/17/2018"
1610612763,"MEM","Memphis Grizzlies",1,0,1,240,240,95500,18.09,10.15,7.94,4.19,4.34,3.98,"10/17/2018"
1610612748,"MIA","Miami Heat",1,0,1,240,240,97612,18.49,9.89,8.6,4.25,4.7,3.84,"10/17/2018"
1610612749,"MIL","Milwaukee Bucks",1,1,0,240,240,95988,18.18,9.97,8.21,4.26,4.68,3.84,"10/17/2018"
1610612750,"MIN","Minnesota Timberwolves",1,0,1,240,240,94401,17.88,9.07,8.81,4.13,4.61,3.73,"10/17/2018"
1610612740,"NOP","New Orleans Pelicans",1,1,0,240.01,240.01,94108,17.82,9.71,8.11,4.18,4.69,3.7,"10/17/2018"
1610612752,"NYK","New York Knicks",1,1,0,240,240,104496,19.79,10.83,8.96,4.53,4.57,4.49,"10/17/2018"
1610612753,"ORL","Orlando Magic",1,1,0,240.02,240.02,99002,18.75,10.36,8.39,4.31,4.62,3.98,"10/17/2018"
1610612756,"PHX","Phoenix Suns",1,1,0,240.01,240.01,93023,17.62,9.9,7.71,4.17,4.52,3.8,"10/17/2018"
1610612758,"SAC","Sacramento Kings",1,0,1,239.98,239.98,102268,19.37,10.4,8.97,4.55,4.92,4.18,"10/17/2018"
1610612759,"SAS","San Antonio Spurs",1,1,0,240,240,98342,18.63,10.57,8.05,4.29,4.49,4.1,"10/17/2018"
1610612761,"TOR","Toronto Raptors",1,1,0,240,240,96158,18.21,9.95,8.26,4.26,4.56,3.99,"10/17/2018"
1610612762,"UTA","Utah Jazz",1,1,0,240.01,240.01,100865,19.1,10.36,8.74,4.48,4.83,4.12,"10/17/2018"
