"team_id","team_abbreviation","team_name","gp","w","l","min","min1","dist_feet","dist_miles","dist_miles_off","dist_miles_def","avg_speed","avg_speed_off","avg_speed_def","season"
1610612737,"ATL","Atlanta Hawks",81,38,43,241.85,241.85,89044.01,16.86,8.99,7.88,4.2,4.55,3.85,2013
1610612738,"BOS","Boston Celtics",82,25,57,240.61,240.61,87785.72,16.63,8.92,7.71,4.15,4.41,3.89,2013
1610612751,"BKN","Brooklyn Nets",81,43,38,242.47,242.47,86459.28,16.37,8.69,7.69,4.07,4.29,3.85,2013
1610612766,"CHA","Charlotte Bobcats",81,42,39,242.78,242.78,90814.4,17.2,9.51,7.69,4.26,4.61,3.89,2013
1610612741,"CHI","Chicago Bulls",82,48,34,243.05,243.05,89784.2,17,9.33,7.67,4.21,4.47,3.93,2013
1610612739,"CLE","Cleveland Cavaliers",82,33,49,243.05,243.05,91866.11,17.4,9.29,8.11,4.31,4.63,3.98,2013
1610612742,"DAL","Dallas Mavericks",82,49,33,241.83,241.83,88087.6,16.68,8.93,7.76,4.15,4.41,3.89,2013
1610612743,"DEN","Denver Nuggets",82,36,46,240.91,240.91,89964.51,17.04,8.89,8.15,4.25,4.61,3.92,2013
1610612765,"DET","Detroit Pistons",82,29,53,241.22,241.22,87577.94,16.59,8.69,7.89,4.13,4.34,3.93,2013
1610612744,"GSW","Golden State Warriors",81,50,31,241.85,241.85,88895.59,16.84,8.77,8.07,4.2,4.56,3.87,2013
1610612745,"HOU","Houston Rockets",82,54,28,241.83,241.83,88780.09,16.81,8.81,8,4.18,4.5,3.88,2013
1610612754,"IND","Indiana Pacers",82,56,26,241.22,241.22,86145.74,16.32,8.73,7.59,4.07,4.25,3.87,2013
1610612746,"LAC","Los Angeles Clippers",82,57,25,240.92,240.92,88236.21,16.71,8.61,8.11,4.17,4.48,3.88,2013
1610612747,"LAL","Los Angeles Lakers",82,27,55,240.3,240.3,90331.28,17.11,8.91,8.2,4.28,4.61,3.97,2013
1610612763,"MEM","Memphis Grizzlies",82,50,32,241.52,241.52,88247.3,16.71,9.09,7.63,4.16,4.36,3.95,2013
1610612748,"MIA","Miami Heat",82,54,28,242.44,242.44,87617.37,16.59,8.6,8,4.11,4.3,3.93,2013
1610612749,"MIL","Milwaukee Bucks",81,15,66,242.47,242.47,88971.84,16.85,9.14,7.71,4.17,4.49,3.85,2013
1610612750,"MIN","Minnesota Timberwolves",82,40,42,242.13,242.13,88697.7,16.8,8.97,7.83,4.18,4.43,3.93,2013
1610612740,"NOP","New Orleans Pelicans",82,34,48,242.13,242.13,90052.91,17.06,9.3,7.76,4.24,4.58,3.89,2013
1610612752,"NYK","New York Knicks",82,37,45,242.13,242.13,85713.2,16.23,8.55,7.69,4.03,4.15,3.91,2013
1610612760,"OKC","Oklahoma City Thunder",82,59,23,241.52,241.52,88077.73,16.68,8.69,7.99,4.15,4.46,3.86,2013
1610612753,"ORL","Orlando Magic",82,23,59,243.35,243.35,89344.02,16.92,9.08,7.84,4.18,4.44,3.92,2013
1610612755,"PHI","Philadelphia 76ers",82,19,63,242.13,242.13,93462.72,17.7,9.14,8.56,4.4,4.78,4.05,2013
1610612756,"PHX","Phoenix Suns",82,48,34,240.91,240.91,88337.88,16.73,8.82,7.91,4.18,4.45,3.91,2013
1610612757,"POR","Portland Trail Blazers",82,54,28,242.13,242.13,90959.6,17.23,9.33,7.9,4.28,4.58,3.97,2013
1610612758,"SAC","Sacramento Kings",81,28,53,241.85,241.85,88988.52,16.85,9.07,7.78,4.21,4.42,3.99,2013
1610612759,"SAS","San Antonio Spurs",82,62,20,240.92,240.92,93802.34,17.77,9.67,8.09,4.43,4.85,4.01,2013
1610612761,"TOR","Toronto Raptors",81,47,34,243.39,243.39,88857.17,16.83,9.12,7.71,4.16,4.38,3.93,2013
1610612762,"UTA","Utah Jazz",82,25,57,241.22,241.22,89603.67,16.97,9.33,7.64,4.23,4.45,3.99,2013
1610612764,"WAS","Washington Wizards",81,44,37,244.63,244.63,89826.59,17.01,8.94,8.07,4.18,4.44,3.93,2013
1610612737,"ATL","Atlanta Hawks",82,60,22,240.61,240.61,88833.29,16.82,8.9,7.93,4.21,4.52,3.91,2014
1610612738,"BOS","Boston Celtics",82,40,42,242.44,242.44,89282.71,16.91,8.84,8.06,4.2,4.55,3.87,2014
1610612751,"BKN","Brooklyn Nets",82,38,44,243.05,243.05,88701.85,16.8,8.89,7.91,4.15,4.41,3.9,2014
1610612766,"CHA","Charlotte Hornets",82,33,49,242.74,242.74,89905,17.03,9.41,7.61,4.22,4.57,3.85,2014
1610612741,"CHI","Chicago Bulls",82,50,32,242.44,242.44,89502.63,16.95,9.22,7.73,4.21,4.51,3.9,2014
1610612739,"CLE","Cleveland Cavaliers",81,53,28,241.23,241.23,86807.17,16.44,8.82,7.62,4.09,4.3,3.88,2014
1610612742,"DAL","Dallas Mavericks",82,50,32,242.44,242.44,88578.2,16.78,8.79,7.98,4.15,4.44,3.88,2014
