"Visitor","Opponent","Date","game_id","season","game_net_rating","win_percent_diff","games_played","net_rating_diff","score_diff","hollow_wind60_cent","hollow_wind50_cent","hollow_wind40_cent","hollow_wind30_cent","hollow_wind20_cent","wind_10_center","wind_40_hollow","wind_35_hollow","wind_30_hollow","wind_25_hollow","wind_20_hollow","wind_15_hollow","wind_10_hollow_5","wind_5_hollow","wind_7_hollow","wind_10_hollow","wind_2","wind_5","wind_7","wind_10","wind_15","wind_20","wind_25","wind_30","wind_35","wind_40"
TRUE,"Los Angeles Lakers",2010-10-26,21000003,"2010-11",-0.9,0,1,-4,-2,55.7,-11.7,1.8,-73.5,-44,-68.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRUE,"Boston Celtics",2010-10-26,21000001,"2010-11",-7.7,0,1,2.1,-8,51.7,24.8,-14.9,-43.8,-8.89999999999999,62.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRUE,"Portland Trail Blazers",2010-10-26,21000002,"2010-11",-15.6,0,1,-2.4,-14,-60.2,1.3,18.2,-1.8,5.1,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRUE,"Memphis Grizzlies",2010-10-27,21000008,"2010-11",15.2,0,1,-3.2,15,17.7,-53.7,59.6,-29.4,-4.1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRUE,"Cleveland Cavaliers",2010-10-27,21000004,"2010-11",-8.7,1,2,15.2,-8,45,130.8,182.4,101.2,57.7,76.7,0,0,0,0,0,0,0,0,0,0,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7
TRUE,"Dallas Mavericks",2010-10-27,21000012,"2010-11",-14.8,0,1,-8.6,-15,-36.7,-114,-70.3,-28,-17.6,-38.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRUE,"Oklahoma City Thunder",2010-10-27,21000011,"2010-11",-13,0,1,3.9,-11,0.700000000000031,69.4,5.9,-31.7,10.3,48.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRUE,"New Jersey Nets",2010-10-27,21000005,"2010-11",-4.6,0,1,3.1,-3,19,10.9,1.7,15.5,-22.5,13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRUE,"Golden State Warriors",2010-10-27,21000015,"2010-11",-2.7,0,2,4.6,-4,11.6,90.6,62.5,50.8,2.6,-7.1,0,0,0,0,0,0,0,0,0,0,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9
TRUE,"San Antonio Spurs",2010-10-27,21000013,"2010-11",-12.7,0,1,-7,-13,-47.6,-94.1,-68.2,-14.5,-46,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRUE,"Philadelphia 76ers",2010-10-27,21000006,"2010-11",8.6,0,2,6.3,10,109.1,60.2,27.9,-2.60000000000001,80.5,84.4,0,0,0,0,0,0,0,0,0,0,-7.7,-7.7,-7.7,-7.7,-7.7,-7.7,-7.7,-7.7,-7.7,-7.7
TRUE,"New Orleans Hornets",2010-10-27,21000010,"2010-11",-4.2,0,1,-1.8,-4,11.7,-36.3,-35.2,-12.8,-12.6,-49.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRUE,"Toronto Raptors",2010-10-27,21000007,"2010-11",6.1,0,1,7.5,5,12.6,48.4,61.3,4.7,-20.3,29.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRUE,"Los Angeles Clippers",2010-10-27,21000016,"2010-11",11.1,1,2,4.8,10,-35.4,-8.5,54.9,-24,37.7,75.3,0,0,0,0,0,0,0,0,0,0,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6
TRUE,"Minnesota Timberwolves",2010-10-27,21000009,"2010-11",2.1,0,1,1.2,1,16.7,-7.40000000000001,-40.7,-23.1,-14.4,64.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRUE,"Denver Nuggets",2010-10-27,21000014,"2010-11",-22.6,0,1,-6.7,-22,-10.7,-12.7,58.5,8.09999999999999,39.9,-9.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
