game_id,player,season,date,team,opponent,location,city,w_l,route,distance,tz,flight_time,team_rest,player_rest,games_played,mins,pts,shift_hrs,fgm,fga,pct_fg,fg3m,fg3a,pct_fg3,pct_ft,fg2m,fg2a,pct_fg2,ftm,fta,oreb,dreb,treb,ast,stl,blk,tov,pf,plusminus,b2b,b2b_1st,b2b_2nd,x3in4,x4in5,x5in7,traveling_west,traveling_east,pctEFG,pctTS,pctUSG,ortg,drtg,netrtg,pacePer40PACE_PER40,ratioPIE
21100013,Kawhi Leonard,2011-12,2011-12-26,San Antonio Spurs,Memphis Grizzlies,Home,San Antonio,W,No Travel,0,America/Chicago,-,15,15,1,14,6,0,2,9,0.222,1,5,0.2,0.25,1,4,0.25,1,4,4,2,6,1,2,0,1,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.278,0.279,0.316,100,96.3,3.7,78.23,0.031
21100029,Kawhi Leonard,2011-12,2011-12-28,San Antonio Spurs,Los Angeles Clippers,Home,San Antonio,W,No Travel,0,America/Chicago,-,1,1,2,20,2,0,1,3,0.333,0,0,0,NA,1,3,0.3333333333333333,0,0,1,7,8,0,0,0,0,1,10,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.333,0.333,0.068,105,80,25,79.66,0.131
21100034,Kawhi Leonard,2011-12,2011-12-29,San Antonio Spurs,Houston Rockets,Away,Houston,L,San Antonio - Houston,189,America/Chicago,~55 minutes,0,0,3,25,8,0,3,7,0.429,0,3,0,0.5,3,4,0.75,2,4,2,2,4,0,1,0,0,0,1,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.429,0.457,0.145,108.5,104.2,4.3,77.08,0.072
21100055,Kawhi Leonard,2011-12,2011-12-31,San Antonio Spurs,Utah Jazz,Home,San Antonio,W,Houston - San Antonio,189,America/Chicago,~55 minutes,1,1,4,15,7,0,3,5,0.6,1,1,1,0,2,4,0.5,0,1,0,6,6,0,1,1,1,2,-15,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.7,0.643,0.158,67.7,112.5,-44.8,82,0.243
21100072,Kawhi Leonard,2011-12,2012-01-02,San Antonio Spurs,Minnesota Timberwolves,Away,Minneapolis,L,San Antonio - Minneapolis,1109,America/Chicago,~2.46 hours,1,1,5,17,6,0,2,6,0.333,0,0,0,1,2,6,0.3333333333333333,2,2,2,1,3,1,2,0,0,1,-2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.333,0.436,0.171,114.7,124.2,-9.5,77.16,0.086
21100091,Kawhi Leonard,2011-12,2012-01-04,San Antonio Spurs,Golden State Warriors,Home,San Antonio,W,Minneapolis - San Antonio,1109,America/Chicago,~2.46 hours,1,1,6,8,2,0,1,2,0.5,0,0,0,0,1,2,0.5,0,1,1,1,2,1,0,0,0,0,-1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.5,0.41,0.118,106.7,106.3,0.4,76.86,0.074
21100095,Kawhi Leonard,2011-12,2012-01-05,San Antonio Spurs,Dallas Mavericks,Home,San Antonio,W,No Travel,0,America/Chicago,-,0,0,7,19,4,0,2,4,0.5,0,2,0,NA,2,2,1,0,0,0,1,1,0,0,0,0,1,-5,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.5,0.5,0.105,94.4,105.4,-11,75.88,0.03
21100116,Kawhi Leonard,2011-12,2012-01-07,San Antonio Spurs,Denver Nuggets,Home,San Antonio,W,No Travel,0,America/Chicago,-,1,1,8,20,6,0,3,4,0.75,0,0,0,NA,3,4,0.75,0,0,1,4,5,1,1,0,1,1,2,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.75,0.75,0.104,130,116.3,13.7,84.06,0.11
21100122,Kawhi Leonard,2011-12,2012-01-08,San Antonio Spurs,Oklahoma City Thunder,Away,Oklahoma City,L,San Antonio - Oklahoma City,420,America/Chicago,~56 minutes,0,0,9,34,13,0,6,10,0.6,0,0,0,1,6,10,0.6,1,1,3,7,10,2,2,0,1,1,-4,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0.6,0.623,0.139,101.4,107,-5.6,83.28,0.145
21100136,Kawhi Leonard,2011-12,2012-01-10,San Antonio Spurs,Milwaukee Bucks,Away,Milwaukee,L,Oklahoma City - Milwaukee,731,America/Chicago,~1.62 hours,1,1,10,33,19,0,9,12,0.75,0,1,0,1,9,11,0.8181818181818182,1,1,2,1,3,2,4,1,0,2,-5,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0.75,0.764,0.179,108.2,116.4,-8.2,74.09,0.156
21100149,Kawhi Leonard,2011-12,2012-01-11,San Antonio Spurs,Houston Rockets,Home,San Antonio,W,Milwaukee - San Antonio,1107,America/Chicago,~2.46 hours,0,0,11,38,11,0,5,12,0.417,0,0,0,0.5,5,12,0.4166666666666667,1,2,3,5,8,0,0,2,1,1,13,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0.417,0.427,0.169,107.1,89.9,17.3,73.67,0.077
21100166,Kawhi Leonard,2011-12,2012-01-13,San Antonio Spurs,Portland Trail Blazers,Home,San Antonio,W,No Travel,0,America/Chicago,-,1,1,12,35,11,0,5,9,0.556,1,1,1,0,4,8,0.5,0,1,2,3,5,1,2,0,2,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0.611,0.583,0.139,90.3,88.9,1.4,82.56,0.092
21100183,Kawhi Leonard,2011-12,2012-01-15,San Antonio Spurs,Phoenix Suns,Home,San Antonio,W,No Travel,0,America/Chicago,-,1,1,13,33,12,0,4,8,0.5,2,4,0.5,1,2,4,0.5,2,2,0,8,8,1,1,1,2,0,9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.625,0.676,0.155,106.1,89.7,16.4,82.12,0.128
21100197,Kawhi Leonard,2011-12,2012-01-17,San Antonio Spurs,Miami Heat,Away,Miami,L,San Antonio - Miami,1148,America/New_York,~2.55 hours,1,1,14,31,12,1,5,12,0.417,2,5,0.4,NA,3,7,0.42857142857142855,0,0,5,1,6,1,1,0,0,2,-9,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.5,0.5,0.169,113.8,133.9,-20.1,73.71,0.068
21100204,Kawhi Leonard,2011-12,2012-01-18,San Antonio Spurs,Orlando Magic,Away,Orlando,W,Miami - Orlando,201,America/New_York,~55 minutes,0,0,15,24,2,0,1,4,0.25,0,0,0,NA,1,4,0.25,0,0,0,3,3,2,1,1,0,3,-4,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.25,0.25,0.087,85.7,87,-1.2,73.1,0.053
21100224,Kawhi Leonard,2011-12,2012-01-20,San Antonio Spurs,Sacramento Kings,Home,San Antonio,L,Orlando - San Antonio,1038,America/Chicago,~2.31 hours,1,1,16,21,4,-1,0,3,0,0,3,0,1,0,0,0,4,4,2,3,5,2,1,0,1,0,-6,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0,0.42,0.128,76.7,88.6,-11.9,82.35,0.122
21100235,Kawhi Leonard,2011-12,2012-01-21,San Antonio Spurs,Houston Rockets,Away,Houston,L,San Antonio - Houston,189,America/Chicago,~55 minutes,0,0,17,39,8,0,4,13,0.308,0,1,0,NA,4,12,0.3333333333333333,0,0,7,4,11,0,1,1,2,3,-9,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0.308,0.308,0.16,101.4,113.9,-12.5,74.76,0.023
21100246,Kawhi Leonard,2011-12,2012-01-23,San Antonio Spurs,New Orleans Hornets,Away,New Orleans,W,Houston - New Orleans,328,America/Chicago,~55 minutes,1,1,18,7,0,0,0,1,0,0,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,0,0.077,125,157.1,-32.1,72.32,-0.026
21100265,Kawhi Leonard,2011-12,2012-01-25,San Antonio Spurs,Atlanta Hawks,Home,San Antonio,W,New Orleans - San Antonio,516,America/Chicago,~1.15 hours,1,1,19,30,8,0,4,7,0.571,0,0,0,NA,4,7,0.5714285714285714,0,0,1,4,5,1,2,0,1,3,9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.571,0.571,0.127,100,84.7,15.3,79.32,0.094
