season,phase,date,team,b2b,b2b_1st,b2b_2nd,x3in4,x4in5,x5in7
2010-11,RS,2010-10-27,Los Angeles Clippers,No,No,No,No,No,No
2010-11,RS,2010-10-29,Los Angeles Clippers,No,No,No,No,No,No
2010-11,RS,2010-10-31,Los Angeles Clippers,Yes,Yes,No,No,No,No
2010-11,RS,2010-11-01,Los Angeles Clippers,Yes,No,Yes,Yes,No,No
2010-11,RS,2010-11-03,Los Angeles Clippers,No,No,No,Yes,No,No
2010-11,RS,2010-11-05,Los Angeles Clippers,Yes,Yes,No,No,No,No
2010-11,RS,2010-11-06,Los Angeles Clippers,Yes,No,Yes,Yes,No,Yes
2010-11,RS,2010-11-09,Los Angeles Clippers,Yes,Yes,No,No,No,No
2010-11,RS,2010-11-10,Los Angeles Clippers,Yes,No,Yes,No,No,No
2010-11,RS,2010-11-12,Los Angeles Clippers,No,No,No,Yes,No,No
2010-11,RS,2010-11-15,Los Angeles Clippers,No,No,No,No,No,No
2010-11,RS,2010-11-17,Los Angeles Clippers,Yes,Yes,No,No,No,No
2010-11,RS,2010-11-18,Los Angeles Clippers,Yes,No,Yes,Yes,No,No
2010-11,RS,2010-11-20,Los Angeles Clippers,No,No,No,Yes,No,No
2010-11,RS,2010-11-22,Los Angeles Clippers,No,No,No,No,No,No
2010-11,RS,2010-11-25,Los Angeles Clippers,Yes,Yes,No,No,No,No
2010-11,RS,2010-11-26,Los Angeles Clippers,Yes,No,Yes,No,No,No
2010-11,RS,2010-11-28,Los Angeles Clippers,No,No,No,Yes,No,No
2010-11,RS,2010-12-01,Los Angeles Clippers,No,No,No,No,No,No
2010-11,RS,2010-12-03,Los Angeles Clippers,No,No,No,No,No,No
2010-11,RS,2010-12-05,Los Angeles Clippers,Yes,Yes,No,No,No,No
2010-11,RS,2010-12-06,Los Angeles Clippers,Yes,No,Yes,Yes,No,No
2010-11,RS,2010-12-08,Los Angeles Clippers,No,No,No,Yes,No,No
2010-11,RS,2010-12-11,Los Angeles Clippers,Yes,Yes,No,No,No,No
2010-11,RS,2010-12-12,Los Angeles Clippers,Yes,No,Yes,No,No,No
2010-11,RS,2010-12-15,Los Angeles Clippers,No,No,No,No,No,No
2010-11,RS,2010-12-17,Los Angeles Clippers,Yes,Yes,No,No,No,No
2010-11,RS,2010-12-18,Los Angeles Clippers,Yes,No,Yes,Yes,No,No
2010-11,RS,2010-12-20,Los Angeles Clippers,No,No,No,Yes,No,No
2010-11,RS,2010-12-22,Los Angeles Clippers,No,No,No,No,No,No
2010-11,RS,2010-12-26,Los Angeles Clippers,Yes,Yes,No,No,No,No
2010-11,RS,2010-12-27,Los Angeles Clippers,Yes,No,Yes,No,No,No
2010-11,RS,2010-12-29,Los Angeles Clippers,No,No,No,Yes,No,No
2010-11,RS,2011-01-02,Los Angeles Clippers,No,No,No,No,No,No
2010-11,RS,2011-01-05,Los Angeles Clippers,No,No,No,No,No,No
2010-11,RS,2011-01-09,Los Angeles Clippers,No,No,No,No,No,No
2010-11,RS,2011-01-12,Los Angeles Clippers,No,No,No,No,No,No
2010-11,RS,2011-01-14,Los Angeles Clippers,No,No,No,No,No,No
2010-11,RS,2011-01-16,Los Angeles Clippers,Yes,Yes,No,No,No,No
2010-11,RS,2011-01-17,Los Angeles Clippers,Yes,No,Yes,Yes,No,No
2010-11,RS,2011-01-19,Los Angeles Clippers,Yes,Yes,No,Yes,No,No
2010-11,RS,2011-01-20,Los Angeles Clippers,Yes,No,Yes,Yes,Yes,Yes
2010-11,RS,2011-01-22,Los Angeles Clippers,No,No,No,Yes,No,Yes
2010-11,RS,2011-01-25,Los Angeles Clippers,Yes,Yes,No,No,No,No
2010-11,RS,2011-01-26,Los Angeles Clippers,Yes,No,Yes,No,No,No
2010-11,RS,2011-01-29,Los Angeles Clippers,No,No,No,No,No,No
2010-11,RS,2011-01-31,Los Angeles Clippers,No,No,No,No,No,No
2010-11,RS,2011-02-02,Los Angeles Clippers,No,No,No,No,No,No
2010-11,RS,2011-02-04,Los Angeles Clippers,No,No,No,No,No,No
2010-11,RS,2011-02-06,Los Angeles Clippers,No,No,No,No,No,No
2010-11,RS,2011-02-08,Los Angeles Clippers,Yes,Yes,No,No,No,No
