game_date,game_id,date
2012-04-26T00:00:00,21100990,2012-04-26
2012-04-25T00:00:00,21100977,2012-04-25
2012-04-23T00:00:00,21100965,2012-04-23
2012-04-22T00:00:00,21100956,2012-04-22
2012-04-20T00:00:00,21100941,2012-04-20
2012-04-18T00:00:00,21100929,2012-04-18
2012-04-17T00:00:00,21100917,2012-04-17
2012-04-16T00:00:00,21100912,2012-04-16
2012-04-14T00:00:00,21100892,2012-04-14
2012-04-12T00:00:00,21100872,2012-04-12
2012-04-11T00:00:00,21100866,2012-04-11
2012-04-09T00:00:00,21100850,2012-04-09
2012-04-08T00:00:00,21100839,2012-04-08
2012-04-06T00:00:00,21100822,2012-04-06
2012-04-04T00:00:00,21100801,2012-04-04
2012-04-03T00:00:00,21100792,2012-04-03
2012-03-31T00:00:00,21100774,2012-03-31
2012-03-28T00:00:00,21100750,2012-03-28
2012-03-27T00:00:00,21100740,2012-03-27
2012-03-25T00:00:00,21100723,2012-03-25
2012-03-24T00:00:00,21100715,2012-03-24
2012-03-23T00:00:00,21100707,2012-03-23
2012-03-21T00:00:00,21100690,2012-03-21
2012-03-17T00:00:00,21100659,2012-03-17
2012-03-16T00:00:00,21100649,2012-03-16
2012-03-14T00:00:00,21100633,2012-03-14
2012-03-12T00:00:00,21100614,2012-03-12
2012-03-09T00:00:00,21100591,2012-03-09
2012-03-07T00:00:00,21100578,2012-03-07
2012-03-04T00:00:00,21100553,2012-03-04
2012-03-02T00:00:00,21100535,2012-03-02
2012-02-29T00:00:00,21100520,2012-02-29
2012-02-23T00:00:00,21100501,2012-02-23
2012-02-21T00:00:00,21100485,2012-02-21
2012-02-20T00:00:00,21100477,2012-02-20
2012-02-18T00:00:00,21100456,2012-02-18
2012-02-15T00:00:00,21100429,2012-02-15
2012-02-14T00:00:00,21100422,2012-02-14
2012-02-11T00:00:00,21100403,2012-02-11
2012-02-08T00:00:00,21100374,2012-02-08
2012-02-06T00:00:00,21100363,2012-02-06
2012-02-04T00:00:00,21100350,2012-02-04
2012-02-02T00:00:00,21100328,2012-02-02
2012-02-01T00:00:00,21100323,2012-02-01
2012-01-30T00:00:00,21100303,2012-01-30
2012-01-29T00:00:00,21100295,2012-01-29
2012-01-27T00:00:00,21100280,2012-01-27
2012-01-25T00:00:00,21100265,2012-01-25
2012-01-23T00:00:00,21100246,2012-01-23
2012-01-21T00:00:00,21100235,2012-01-21
2012-01-20T00:00:00,21100224,2012-01-20
2012-01-18T00:00:00,21100204,2012-01-18
2012-01-17T00:00:00,21100197,2012-01-17
2012-01-15T00:00:00,21100183,2012-01-15
2012-01-13T00:00:00,21100166,2012-01-13
2012-01-11T00:00:00,21100149,2012-01-11
2012-01-10T00:00:00,21100136,2012-01-10
2012-01-08T00:00:00,21100122,2012-01-08
2012-01-07T00:00:00,21100116,2012-01-07
2012-01-05T00:00:00,21100095,2012-01-05
2012-01-04T00:00:00,21100091,2012-01-04
2012-01-02T00:00:00,21100072,2012-01-02
2011-12-31T00:00:00,21100055,2011-12-31
2011-12-29T00:00:00,21100034,2011-12-29
2011-12-28T00:00:00,21100029,2011-12-28
2011-12-26T00:00:00,21100013,2011-12-26
2013-04-17T00:00:00,21201225,2013-04-17
2013-04-15T00:00:00,21201212,2013-04-15
2013-04-14T00:00:00,21201201,2013-04-14
2013-04-12T00:00:00,21201186,2013-04-12
2013-04-10T00:00:00,21201172,2013-04-10
2013-04-06T00:00:00,21201143,2013-04-06
2013-04-04T00:00:00,21201125,2013-04-04
2013-04-03T00:00:00,21201117,2013-04-03
2013-04-01T00:00:00,21201103,2013-04-01
2013-03-31T00:00:00,21201098,2013-03-31
2013-03-29T00:00:00,21201082,2013-03-29
2013-03-27T00:00:00,21201067,2013-03-27
2013-03-24T00:00:00,21201042,2013-03-24
2013-03-22T00:00:00,21201030,2013-03-22
2013-03-20T00:00:00,21201016,2013-03-20
2013-03-16T00:00:00,21200982,2013-03-16
2013-03-14T00:00:00,21200967,2013-03-14
2013-03-12T00:00:00,21200954,2013-03-12
2013-03-11T00:00:00,21200944,2013-03-11
2013-03-08T00:00:00,21200923,2013-03-08
2013-03-06T00:00:00,21200909,2013-03-06
2013-03-03T00:00:00,21200886,2013-03-03
2013-03-01T00:00:00,21200872,2013-03-01
2013-02-27T00:00:00,21200858,2013-02-27
2013-02-24T00:00:00,21200836,2013-02-24
2013-02-22T00:00:00,21200822,2013-02-22
2013-02-21T00:00:00,21200810,2013-02-21
2013-02-19T00:00:00,21200796,2013-02-19
2013-02-13T00:00:00,21200776,2013-02-13
2013-02-11T00:00:00,21200766,2013-02-11
2013-02-10T00:00:00,21200758,2013-02-10
2013-02-08T00:00:00,21200739,2013-02-08
2013-02-06T00:00:00,21200731,2013-02-06
2013-02-02T00:00:00,21200702,2013-02-02
2013-01-30T00:00:00,21200678,2013-01-30
2013-01-26T00:00:00,21200648,2013-01-26
2013-01-25T00:00:00,21200639,2013-01-25
2013-01-23T00:00:00,21200624,2013-01-23
2013-01-21T00:00:00,21200611,2013-01-21
2013-01-19T00:00:00,21200594,2013-01-19
2013-01-18T00:00:00,21200590,2013-01-18
2013-01-16T00:00:00,21200576,2013-01-16
2013-01-13T00:00:00,21200552,2013-01-13
2013-01-11T00:00:00,21200535,2013-01-11
2013-01-09T00:00:00,21200522,2013-01-09
2013-01-07T00:00:00,21200507,2013-01-07
2013-01-05T00:00:00,21200496,2013-01-05
2013-01-03T00:00:00,21200476,2013-01-03
2013-01-02T00:00:00,21200470,2013-01-02
2012-12-31T00:00:00,21200457,2012-12-31
2012-12-30T00:00:00,21200449,2012-12-30
2012-12-28T00:00:00,21200432,2012-12-28
2012-12-26T00:00:00,21200418,2012-12-26
2012-12-23T00:00:00,21200402,2012-12-23
2012-12-21T00:00:00,21200387,2012-12-21
2012-12-18T00:00:00,21200363,2012-12-18
2012-12-17T00:00:00,21200354,2012-12-17
2012-12-15T00:00:00,21200344,2012-12-15
2012-12-13T00:00:00,21200324,2012-12-13
2012-12-12T00:00:00,21200321,2012-12-12
2012-12-10T00:00:00,21200301,2012-12-10
2012-12-08T00:00:00,21200284,2012-12-08
2012-12-07T00:00:00,21200278,2012-12-07
2012-12-05T00:00:00,21200264,2012-12-05
2012-12-01T00:00:00,21200239,2012-12-01
2012-11-29T00:00:00,21200220,2012-11-29
2012-11-28T00:00:00,21200210,2012-11-28
2012-11-26T00:00:00,21200197,2012-11-26
2012-11-25T00:00:00,21200191,2012-11-25
2012-11-23T00:00:00,21200176,2012-11-23
2012-11-21T00:00:00,21200161,2012-11-21
2012-11-19T00:00:00,21200152,2012-11-19
2012-11-17T00:00:00,21200137,2012-11-17
2012-11-15T00:00:00,21200120,2012-11-15
2012-11-13T00:00:00,21200108,2012-11-13
2012-11-10T00:00:00,21200088,2012-11-10
2012-11-09T00:00:00,21200078,2012-11-09
2012-11-07T00:00:00,21200064,2012-11-07
2012-11-05T00:00:00,21200047,2012-11-05
2012-11-03T00:00:00,21200035,2012-11-03
2012-11-01T00:00:00,21200014,2012-11-01
2012-10-31T00:00:00,21200008,2012-10-31
2014-04-16T00:00:00,21301221,2014-04-16
2014-04-14T00:00:00,21301209,2014-04-14
2014-04-11T00:00:00,21301186,2014-04-11
2014-04-10T00:00:00,21301174,2014-04-10
2014-04-08T00:00:00,21300275,2014-04-08
2014-04-06T00:00:00,21301154,2014-04-06
2014-04-03T00:00:00,21301127,2014-04-03
2014-04-02T00:00:00,21301123,2014-04-02
2014-03-31T00:00:00,21301102,2014-03-31
2014-03-29T00:00:00,21301092,2014-03-29
2014-03-28T00:00:00,21301084,2014-03-28
2014-03-26T00:00:00,21301068,2014-03-26
2014-03-24T00:00:00,21301054,2014-03-24
2014-03-22T00:00:00,21301038,2014-03-22
2014-03-21T00:00:00,21301030,2014-03-21
2014-03-19T00:00:00,21301017,2014-03-19
2014-03-16T00:00:00,21300993,2014-03-16
2014-03-14T00:00:00,21300978,2014-03-14
2014-03-12T00:00:00,21300965,2014-03-12
2014-03-11T00:00:00,21300952,2014-03-11
2014-03-08T00:00:00,21300932,2014-03-08
2014-03-06T00:00:00,21300914,2014-03-06
2014-03-04T00:00:00,21300898,2014-03-04
2014-03-02T00:00:00,21300888,2014-03-02
2014-02-28T00:00:00,21300871,2014-02-28
2014-02-26T00:00:00,21300859,2014-02-26
2014-02-21T00:00:00,21300822,2014-02-21
2014-02-19T00:00:00,21300809,2014-02-19
2014-02-18T00:00:00,21300800,2014-02-18
2014-02-12T00:00:00,21300780,2014-02-12
2014-02-10T00:00:00,21300766,2014-02-10
2014-02-08T00:00:00,21300749,2014-02-08
2014-02-06T00:00:00,21300737,2014-02-06
2014-02-05T00:00:00,21300727,2014-02-05
2014-02-03T00:00:00,21300715,2014-02-03
2014-02-01T00:00:00,21300704,2014-02-01
2014-01-29T00:00:00,21300683,2014-01-29
2014-01-28T00:00:00,21300671,2014-01-28
2014-01-26T00:00:00,21300654,2014-01-26
2014-01-24T00:00:00,21300635,2014-01-24
2014-01-22T00:00:00,21300630,2014-01-22
2014-01-19T00:00:00,21300604,2014-01-19
2014-01-17T00:00:00,21300589,2014-01-17
2014-01-15T00:00:00,21300573,2014-01-15
2014-01-13T00:00:00,21300559,2014-01-13
2014-01-12T00:00:00,21300554,2014-01-12
2014-01-08T00:00:00,21300520,2014-01-08
2014-01-07T00:00:00,21300514,2014-01-07
2014-01-04T00:00:00,21300494,2014-01-04
2014-01-02T00:00:00,21300477,2014-01-02
2013-12-31T00:00:00,21300465,2013-12-31
2013-12-29T00:00:00,21300451,2013-12-29
2013-12-26T00:00:00,21300425,2013-12-26
2013-12-25T00:00:00,21300421,2013-12-25
2013-12-23T00:00:00,21300414,2013-12-23
2013-12-21T00:00:00,21300399,2013-12-21
2013-12-19T00:00:00,21300382,2013-12-19
2013-12-18T00:00:00,21300378,2013-12-18
2013-12-16T00:00:00,21300363,2013-12-16
2013-12-14T00:00:00,21300349,2013-12-14
2013-12-13T00:00:00,21300338,2013-12-13
2013-12-11T00:00:00,21300321,2013-12-11
2013-12-10T00:00:00,21300312,2013-12-10
2013-12-07T00:00:00,21300296,2013-12-07
2013-12-02T00:00:00,21300258,2013-12-02
2013-11-30T00:00:00,21300245,2013-11-30
2013-11-29T00:00:00,21300229,2013-11-29
2013-11-27T00:00:00,21300224,2013-11-27
2013-11-25T00:00:00,21300208,2013-11-25
2013-11-23T00:00:00,21300194,2013-11-23
2013-11-22T00:00:00,21300181,2013-11-22
2013-11-20T00:00:00,21300170,2013-11-20
2013-11-15T00:00:00,21300133,2013-11-15
2013-11-13T00:00:00,21300117,2013-11-13
2013-11-11T00:00:00,21300100,2013-11-11
2013-11-10T00:00:00,21300094,2013-11-10
2013-11-08T00:00:00,21300082,2013-11-08
2013-11-06T00:00:00,21300068,2013-11-06
2013-11-05T00:00:00,21300057,2013-11-05
