game_id,pctEFG,pctTS,pctUSG,ortg,drtg,netrtg,pacePer40PACE_PER40,ratioPIE
21100013,0.278,0.279,0.316,100,96.3,3.7,78.23,0.031
21100029,0.333,0.333,0.068,105,80,25,79.66,0.131
21100034,0.429,0.457,0.145,108.5,104.2,4.3,77.08,0.072
21100055,0.7,0.643,0.158,67.7,112.5,-44.8,82,0.243
21100072,0.333,0.436,0.171,114.7,124.2,-9.5,77.16,0.086
21100091,0.5,0.41,0.118,106.7,106.3,0.4,76.86,0.074
21100095,0.5,0.5,0.105,94.4,105.4,-11,75.88,0.03
21100116,0.75,0.75,0.104,130,116.3,13.7,84.06,0.11
21100122,0.6,0.623,0.139,101.4,107,-5.6,83.28,0.145
21100136,0.75,0.764,0.179,108.2,116.4,-8.2,74.09,0.156
21100149,0.417,0.427,0.169,107.1,89.9,17.3,73.67,0.077
21100166,0.611,0.583,0.139,90.3,88.9,1.4,82.56,0.092
21100183,0.625,0.676,0.155,106.1,89.7,16.4,82.12,0.128
21100197,0.5,0.5,0.169,113.8,133.9,-20.1,73.71,0.068
21100204,0.25,0.25,0.087,85.7,87,-1.2,73.1,0.053
21100224,0,0.42,0.128,76.7,88.6,-11.9,82.35,0.122
21100235,0.308,0.308,0.16,101.4,113.9,-12.5,74.76,0.023
21100246,0,0,0.077,125,157.1,-32.1,72.32,-0.026
21100265,0.571,0.571,0.127,100,84.7,15.3,79.32,0.094
21100280,0.25,0.25,0.125,82.1,97.4,-15.3,74.88,0
21100295,0.333,0.333,0.167,79.1,102.3,-23.3,72.26,0.077
21100303,0.545,0.524,0.169,84.7,78,6.8,74.55,0.244
21100323,0.2,0.255,0.35,56.3,150,-93.8,76.04,-0.054
21100328,1,1,0.045,100,126.3,-26.3,65.64,0.073
21100350,0.929,0.952,0.118,119.4,95.2,24.2,79.4,0.186
21100363,0.375,0.41,0.097,83.6,86.2,-2.6,80.97,0.013
21100374,0.25,0.25,0.082,118.6,97.7,20.9,77.04,0.016
21100403,0.75,0.868,0.053,111.8,108.2,3.6,74.51,0.121
