season,phase,date,team,opponent,location,city,w_l,route,distance,tz,flight_time,direction_e_w,return_home,player,team_rest,player_rest,games_played,mi_ns,pts,shift_hrs,fgm,fga,pct_fg,fg3m,fg3a,pct_fg3,pct_ft,fg2m,fg2a,pct_fg2,ftm,fta,oreb,dreb,treb,ast,stl,blk,tov,pf,plusminus,fpts
2011-12,RS,2011-12-26,San Antonio Spurs,Memphis Grizzlies,Home,San Antonio,W,No Travel,0,America/Chicago,-,-,,Kawhi Leonard,15,15,1,14,6,0,2,9,0.222,1,5,0.2,0.25,1,4,0.25,1,4,4,2,6,1,2,0,1,1,0,19.7
2011-12,RS,2011-12-28,San Antonio Spurs,Los Angeles Clippers,Home,San Antonio,W,No Travel,0,America/Chicago,-,-,,Kawhi Leonard,1,1,2,20,2,0,1,3,0.333,0,0,0,NA,1,3,0.3333333333333333,0,0,1,7,8,0,0,0,0,1,10,11.6
2011-12,RS,2011-12-29,San Antonio Spurs,Houston Rockets,Away,Houston,L,San Antonio - Houston,189,America/Chicago,~55 minutes,-,,Kawhi Leonard,0,0,3,25,8,0,3,7,0.429,0,3,0,0.5,3,4,0.75,2,4,2,2,4,0,1,0,0,0,1,15.8
2011-12,RS,2011-12-31,San Antonio Spurs,Utah Jazz,Home,San Antonio,W,Houston - San Antonio,189,America/Chicago,~55 minutes,-,,Kawhi Leonard,1,1,4,15,7,0,3,5,0.6,1,1,1,0,2,4,0.5,0,1,0,6,6,0,1,1,1,2,-15,19.2
2011-12,RS,2012-01-02,San Antonio Spurs,Minnesota Timberwolves,Away,Minneapolis,L,San Antonio - Minneapolis,1109,America/Chicago,~2.46 hours,-,,Kawhi Leonard,1,1,5,17,6,0,2,6,0.333,0,0,0,1,2,6,0.3333333333333333,2,2,2,1,3,1,2,0,0,1,-2,17.1
2011-12,RS,2012-01-04,San Antonio Spurs,Golden State Warriors,Home,San Antonio,W,Minneapolis - San Antonio,1109,America/Chicago,~2.46 hours,-,,Kawhi Leonard,1,1,6,8,2,0,1,2,0.5,0,0,0,0,1,2,0.5,0,1,1,1,2,1,0,0,0,0,-1,5.9
2011-12,RS,2012-01-05,San Antonio Spurs,Dallas Mavericks,Home,San Antonio,W,No Travel,0,America/Chicago,-,-,,Kawhi Leonard,0,0,7,19,4,0,2,4,0.5,0,2,0,NA,2,2,1,0,0,0,1,1,0,0,0,0,1,-5,5.2
2011-12,RS,2012-01-07,San Antonio Spurs,Denver Nuggets,Home,San Antonio,W,No Travel,0,America/Chicago,-,-,,Kawhi Leonard,1,1,8,20,6,0,3,4,0.75,0,0,0,NA,3,4,0.75,0,0,1,4,5,1,1,0,1,1,2,15.5
2011-12,RS,2012-01-08,San Antonio Spurs,Oklahoma City Thunder,Away,Oklahoma City,L,San Antonio - Oklahoma City,420,America/Chicago,~56 minutes,-,,Kawhi Leonard,0,0,9,34,13,0,6,10,0.6,0,0,0,1,6,10,0.6,1,1,3,7,10,2,2,0,1,1,-4,33
2011-12,RS,2012-01-10,San Antonio Spurs,Milwaukee Bucks,Away,Milwaukee,L,Oklahoma City - Milwaukee,731,America/Chicago,~1.62 hours,-,,Kawhi Leonard,1,1,10,33,19,0,9,12,0.75,0,1,0,1,9,11,0.8181818181818182,1,1,2,1,3,2,4,1,0,2,-5,40.6
2011-12,RS,2012-01-11,San Antonio Spurs,Houston Rockets,Home,San Antonio,W,Milwaukee - San Antonio,1107,America/Chicago,~2.46 hours,-,,Kawhi Leonard,0,0,11,38,11,0,5,12,0.417,0,0,0,0.5,5,12,0.4166666666666667,1,2,3,5,8,0,0,2,1,1,13,25.6
2011-12,RS,2012-01-13,San Antonio Spurs,Portland Trail Blazers,Home,San Antonio,W,No Travel,0,America/Chicago,-,-,,Kawhi Leonard,1,1,12,35,11,0,5,9,0.556,1,1,1,0,4,8,0.5,0,1,2,3,5,1,2,0,2,1,1,22.5
2011-12,RS,2012-01-15,San Antonio Spurs,Phoenix Suns,Home,San Antonio,W,No Travel,0,America/Chicago,-,-,,Kawhi Leonard,1,1,13,33,12,0,4,8,0.5,2,4,0.5,1,2,4,0.5,2,2,0,8,8,1,1,1,2,0,9,27.1
2011-12,RS,2012-01-17,San Antonio Spurs,Miami Heat,Away,Miami,L,San Antonio - Miami,1148,America/New_York,~2.55 hours,East,,Kawhi Leonard,1,1,14,31,12,1,5,12,0.417,2,5,0.4,NA,3,7,0.42857142857142855,0,0,5,1,6,1,1,0,0,2,-9,23.7
2011-12,RS,2012-01-18,San Antonio Spurs,Orlando Magic,Away,Orlando,W,Miami - Orlando,201,America/New_York,~55 minutes,-,,Kawhi Leonard,0,0,15,24,2,0,1,4,0.25,0,0,0,NA,1,4,0.25,0,0,0,3,3,2,1,1,0,3,-4,14.6
2011-12,RS,2012-01-20,San Antonio Spurs,Sacramento Kings,Home,San Antonio,L,Orlando - San Antonio,1038,America/Chicago,~2.31 hours,West,,Kawhi Leonard,1,1,16,21,4,-1,0,3,0,0,3,0,1,0,0,0,4,4,2,3,5,2,1,0,1,0,-6,15
2011-12,RS,2012-01-21,San Antonio Spurs,Houston Rockets,Away,Houston,L,San Antonio - Houston,189,America/Chicago,~55 minutes,-,,Kawhi Leonard,0,0,17,39,8,0,4,13,0.308,0,1,0,NA,4,12,0.3333333333333333,0,0,7,4,11,0,1,1,2,3,-9,25.2
2011-12,RS,2012-01-23,San Antonio Spurs,New Orleans Hornets,Away,New Orleans,W,Houston - New Orleans,328,America/Chicago,~55 minutes,-,,Kawhi Leonard,1,1,18,7,0,0,0,1,0,0,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,0
2011-12,RS,2012-01-25,San Antonio Spurs,Atlanta Hawks,Home,San Antonio,W,New Orleans - San Antonio,516,America/Chicago,~1.15 hours,-,,Kawhi Leonard,1,1,19,30,8,0,4,7,0.571,0,0,0,NA,4,7,0.5714285714285714,0,0,1,4,5,1,2,0,1,3,9,20.5
2011-12,RS,2012-01-27,San Antonio Spurs,Minnesota Timberwolves,Away,Minneapolis,L,San Antonio - Minneapolis,1109,America/Chicago,~2.46 hours,-,,Kawhi Leonard,1,1,20,21,2,0,1,4,0.25,0,0,0,NA,1,4,0.25,0,0,0,2,2,0,2,0,1,2,-5,9.4
2011-12,RS,2012-01-29,San Antonio Spurs,Dallas Mavericks,Away,Dallas,L,Minneapolis - Dallas,862,America/Chicago,~1.92 hours,-,,Kawhi Leonard,1,1,21,24,6,0,3,9,0.333,0,0,0,NA,3,9,0.3333333333333333,0,0,2,4,6,1,0,0,0,1,-10,14.7
2011-12,RS,2012-01-30,San Antonio Spurs,Memphis Grizzlies,Away,Memphis,W,Dallas - Memphis,419,America/Chicago,~55.87 minutes,-,,Kawhi Leonard,0,0,22,32,12,0,6,11,0.545,0,0,0,0,6,11,0.5454545454545454,0,1,4,6,10,1,2,1,1,0,4,33.5
2011-12,RS,2012-02-01,San Antonio Spurs,Houston Rockets,Home,San Antonio,W,Memphis - San Antonio,631,America/Chicago,~1.4 hours,-,,Kawhi Leonard,1,1,23,8,3,0,1,5,0.2,0,1,0,0.5,1,4,0.25,1,2,1,0,1,1,1,0,1,1,-15,7.7
2011-12,RS,2012-02-02,San Antonio Spurs,New Orleans Hornets,Home,San Antonio,W,No Travel,0,America/Chicago,-,-,,Kawhi Leonard,0,0,24,12,2,0,1,1,1,0,0,0,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,-4,2
2011-12,RS,2012-02-04,San Antonio Spurs,Oklahoma City Thunder,Home,San Antonio,W,No Travel,0,America/Chicago,-,-,,Kawhi Leonard,1,1,25,31,15,0,5,7,0.714,3,3,1,1,2,4,0.5,2,2,1,5,6,5,1,1,0,3,15,35.7
2011-12,RS,2012-02-06,San Antonio Spurs,Memphis Grizzlies,Away,Memphis,W,San Antonio - Memphis,631,America/Chicago,~1.4 hours,-,,Kawhi Leonard,1,1,26,28,4,0,1,4,0.25,1,2,0.5,0.5,0,2,0,1,2,0,2,2,0,1,0,1,1,-4,8.4
2011-12,RS,2012-02-08,San Antonio Spurs,Philadelphia 76ers,Away,Philadelphia,W,Memphis - Philadelphia,882,America/New_York,~1.96 hours,East,,Kawhi Leonard,1,1,27,23,2,1,1,4,0.25,0,0,0,NA,1,4,0.25,0,0,1,2,3,0,2,0,0,2,8,11.6
2011-12,RS,2012-02-11,San Antonio Spurs,New Jersey Nets,Away,Newark,W,Philadelphia - Newark,70,America/New_York,~55 minutes,-,,Kawhi Leonard,2,2,28,27,5,0,1,2,0.5,1,1,1,1,0,1,0,2,2,3,5,8,0,2,1,0,1,4,23.6
2011-12,RS,2012-02-14,San Antonio Spurs,Detroit Pistons,Away,Detroit,W,Newark - Detroit,476,America/Detroit,~1.06 hours,-,,Kawhi Leonard,2,2,29,19,11,0,4,6,0.667,2,3,0.6666666666666666,1,2,3,0.6666666666666666,1,1,0,4,4,1,2,1,3,2,-7,23.3
2011-12,RS,2012-02-15,San Antonio Spurs,Toronto Raptors,Away,Toronto,W,Detroit - Toronto,207,America/Toronto,~55 minutes,-,,Kawhi Leonard,0,0,30,15,0,0,0,1,0,0,1,0,NA,0,0,0,0,0,0,2,2,1,0,0,0,0,-5,3.9
2011-12,RS,2012-02-18,San Antonio Spurs,Los Angeles Clippers,Away,Los Angeles,W,Toronto - Los Angeles,2179,America/Los_Angeles,~4.84 hours,West,,Kawhi Leonard,2,2,31,18,4,-3,2,6,0.333,0,3,0,NA,2,3,0.6666666666666666,0,0,2,1,3,3,1,2,0,4,4,21.1
2011-12,RS,2012-02-20,San Antonio Spurs,Utah Jazz,Away,Salt Lake City,W,Los Angeles - Salt Lake City,582,America/Denver,~1.29 hours,East,,Kawhi Leonard,1,1,32,30,4,1,1,3,0.333,0,1,0,1,1,2,0.5,2,2,4,4,8,0,2,0,1,1,5,18.6
2011-12,RS,2012-02-21,San Antonio Spurs,Portland Trail Blazers,Away,Portland,L,Salt Lake City - Portland,632,America/Los_Angeles,~1.4 hours,West,,Kawhi Leonard,0,0,33,43,24,-1,9,14,0.643,2,4,0.5,0.667,7,10,0.7,4,6,2,8,10,1,5,1,2,1,-21,53.5
2011-12,RS,2012-02-23,San Antonio Spurs,Denver Nuggets,Away,Denver,W,Portland - Denver,986,America/Denver,~2.19 hours,East,,Kawhi Leonard,1,1,34,2,2,1,1,1,1,0,0,0,NA,1,1,1,0,0,0,1,1,0,0,0,0,0,7,3.2
2011-12,RS,2012-03-02,San Antonio Spurs,Charlotte Bobcats,Home,San Antonio,W,No Travel,0,America/Chicago,-,-,,Kawhi Leonard,1,7,35,17,10,0,2,5,0.4,0,2,0,1,2,3,0.6666666666666666,6,6,2,3,5,0,3,0,1,1,10,24
2011-12,RS,2012-03-04,San Antonio Spurs,Denver Nuggets,Home,San Antonio,L,No Travel,0,America/Chicago,-,-,,Kawhi Leonard,1,1,36,23,13,0,2,5,0.4,1,3,0.3333333333333333,0.889,1,2,0.5,8,9,1,5,6,1,1,1,0,2,5,27.7
2011-12,RS,2012-03-07,San Antonio Spurs,New York Knicks,Home,San Antonio,W,No Travel,0,America/Chicago,-,-,,Kawhi Leonard,2,2,37,25,10,0,4,4,1,0,0,0,0.667,4,4,1,2,3,1,5,6,0,3,0,0,1,-5,26.2
2011-12,RS,2012-03-09,San Antonio Spurs,Los Angeles Clippers,Home,San Antonio,L,No Travel,0,America/Chicago,-,-,,Kawhi Leonard,1,1,38,20,10,0,4,6,0.667,2,2,1,NA,2,4,0.5,0,0,3,3,6,1,0,0,2,2,-6,16.7
2011-12,RS,2012-03-12,San Antonio Spurs,Washington Wizards,Home,San Antonio,W,No Travel,0,America/Chicago,-,-,,Kawhi Leonard,2,2,39,27,7,0,3,6,0.5,1,4,0.25,NA,2,2,1,0,0,2,5,7,0,2,0,0,0,15,21.4
2011-12,RS,2012-03-14,San Antonio Spurs,Orlando Magic,Home,San Antonio,W,No Travel,0,America/Chicago,-,-,,Kawhi Leonard,1,1,40,31,12,0,4,5,0.8,2,2,1,1,2,3,0.6666666666666666,2,2,1,5,6,2,2,0,0,3,19,28.2
2011-12,RS,2012-03-16,San Antonio Spurs,Oklahoma City Thunder,Away,Oklahoma City,W,San Antonio - Oklahoma City,420,America/Chicago,~56 minutes,-,,Kawhi Leonard,1,1,41,39,15,0,5,9,0.556,2,4,0.5,0.75,3,5,0.6,3,4,3,2,5,2,3,0,2,1,4,31
2011-12,RS,2012-03-17,San Antonio Spurs,Dallas Mavericks,Away,Dallas,L,Oklahoma City - Dallas,190,America/Chicago,~55 minutes,-,,Kawhi Leonard,0,0,42,30,5,0,2,6,0.333,1,4,0.25,NA,1,2,0.5,0,0,1,4,5,2,2,0,1,2,-10,19
2011-12,RS,2012-03-21,San Antonio Spurs,Minnesota Timberwolves,Home,San Antonio,W,Dallas - San Antonio,252,America/Chicago,~55 minutes,-,,Kawhi Leonard,3,3,43,38,16,0,6,10,0.6,1,2,0.5,0.75,5,8,0.625,3,4,3,6,9,1,1,1,0,3,12,34.3
2011-12,RS,2012-03-23,San Antonio Spurs,Dallas Mavericks,Home,San Antonio,W,No Travel,0,America/Chicago,-,-,,Kawhi Leonard,1,1,44,27,12,0,6,8,0.75,0,2,0,NA,6,6,1,0,0,2,6,8,0,1,1,0,0,0,27.6
2011-12,RS,2012-03-24,San Antonio Spurs,New Orleans Hornets,Away,New Orleans,W,San Antonio - New Orleans,516,America/Chicago,~1.15 hours,-,,Kawhi Leonard,0,0,45,25,8,0,3,12,0.25,0,1,0,1,3,11,0.2727272727272727,2,2,5,2,7,0,1,2,0,1,-2,25.4
2011-12,RS,2012-03-25,San Antonio Spurs,Philadelphia 76ers,Home,San Antonio,W,New Orleans - San Antonio,516,America/Chicago,~1.15 hours,-,,Kawhi Leonard,0,0,46,32,11,0,4,7,0.571,1,2,0.5,1,3,5,0.6,2,2,1,9,10,2,1,0,1,1,5,28
2011-12,RS,2012-03-27,San Antonio Spurs,Phoenix Suns,Away,Phoenix,W,San Antonio - Phoenix,847,America/Phoenix,~1.88 hours,West,,Kawhi Leonard,1,1,47,32,14,-1,6,11,0.545,1,3,0.3333333333333333,1,5,8,0.625,1,1,2,5,7,1,1,0,1,2,4,25.9
2011-12,RS,2012-03-28,San Antonio Spurs,Sacramento Kings,Away,Sacramento,W,Phoenix - Sacramento,629,America/Los_Angeles,~1.4 hours,West,,Kawhi Leonard,0,0,48,33,19,-1,8,11,0.727,3,4,0.75,NA,5,7,0.7142857142857143,0,0,4,5,9,2,2,0,3,2,14,35.8
2011-12,RS,2012-03-31,San Antonio Spurs,Indiana Pacers,Home,San Antonio,W,Sacramento - San Antonio,1453,America/Chicago,~3.23 hours,East,,Kawhi Leonard,2,2,49,24,5,2,2,5,0.4,1,2,0.5,NA,1,3,0.3333333333333333,0,0,1,1,2,2,2,0,1,3,11,15.4
2011-12,RS,2012-04-03,San Antonio Spurs,Cleveland Cavaliers,Away,Cleveland,W,San Antonio - Cleveland,1256,America/New_York,~2.79 hours,East,,Kawhi Leonard,2,2,50,19,8,1,3,7,0.429,0,2,0,1,3,5,0.6,2,2,2,1,3,2,1,1,0,0,6,20.6
2011-12,RS,2012-04-04,San Antonio Spurs,Boston Celtics,Away,Boston,W,Cleveland - Boston,551,America/New_York,~1.22 hours,-,,Kawhi Leonard,0,0,51,18,0,0,0,2,0,0,0,0,NA,0,2,0,0,0,1,0,1,2,1,0,0,0,3,7.2
2011-12,RS,2012-04-06,San Antonio Spurs,New Orleans Hornets,Home,San Antonio,W,Boston - San Antonio,1767,America/Chicago,~3.93 hours,West,,Kawhi Leonard,1,1,52,21,6,-1,3,5,0.6,0,0,0,NA,3,5,0.6,0,0,2,2,4,1,1,0,0,1,12,15.3
2011-12,RS,2012-04-08,San Antonio Spurs,Utah Jazz,Home,San Antonio,W,No Travel,0,America/Chicago,-,-,,Kawhi Leonard,1,1,53,27,6,0,3,4,0.75,0,0,0,NA,3,4,0.75,0,0,0,4,4,2,1,1,0,2,6,19.8
2011-12,RS,2012-04-09,San Antonio Spurs,Utah Jazz,Away,Salt Lake City,L,San Antonio - Salt Lake City,1087,America/Denver,~2.42 hours,West,,Kawhi Leonard,0,0,54,26,7,-1,3,8,0.375,0,2,0,1,3,6,0.5,1,1,1,4,5,2,1,1,1,2,5,21
2011-12,RS,2012-04-11,San Antonio Spurs,Los Angeles Lakers,Home,San Antonio,L,Salt Lake City - San Antonio,1087,America/Chicago,~2.42 hours,East,,Kawhi Leonard,1,1,55,18,2,1,1,4,0.25,0,1,0,NA,1,3,0.3333333333333333,0,0,0,5,5,1,0,2,0,2,-8,15.5
2011-12,RS,2012-04-12,San Antonio Spurs,Memphis Grizzlies,Home,San Antonio,W,No Travel,0,America/Chicago,-,-,,Kawhi Leonard,0,0,56,18,6,0,2,5,0.4,0,1,0,1,2,4,0.5,2,2,2,3,5,1,1,0,0,2,-4,16.5
2011-12,RS,2012-04-14,San Antonio Spurs,Phoenix Suns,Home,San Antonio,W,No Travel,0,America/Chicago,-,-,,Kawhi Leonard,1,1,57,24,14,0,5,6,0.833,3,3,1,1,2,3,0.6666666666666666,1,1,3,2,5,2,2,0,3,1,24,26
2011-12,RS,2012-04-16,San Antonio Spurs,Golden State Warriors,Away,San Francisco,W,San Antonio - San Francisco,1488,America/Los_Angeles,~3.31 hours,West,,Kawhi Leonard,1,1,58,16,7,-2,3,4,0.75,1,2,0.5,NA,2,2,1,0,0,1,6,7,2,1,0,1,1,11,20.4
2011-12,RS,2012-04-17,San Antonio Spurs,Los Angeles Lakers,Away,Los Angeles,W,San Francisco - Los Angeles,339,America/Los_Angeles,~55 minutes,-,,Kawhi Leonard,0,0,59,18,3,0,1,5,0.2,1,3,0.3333333333333333,NA,0,2,0,0,0,0,4,4,0,1,0,0,1,1,10.8
2011-12,RS,2012-04-18,San Antonio Spurs,Sacramento Kings,Away,Sacramento,W,Los Angeles - Sacramento,352,America/Los_Angeles,~55 minutes,-,,Kawhi Leonard,0,0,60,27,13,0,6,10,0.6,1,3,0.3333333333333333,NA,5,7,0.7142857142857143,0,0,0,5,5,4,2,0,0,2,20,31
2011-12,RS,2012-04-20,San Antonio Spurs,Los Angeles Lakers,Home,San Antonio,W,Sacramento - San Antonio,1453,America/Chicago,~3.23 hours,East,,Kawhi Leonard,1,1,61,19,8,2,3,5,0.6,2,2,1,NA,1,3,0.3333333333333333,0,0,1,3,4,1,2,0,0,4,13,20.3
2011-12,RS,2012-04-22,San Antonio Spurs,Cleveland Cavaliers,Home,San Antonio,W,No Travel,0,America/Chicago,-,-,,Kawhi Leonard,1,1,62,32,11,0,3,8,0.375,1,4,0.25,0.667,2,4,0.5,4,6,1,6,7,0,1,0,2,1,-1,20.4
2011-12,RS,2012-04-23,San Antonio Spurs,Portland Trail Blazers,Home,San Antonio,W,No Travel,0,America/Chicago,-,-,,Kawhi Leonard,0,0,63,19,2,0,1,4,0.25,0,2,0,NA,1,2,0.5,0,0,2,0,2,2,1,0,1,1,17,9.4
2011-12,RS,2012-04-25,San Antonio Spurs,Phoenix Suns,Away,Phoenix,W,San Antonio - Phoenix,847,America/Phoenix,~1.88 hours,West,,Kawhi Leonard,1,1,64,17,10,-1,4,8,0.5,0,1,0,1,4,7,0.5714285714285714,2,2,0,3,3,2,1,0,1,2,-4,18.6
2011-12,PO,2012-04-29,San Antonio Spurs,Utah Jazz,Home,San Antonio,W,San Francisco - San Antonio,1488,America/Chicago,~3.31 hours,East,,Kawhi Leonard,2,3,1,20,6,2,2,5,0.4,0,3,0,1,2,2,1,2,2,0,2,2,1,2,0,0,1,7,15.9
2011-12,PO,2012-05-02,San Antonio Spurs,Utah Jazz,Home,San Antonio,W,No Travel,0,America/Chicago,-,-,,Kawhi Leonard,2,2,2,25,17,0,6,7,0.857,3,4,0.75,1,3,3,1,2,2,0,3,3,1,2,0,1,3,36,27.1
2011-12,PO,2012-05-05,San Antonio Spurs,Utah Jazz,Away,Salt Lake City,W,San Antonio - Salt Lake City,1087,America/Denver,~2.42 hours,West,,Kawhi Leonard,2,2,3,15,2,-1,1,3,0.333,0,1,0,NA,1,2,0.5,0,0,1,2,3,0,0,0,0,1,0,5.6
2011-12,PO,2012-05-07,San Antonio Spurs,Utah Jazz,Away,Salt Lake City,W,No Travel,0,America/Denver,-,-,,Kawhi Leonard,1,1,4,20,3,0,1,7,0.143,1,2,0.5,NA,0,5,0,0,0,1,4,5,0,0,0,1,3,-6,8
2011-12,PO,2012-05-15,San Antonio Spurs,Los Angeles Clippers,Home,San Antonio,W,Salt Lake City - San Antonio,1087,America/Chicago,~2.42 hours,East,,Kawhi Leonard,7,7,5,28,16,1,5,8,0.625,3,3,1,0.75,2,5,0.4,3,4,3,3,6,1,3,1,2,1,9,34.7
2011-12,PO,2012-05-17,San Antonio Spurs,Los Angeles Clippers,Home,San Antonio,W,No Travel,0,America/Chicago,-,-,,Kawhi Leonard,1,1,6,26,5,0,2,5,0.4,0,2,0,0.5,2,3,0.6666666666666666,1,2,1,5,6,0,2,1,1,1,20,20.2
2011-12,PO,2012-05-19,San Antonio Spurs,Los Angeles Clippers,Away,Los Angeles,W,San Antonio - Los Angeles,1210,America/Los_Angeles,~2.69 hours,West,,Kawhi Leonard,1,1,7,37,14,-2,5,7,0.714,3,5,0.6,1,2,2,1,1,1,1,8,9,1,2,1,1,2,4,34.3
2011-12,PO,2012-05-20,San Antonio Spurs,Los Angeles Clippers,Away,Los Angeles,W,No Travel,0,America/Los_Angeles,-,-,,Kawhi Leonard,0,0,8,24,5,0,2,5,0.4,0,2,0,1,2,3,0.6666666666666666,1,1,1,4,5,1,1,0,0,2,1,15.5
2011-12,PO,2012-05-27,San Antonio Spurs,Oklahoma City Thunder,Home,San Antonio,W,Los Angeles - San Antonio,1210,America/Chicago,~2.69 hours,East,,Kawhi Leonard,6,6,9,25,7,2,3,9,0.333,1,3,0.3333333333333333,NA,2,6,0.3333333333333333,0,0,4,3,7,0,1,0,2,1,-16,16.4
2011-12,PO,2012-05-29,San Antonio Spurs,Oklahoma City Thunder,Home,San Antonio,W,No Travel,0,America/Chicago,-,-,,Kawhi Leonard,1,1,10,35,18,0,7,12,0.583,3,6,0.5,1,4,6,0.6666666666666666,1,1,2,8,10,0,1,2,1,1,11,38
2011-12,PO,2012-05-31,San Antonio Spurs,Oklahoma City Thunder,Away,Oklahoma City,L,San Antonio - Oklahoma City,420,America/Chicago,~56 minutes,-,,Kawhi Leonard,1,1,11,15,2,0,1,3,0.333,0,1,0,0,1,2,0.5,0,1,1,5,6,0,0,1,0,1,-11,12.2
2011-12,PO,2012-06-02,San Antonio Spurs,Oklahoma City Thunder,Away,Oklahoma City,L,No Travel,0,America/Chicago,-,-,,Kawhi Leonard,1,1,12,33,17,0,7,8,0.875,3,4,0.75,NA,4,4,1,0,0,1,8,9,0,1,0,2,1,-12,28.8
2011-12,PO,2012-06-04,San Antonio Spurs,Oklahoma City Thunder,Home,San Antonio,L,Oklahoma City - San Antonio,420,America/Chicago,~56 minutes,-,,Kawhi Leonard,1,1,13,36,4,0,1,4,0.25,0,1,0,1,1,3,0.3333333333333333,2,2,0,10,10,2,1,0,1,2,-2,21
2011-12,PO,2012-06-06,San Antonio Spurs,Oklahoma City Thunder,Away,Oklahoma City,L,San Antonio - NA,420,America/Chicago,~56 minutes,-,,Kawhi Leonard,1,1,14,41,5,0,2,7,0.286,1,3,0.3333333333333333,NA,1,4,0.25,0,0,2,0,2,1,1,0,1,3,-6,10.9
2012-13,RS,2012-10-31,San Antonio Spurs,New Orleans Hornets,Away,New Orleans,W,San Antonio - New Orleans,516,America/Chicago,~1.15 hours,-,,Kawhi Leonard,15,15,1,34,19,0,6,13,0.462,3,6,0.5,1,3,7,0.42857142857142855,4,4,1,6,7,1,5,0,2,5,12,41.9
2012-13,RS,2012-11-01,San Antonio Spurs,Oklahoma City Thunder,Home,San Antonio,W,New Orleans - San Antonio,516,America/Chicago,~1.15 hours,-,,Kawhi Leonard,0,0,2,32,6,0,2,8,0.25,0,3,0,1,2,5,0.4,2,2,1,3,4,1,5,0,4,4,1,23.3
