Season,Phase,Month,Week,Date,Team,Opponent,Location,W/L,City,Distance,Route,Rest,TZ,Shift (hrs),Flight Time,Direction (E/W),Return Home,Latitude,Longitude,d.Latitude,d.Longitude
2014-15,RS,Oct,44,2014-10-29,Atlanta Hawks,Toronto Raptors,Away,L,Toronto,735,Atlanta - Toronto,15,America/Toronto,0,~1.34 hours,-,,43.65,-79.38,33.76,-84.42
2014-15,RS,Nov,44,2014-11-01,Atlanta Hawks,Indiana Pacers,Home,W,Atlanta,735,Toronto - Atlanta,2,America/New_York,0,~1.34 hours,-,,33.76,-84.42,43.65,-79.38
2014-15,RS,Nov,45,2014-11-05,Atlanta Hawks,San Antonio Spurs,Away,L,San Antonio,880,Atlanta - San Antonio,3,America/Chicago,-1,~1.6 hours,West,,29.46,-98.51,33.76,-84.42
2014-15,RS,Nov,45,2014-11-07,Atlanta Hawks,Charlotte Hornets,Away,L,Charlotte,1104,San Antonio - Charlotte,1,America/New_York,1,~2.01 hours,East,,35.2,-80.83,29.46,-98.51
2014-15,RS,Nov,45,2014-11-08,Atlanta Hawks,New York Knicks,Home,W,Atlanta,227,Charlotte - Atlanta,0,America/New_York,0,~55 minutes,-,,33.76,-84.42,35.2,-80.83
2014-15,RS,Nov,45,2014-11-10,Atlanta Hawks,New York Knicks,Away,W,New York,748,Atlanta - New York,1,America/New_York,0,~1.36 hours,-,,40.67,-73.94,33.76,-84.42
2014-15,RS,Nov,46,2014-11-12,Atlanta Hawks,Utah Jazz,Home,W,Atlanta,748,New York - Atlanta,1,America/New_York,0,~1.36 hours,-,,33.76,-84.42,40.67,-73.94
2014-15,RS,Nov,46,2014-11-14,Atlanta Hawks,Miami Heat,Home,W,Atlanta,0,No Travel,1,America/New_York,0,-,-,,33.76,-84.42,33.76,-84.42
2014-15,RS,Nov,46,2014-11-15,Atlanta Hawks,Cleveland Cavaliers,Away,L,Cleveland,554,Atlanta - Cleveland,0,America/New_York,0,~1.01 hours,-,,41.48,-81.68,33.76,-84.42
2014-15,RS,Nov,46,2014-11-18,Atlanta Hawks,Los Angeles Lakers,Home,L,Atlanta,554,Cleveland - Atlanta,2,America/New_York,0,~1.01 hours,-,,33.76,-84.42,41.48,-81.68
2014-15,RS,Nov,47,2014-11-21,Atlanta Hawks,Detroit Pistons,Home,W,Atlanta,0,No Travel,2,America/New_York,0,-,-,,33.76,-84.42,33.76,-84.42
2014-15,RS,Nov,47,2014-11-25,Atlanta Hawks,Washington Wizards,Away,W,Washington,544,Atlanta - Washington,3,America/New_York,0,~59.35 minutes,-,,38.91,-77.02,33.76,-84.42
2014-15,RS,Nov,48,2014-11-26,Atlanta Hawks,Toronto Raptors,Home,L,Atlanta,544,Washington - Atlanta,0,America/New_York,0,~59.35 minutes,-,,33.76,-84.42,38.91,-77.02
2014-15,RS,Nov,48,2014-11-28,Atlanta Hawks,New Orleans Pelicans,Home,W,Atlanta,0,No Travel,1,America/New_York,0,-,-,,33.76,-84.42,33.76,-84.42
2014-15,RS,Nov,48,2014-11-29,Atlanta Hawks,Charlotte Hornets,Home,W,Atlanta,0,No Travel,0,America/New_York,0,-,-,,33.76,-84.42,33.76,-84.42
2014-15,RS,Dec,48,2014-12-02,Atlanta Hawks,Boston Celtics,Home,W,Atlanta,0,No Travel,2,America/New_York,0,-,-,,33.76,-84.42,33.76,-84.42
2014-15,RS,Dec,49,2014-12-03,Atlanta Hawks,Miami Heat,Away,W,Miami,607,Atlanta - Miami,0,America/New_York,0,~1.1 hours,-,,25.78,-80.21,33.76,-84.42
2014-15,RS,Dec,49,2014-12-05,Atlanta Hawks,Brooklyn Nets,Away,W,New York,1091,Miami - New York,1,America/New_York,0,~1.98 hours,-,,40.67,-73.94,25.78,-80.21
2014-15,RS,Dec,49,2014-12-07,Atlanta Hawks,Denver Nuggets,Home,W,Atlanta,748,New York - Atlanta,1,America/New_York,0,~1.36 hours,-,,33.76,-84.42,40.67,-73.94
2014-15,RS,Dec,49,2014-12-08,Atlanta Hawks,Indiana Pacers,Away,W,Indianapolis,427,Atlanta - Indianapolis,0,America/Indiana/Indianapolis,0,~55 minutes,-,,39.78,-86.15,33.76,-84.42
2014-15,RS,Dec,50,2014-12-10,Atlanta Hawks,Philadelphia 76ers,Home,W,Atlanta,427,Indianapolis - Atlanta,1,America/New_York,0,~55 minutes,-,,33.76,-84.42,39.78,-86.15
2014-15,RS,Dec,50,2014-12-12,Atlanta Hawks,Orlando Magic,Home,W,Atlanta,0,No Travel,1,America/New_York,0,-,-,,33.76,-84.42,33.76,-84.42
2014-15,RS,Dec,50,2014-12-13,Atlanta Hawks,Orlando Magic,Away,L,Orlando,406,Atlanta - Orlando,0,America/New_York,0,~55 minutes,-,,28.5,-81.37,33.76,-84.42
