"team","w","l","w_lpercent","gb","pw","pl","ps_g","pa_g","date"
"Boston Celtics*","0","1",".000","—","0","1","107.0","120.0","2012-10-30"
"Cleveland Cavaliers","1","0","1.000","—","1","0","94.0","84.0","2012-10-30"
"Miami Heat*","1","0","1.000","—","1","0","120.0","107.0","2012-10-30"
"Washington Wizards","0","1",".000","1.0","0","1","84.0","94.0","2012-10-30"
"Los Angeles Lakers*","0","1",".000","—","0","1","91.0","99.0","2012-10-30"
"Dallas Mavericks","1","0","1.000","—","1","0","99.0","91.0","2012-10-30"
"Philadelphia 76ers","1","0","1.000","—","1","0","84.0","75.0","2012-10-31"
"Boston Celtics*","0","1",".000","1.0","0","1","107.0","120.0","2012-10-31"
"Toronto Raptors","0","1",".000","1.0","0","1","88.0","90.0","2012-10-31"
"Indiana Pacers*","1","0","1.000","—","1","0","90.0","88.0","2012-10-31"
"Chicago Bulls*","1","0","1.000","—","1","0","93.0","87.0","2012-10-31"
"Cleveland Cavaliers","1","0","1.000","—","1","0","94.0","84.0","2012-10-31"
"Detroit Pistons","0","1",".000","1.0","0","1","96.0","105.0","2012-10-31"
"Miami Heat*","1","0","1.000","—","1","0","120.0","107.0","2012-10-31"
"Washington Wizards","0","1",".000","1.0","0","1","84.0","94.0","2012-10-31"
"Portland Trail Blazers","1","0","1.000","—","1","0","116.0","106.0","2012-10-31"
"Utah Jazz","1","0","1.000","—","1","0","113.0","94.0","2012-10-31"
"Denver Nuggets*","0","1",".000","1.0","0","1","75.0","84.0","2012-10-31"
"Los Angeles Clippers*","1","0","1.000","—","1","0","101.0","92.0","2012-10-31"
"Golden State Warriors*","1","0","1.000","—","1","0","87.0","85.0","2012-10-31"
"Sacramento Kings","0","1",".000","1.0","0","1","87.0","93.0","2012-10-31"
"Phoenix Suns","0","1",".000","1.0","0","1","85.0","87.0","2012-10-31"
"Los Angeles Lakers*","0","2",".000","1.5","0","2","98.5","107.5","2012-10-31"
"San Antonio Spurs*","1","0","1.000","—","1","0","99.0","95.0","2012-10-31"
"Houston Rockets*","1","0","1.000","—","1","0","105.0","96.0","2012-10-31"
"Dallas Mavericks","1","1",".500","0.5","1","1","96.5","102.0","2012-10-31"
"Memphis Grizzlies*","0","1",".000","1.0","0","1","92.0","101.0","2012-10-31"
"New Orleans Hornets","0","1",".000","1.0","0","1","95.0","99.0","2012-10-31"
"Philadelphia 76ers","1","0","1.000","—","1","0","84.0","75.0","2012-11-1"
"Boston Celtics*","0","1",".000","1.0","0","1","107.0","120.0","2012-11-1"
"Toronto Raptors","0","1",".000","1.0","0","1","88.0","90.0","2012-11-1"
"Indiana Pacers*","1","0","1.000","—","1","0","90.0","88.0","2012-11-1"
"Chicago Bulls*","1","0","1.000","—","1","0","93.0","87.0","2012-11-1"
"Cleveland Cavaliers","1","0","1.000","—","1","0","94.0","84.0","2012-11-1"
"Detroit Pistons","0","1",".000","1.0","0","1","96.0","105.0","2012-11-1"
"Miami Heat*","1","0","1.000","—","1","0","120.0","107.0","2012-11-1"
"Washington Wizards","0","1",".000","1.0","0","1","84.0","94.0","2012-11-1"
"Portland Trail Blazers","1","0","1.000","—","1","0","116.0","106.0","2012-11-1"
"Utah Jazz","1","0","1.000","—","1","0","113.0","94.0","2012-11-1"
"Oklahoma City Thunder*","0","1",".000","1.0","0","1","84.0","86.0","2012-11-1"
"Denver Nuggets*","0","1",".000","1.0","0","1","75.0","84.0","2012-11-1"
"Los Angeles Clippers*","1","0","1.000","—","1","0","101.0","92.0","2012-11-1"
"Golden State Warriors*","1","0","1.000","—","1","0","87.0","85.0","2012-11-1"
"Sacramento Kings","0","1",".000","1.0","0","1","87.0","93.0","2012-11-1"
"Phoenix Suns","0","1",".000","1.0","0","1","85.0","87.0","2012-11-1"
"Los Angeles Lakers*","0","2",".000","1.5","0","2","98.5","107.5","2012-11-1"
"San Antonio Spurs*","2","0","1.000","—","1","1","92.5","89.5","2012-11-1"
"Houston Rockets*","1","0","1.000","0.5","1","0","105.0","96.0","2012-11-1"
"Dallas Mavericks","1","1",".500","1.0","1","1","96.5","102.0","2012-11-1"
"Memphis Grizzlies*","0","1",".000","1.5","0","1","92.0","101.0","2012-11-1"
"New Orleans Hornets","0","1",".000","1.5","0","1","95.0","99.0","2012-11-1"
"New York Knicks*","1","0","1.000","—","1","0","104.0","84.0","2012-11-2"
"Philadelphia 76ers","1","0","1.000","—","1","0","84.0","75.0","2012-11-2"
"Toronto Raptors","0","1",".000","1.0","0","1","88.0","90.0","2012-11-2"
"Boston Celtics*","0","2",".000","1.5","0","2","97.5","109.5","2012-11-2"
"Chicago Bulls*","2","0","1.000","—","2","0","104.0","86.5","2012-11-2"
"Milwaukee Bucks*","1","0","1.000","0.5","1","0","99.0","88.0","2012-11-2"
