"","team","w","l","w_lpercent","gb","pw","pl","ps_g","pa_g","date"
"1","Cleveland Cavaliers*",1,0,1,"—",1,0,117,88,"2016-10-25"
"2","New York Knicks",0,1,0,"1.0",0,1,88,117,"2016-10-25"
"3","San Antonio Spurs*",1,0,1,"—",1,0,129,100,"2016-10-25"
"4","Portland Trail Blazers*",1,0,1,"—",1,0,113,104,"2016-10-25"
"5","Golden State Warriors*",0,1,0,"1.0",0,1,100,129,"2016-10-25"
"6","Utah Jazz*",0,1,0,"1.0",0,1,104,113,"2016-10-25"
"7","Cleveland Cavaliers*",1,0,1,"—",1,0,117,88,"2016-10-26"
"8","Boston Celtics*",1,0,1,"—",1,0,122,117,"2016-10-26"
"9","Indiana Pacers*",1,0,1,"—",1,0,130,121,"2016-10-26"
"10","Toronto Raptors*",1,0,1,"—",1,0,109,91,"2016-10-26"
"11","Charlotte Hornets",1,0,1,"—",1,0,107,96,"2016-10-26"
"12","Miami Heat",1,0,1,"—",1,0,108,96,"2016-10-26"
"13","Milwaukee Bucks*",0,1,0,"1.0",0,1,96,107,"2016-10-26"
"14","Detroit Pistons",0,1,0,"1.0",0,1,91,109,"2016-10-26"
"15","New York Knicks",0,1,0,"1.0",0,1,88,117,"2016-10-26"
"16","Brooklyn Nets",0,1,0,"1.0",0,1,117,122,"2016-10-26"
"17","Orlando Magic",0,1,0,"1.0",0,1,96,108,"2016-10-26"
"18","Philadelphia 76ers",0,1,0,"1.0",0,1,97,103,"2016-10-26"
"19","San Antonio Spurs*",1,0,1,"—",1,0,129,100,"2016-10-26"
"20","Portland Trail Blazers*",1,0,1,"—",1,0,113,104,"2016-10-26"
"21","Memphis Grizzlies*",1,0,1,"—",1,0,102,98,"2016-10-26"
"22","Oklahoma City Thunder*",1,0,1,"—",1,0,103,97,"2016-10-26"
"23","Denver Nuggets",1,0,1,"—",1,0,107,102,"2016-10-26"
"24","Los Angeles Lakers",1,0,1,"—",1,0,120,114,"2016-10-26"
"25","Sacramento Kings",1,0,1,"—",1,0,113,94,"2016-10-26"
"26","Golden State Warriors*",0,1,0,"1.0",0,1,100,129,"2016-10-26"
"27","Utah Jazz*",0,1,0,"1.0",0,1,104,113,"2016-10-26"
"28","Houston Rockets*",0,1,0,"1.0",0,1,114,120,"2016-10-26"
"29","Dallas Mavericks",0,1,0,"1.0",0,1,121,130,"2016-10-26"
"30","Phoenix Suns",0,1,0,"1.0",0,1,94,113,"2016-10-26"
"31","Minnesota Timberwolves",0,1,0,"1.0",0,1,98,102,"2016-10-26"
"32","New Orleans Pelicans",0,1,0,"1.0",0,1,102,107,"2016-10-26"
"33","Cleveland Cavaliers*",1,0,1,"—",1,0,117,88,"2016-10-27"
"34","Atlanta Hawks*",1,0,1,"—",1,0,114,99,"2016-10-27"
"35","Chicago Bulls*",1,0,1,"—",1,0,105,99,"2016-10-27"
"36","Indiana Pacers*",1,0,1,"—",1,0,130,121,"2016-10-27"
"37","Toronto Raptors*",1,0,1,"—",1,0,109,91,"2016-10-27"
"38","Charlotte Hornets",1,0,1,"—",1,0,107,96,"2016-10-27"
"39","Miami Heat",1,0,1,"—",1,0,108,96,"2016-10-27"
"40","Boston Celtics*",1,1,0.5,"0.5",1,1,110.5,111,"2016-10-27"
"41","Washington Wizards*",0,1,0,"1.0",0,1,99,114,"2016-10-27"
"42","Milwaukee Bucks*",0,1,0,"1.0",0,1,96,107,"2016-10-27"
"43","Detroit Pistons",0,1,0,"1.0",0,1,91,109,"2016-10-27"
"44","New York Knicks",0,1,0,"1.0",0,1,88,117,"2016-10-27"
"45","Brooklyn Nets",0,1,0,"1.0",0,1,117,122,"2016-10-27"
"46","Orlando Magic",0,1,0,"1.0",0,1,96,108,"2016-10-27"
"47","Philadelphia 76ers",0,1,0,"1.0",0,1,97,103,"2016-10-27"
"48","San Antonio Spurs*",2,0,1,"—",2,0,115.5,97,"2016-10-27"
"49","Memphis Grizzlies*",1,0,1,"0.5",1,0,102,98,"2016-10-27"
"50","Oklahoma City Thunder*",1,0,1,"0.5",1,0,103,97,"2016-10-27"
"51","Los Angeles Clippers*",1,0,1,"0.5",1,0,114,106,"2016-10-27"
"52","Denver Nuggets",1,0,1,"0.5",1,0,107,102,"2016-10-27"
"53","Los Angeles Lakers",1,0,1,"0.5",1,0,120,114,"2016-10-27"
"54","Portland Trail Blazers*",1,1,0.5,"1.0",1,1,109.5,109,"2016-10-27"
"55","Sacramento Kings",1,1,0.5,"1.0",1,1,103.5,98,"2016-10-27"
"56","Golden State Warriors*",0,1,0,"1.5",0,1,100,129,"2016-10-27"
"57","Utah Jazz*",0,1,0,"1.5",0,1,104,113,"2016-10-27"
"58","Houston Rockets*",0,1,0,"1.5",0,1,114,120,"2016-10-27"
"59","Dallas Mavericks",0,1,0,"1.5",0,1,121,130,"2016-10-27"
"60","Phoenix Suns",0,1,0,"1.5",0,1,94,113,"2016-10-27"
"61","Minnesota Timberwolves",0,1,0,"1.5",0,1,98,102,"2016-10-27"
"62","New Orleans Pelicans",0,1,0,"1.5",0,1,102,107,"2016-10-27"
"63","Cleveland Cavaliers*",2,0,1,"—",2,0,105.5,89.5,"2016-10-28"
"64","Charlotte Hornets",2,0,1,"—",2,0,102,93.5,"2016-10-28"
"65","Atlanta Hawks*",1,0,1,"0.5",1,0,114,99,"2016-10-28"
"66","Chicago Bulls*",1,0,1,"0.5",1,0,105,99,"2016-10-28"
"67","Boston Celtics*",1,1,0.5,"1.0",1,1,110.5,111,"2016-10-28"
"68","Indiana Pacers*",1,1,0.5,"1.0",1,1,112,112,"2016-10-28"
"69","Toronto Raptors*",1,1,0.5,"1.0",1,1,100,92.5,"2016-10-28"
"70","Miami Heat",1,1,0.5,"1.0",1,1,99.5,96.5,"2016-10-28"
"71","Detroit Pistons",1,1,0.5,"1.0",1,1,99.5,95.5,"2016-10-28"
"72","Brooklyn Nets",1,1,0.5,"1.0",1,1,110,108,"2016-10-28"
"73","Washington Wizards*",0,1,0,"1.5",0,1,99,114,"2016-10-28"
"74","Milwaukee Bucks*",0,1,0,"1.5",0,1,96,107,"2016-10-28"
"75","New York Knicks",0,1,0,"1.5",0,1,88,117,"2016-10-28"
"76","Philadelphia 76ers",0,1,0,"1.5",0,1,97,103,"2016-10-28"
"77","Orlando Magic",0,2,0,"2.0",0,2,89,108,"2016-10-28"
"78","San Antonio Spurs*",2,0,1,"—",2,0,115.5,97,"2016-10-28"
"79","Oklahoma City Thunder*",2,0,1,"—",1,1,108,103.5,"2016-10-28"
"80","Memphis Grizzlies*",1,0,1,"0.5",1,0,102,98,"2016-10-28"
"81","Los Angeles Clippers*",1,0,1,"0.5",1,0,114,106,"2016-10-28"
"82","Denver Nuggets",1,0,1,"0.5",1,0,107,102,"2016-10-28"
"83","Golden State Warriors*",1,1,0.5,"1.0",0,2,111,121.5,"2016-10-28"
"84","Utah Jazz*",1,1,0.5,"1.0",1,1,100,101,"2016-10-28"
"85","Portland Trail Blazers*",1,1,0.5,"1.0",1,1,109.5,109,"2016-10-28"
