"","team","w","l","w_lpercent","gb","pw","pl","ps_g","pa_g","date"
"1","Toronto Raptors*",1,0,1,"—",1,0,130,122,"2019-10-22"
"2","Los Angeles Clippers*",1,0,1,"—",1,0,112,102,"2019-10-22"
"3","Los Angeles Lakers*",0,1,0,"1.0",0,1,102,112,"2019-10-22"
"4","New Orleans Pelicans",0,1,0,"1.0",0,1,122,130,"2019-10-22"
"5","Toronto Raptors*",1,0,1,"—",1,0,130,122,"2019-10-23"
"6","Miami Heat*",1,0,1,"—",1,0,120,101,"2019-10-23"
"7","Orlando Magic*",1,0,1,"—",1,0,94,85,"2019-10-23"
"8","Philadelphia 76ers*",1,0,1,"—",1,0,107,93,"2019-10-23"
"9","Detroit Pistons",1,0,1,"—",1,0,119,110,"2019-10-23"
"10","Charlotte Hornets",1,0,1,"—",1,0,126,125,"2019-10-23"
"11","Brooklyn Nets*",0,1,0,"1.0",0,1,126,127,"2019-10-23"
"12","Boston Celtics*",0,1,0,"1.0",0,1,93,107,"2019-10-23"
"13","Indiana Pacers*",0,1,0,"1.0",0,1,110,119,"2019-10-23"
"14","Chicago Bulls",0,1,0,"1.0",0,1,125,126,"2019-10-23"
"15","Cleveland Cavaliers",0,1,0,"1.0",0,1,85,94,"2019-10-23"
"16","New York Knicks",0,1,0,"1.0",0,1,111,120,"2019-10-23"
"17","Washington Wizards",0,1,0,"1.0",0,1,100,108,"2019-10-23"
"18","Denver Nuggets*",1,0,1,"—",1,0,108,100,"2019-10-23"
"19","Los Angeles Clippers*",1,0,1,"—",1,0,112,102,"2019-10-23"
"20","Dallas Mavericks*",1,0,1,"—",1,0,108,100,"2019-10-23"
"21","Utah Jazz*",1,0,1,"—",1,0,100,95,"2019-10-23"
"22","Phoenix Suns",1,0,1,"—",1,0,124,95,"2019-10-23"
"23","Minnesota Timberwolves",1,0,1,"—",1,0,127,126,"2019-10-23"
"24","San Antonio Spurs",1,0,1,"—",1,0,120,111,"2019-10-23"
"25","Los Angeles Lakers*",0,1,0,"1.0",0,1,102,112,"2019-10-23"
"26","Oklahoma City Thunder*",0,1,0,"1.0",0,1,95,100,"2019-10-23"
"27","Portland Trail Blazers*",0,1,0,"1.0",0,1,100,108,"2019-10-23"
