Date,Team,Season,Month,Week,Opponent,Visitor,City,Win,Distance,Route,Rest,TZ,shift,direction,Latitude,Longitude,B2B,b2b_2nd,b2b_1st,three_in_four,four_in_five,five_in_seven,flight_duration,game_id,matchup,score_diff,traveling_west,traveling_east,avg_score_diff_home,avg_score_diff_away,adjusted_score_diff,w,l,w_lpercent,ps_g,pa_g,opp_win_percent,win_percent_diff
2019-10-22,Los Angeles Lakers,2019-20,Oct,43,Los Angeles Clippers,TRUE,Los Angeles,FALSE,0,No Travel,15,America/Los_Angeles,0,-,34.11,-118.41,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,21900002,LAL @ LAC,-10,FALSE,FALSE,7.457142857142857,4.166666666666667,-14.166666666666668,0,1,0,102,112,1,-1
2019-10-22,New Orleans Pelicans,2019-20,Oct,43,Toronto Raptors,TRUE,Toronto,FALSE,1103,New Orleans - Toronto,15,America/Toronto,1,East,43.65,-79.38,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2.01,21900001,NOP @ TOR,-8,FALSE,TRUE,1.2777777777777777,-3.861111111111111,-4.138888888888889,0,1,0,122,130,1,-1
2019-10-22,Toronto Raptors,2019-20,Oct,43,New Orleans Pelicans,FALSE,Toronto,TRUE,0,No Travel,15,America/Toronto,0,-,43.65,-79.38,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,21900001,TOR vs. NOP,8,FALSE,FALSE,8,4.472222222222222,0,1,0,1,130,122,0,1
2019-10-23,Boston Celtics,2019-20,Oct,43,Philadelphia 76ers,TRUE,Philadelphia,FALSE,268,Boston - Philadelphia,15,America/New_York,0,-,40.01,-75.13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,21900008,BOS @ PHI,-14,FALSE,FALSE,8.25,4.361111111111111,-18.36111111111111,0,1,0,93,107,1,-1
2019-10-23,Brooklyn Nets,2019-20,Oct,43,Minnesota Timberwolves,FALSE,New York,FALSE,0,No Travel,15,America/New_York,0,-,40.67,-73.94,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,21900006,BKN vs. MIN,-1,FALSE,FALSE,1.7777777777777777,-2.9166666666666665,-2.7777777777777777,0,1,0,126,127,1,-1
2019-10-23,Charlotte Hornets,2019-20,Oct,43,Chicago Bulls,FALSE,Charlotte,TRUE,0,No Travel,15,America/New_York,0,-,35.2,-80.83,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,21900003,CHA vs. CHI,1,FALSE,FALSE,-5.290322580645161,-8.088235294117647,6.290322580645161,1,0,1,126,125,0,1
2019-10-23,Chicago Bulls,2019-20,Oct,43,Charlotte Hornets,TRUE,Charlotte,FALSE,589,Chicago - Charlotte,15,America/New_York,1,East,35.2,-80.83,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.07,21900003,CHI @ CHA,-1,FALSE,TRUE,-1.5,-4.806451612903226,3.806451612903226,0,1,0,125,126,1,-1
2019-10-23,Cleveland Cavaliers,2019-20,Oct,43,Orlando Magic,TRUE,Orlando,FALSE,897,Cleveland - Orlando,15,America/New_York,0,-,28.5,-81.37,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.63,21900005,CLE @ ORL,-9,FALSE,FALSE,-6.5,-9.620689655172415,0.6206896551724146,0,1,0,85,94,1,-1
2019-10-23,Dallas Mavericks,2019-20,Oct,43,Washington Wizards,FALSE,Dallas,TRUE,0,No Travel,15,America/Chicago,0,-,32.79,-96.77,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,21900009,DAL vs. WAS,8,FALSE,FALSE,4.894736842105263,5,3.105263157894737,1,0,1,108,100,0,1
2019-10-23,Denver Nuggets,2019-20,Oct,43,Portland Trail Blazers,TRUE,Portland,TRUE,986,Denver - Portland,15,America/Los_Angeles,-1,West,45.54,-122.66,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.79,21900013,DEN @ POR,8,TRUE,FALSE,4.243243243243243,-0.08333333333333333,8.083333333333334,1,0,1,108,100,0,1
